sim_time, unit_box_Custom?world_angular_velocity/y
0.537, 9.7996e-18
0.538, 1.19221e-17
0.539, 1.19129e-17
0.54, 1.17262e-17
0.541, 1.20723e-17
0.542, 1.17079e-17
0.543, 6.54727e-18
0.544, 8.13685e-18
0.545, 1.22133e-17
0.546, 1.16713e-17
0.547, 9.35285e-18
0.548, 8.10024e-18
0.549, 1.50189e-17
0.55, 8.79249e-18
0.551, 1.25137e-17
0.552, 8.41894e-18
0.553, 1.55152e-17
0.554, 1.07099e-17
0.555, 1.1056e-17
0.556, 9.62574e-18
0.557, 8.55079e-18
0.558, 1.60023e-17
0.559, 6.75613e-18
0.56, 1.40301e-17
0.561, 1.31327e-17
0.562, 8.86032e-18
0.563, 1.24039e-17
0.564, 1.00855e-17
0.565, 1.0254e-17
0.566, 1.14883e-17
0.567, 1.11239e-17
0.568, 1.20029e-17
0.569, 1.0395e-17
0.57, 8.60949e-18
0.571, 1.39294e-17
0.572, 8.23594e-18
0.573, 1.19571e-17
0.574, 1.14151e-17
0.575, 7.67554e-18
0.576, 1.21073e-17
0.577, 1.06771e-17
0.578, 7.82572e-18
0.579, 1.17246e-17
0.58, 1.10048e-17
0.581, 8.15351e-18
0.582, 1.223e-17
0.583, 1.00892e-17
0.584, 7.94842e-18
0.585, 1.23802e-17
0.586, 9.7065e-18
0.587, 8.09863e-18
0.588, 1.35962e-17
0.589, 8.61323e-18
0.59, 1.3045e-17
0.591, 6.81858e-18
0.592, 1.30267e-17
0.593, 6.62266e-18
0.594, 1.10544e-17
0.595, 1.37098e-17
0.596, 7.83867e-18
0.597, 1.33362e-17
0.598, 8.17564e-18
0.599, 1.10087e-17
0.6, 9.22316e-18
0.601, 1.01022e-17
0.602, 1.06259e-17
0.603, 1.2926e-17
0.604, 6.16674e-18
0.605, 1.21972e-17
0.606, 1.09446e-17
0.607, 1.25342e-17
0.608, 5.06434e-18
0.609, 1.48252e-17
0.61, 8.42111e-18
0.611, 1.10765e-17
0.612, 7.69226e-18
0.613, 1.14135e-17
0.614, 1.06938e-17
0.615, 9.6188e-18
0.616, 1.01425e-17
0.617, 1.13769e-17
0.618, 1.22559e-17
0.619, 1.24244e-17
0.62, 9.92832e-18
0.621, 7.78755e-18
0.622, 1.07982e-17
0.623, 1.11443e-17
0.624, 1.04246e-17
0.625, 8.63914e-18
0.626, 1.28932e-17
0.627, 6.31156e-18
0.628, 1.16315e-17
0.629, 1.28658e-17
0.63, 7.52756e-18
0.631, 1.12488e-17
0.632, 1.12396e-17
0.633, 9.09886e-18
0.634, 5.89225e-18
0.635, 1.24556e-17
0.636, 9.24902e-18
0.637, 1.19044e-17
0.638, 1.20729e-17
0.639, 8.51103e-18
0.64, 8.85717e-18
0.641, 1.32889e-17
0.642, 5.10854e-18
0.643, 1.18495e-17
0.644, 9.8864e-18
0.645, 9.16672e-18
0.646, 8.44703e-18
0.647, 1.25235e-17
0.648, 8.2511e-18
0.649, 1.28605e-17
0.65, 6.63407e-18
0.651, 1e-17
0.652, 9.8132e-18
0.653, 1.14028e-17
0.654, 1.01502e-17
0.655, 7.83179e-18
0.656, 1.11977e-17
0.657, 1.06557e-17
0.658, 1.1357e-17
0.659, 1.29466e-17
0.66, 5.65439e-18
0.661, 9.19796e-18
0.662, 9.72172e-18
0.663, 1.23771e-17
0.664, 1.29009e-17
0.665, 6.85211e-18
0.666, 1.03957e-17
0.667, 1.09194e-17
0.668, 1.03774e-17
0.669, 8.7695e-18
0.67, 1.14249e-17
0.671, 1.28368e-17
0.672, 5.18935e-18
0.673, 1.35291e-17
0.674, 8.72374e-18
0.675, 1.20897e-17
0.676, 1.22582e-17
0.677, 8.34101e-18
0.678, 7.62132e-18
0.679, 7.61219e-18
0.68, 1.31097e-17
0.681, 6.52807e-18
0.682, 1.20256e-17
0.683, 1.05954e-17
0.684, 1.07639e-17
0.685, 1.05771e-17
0.686, 1.11008e-17
0.687, 1.00259e-17
0.688, 1.01944e-17
0.689, 1.07181e-17
0.69, 1.0709e-17
0.691, 1.12327e-17
0.692, 1.03354e-17
0.693, 9.08279e-18
0.694, 9.9618e-18
0.695, 1.15514e-17
0.696, 1.17199e-17
0.697, 9.22383e-18
0.698, 9.74759e-18
0.699, 9.56079e-18
0.7, 1.16833e-17
0.701, 1.23847e-17
0.702, 1.20202e-17
0.703, 9.16892e-18
0.704, 7.38342e-18
0.705, 1.0927e-17
0.706, 1.10955e-17
0.707, 1.10863e-17
0.708, 1.14324e-17
0.709, 9.82458e-18
0.71, 9.1049e-18
0.711, 1.05168e-17
0.712, 1.10406e-17
0.713, 9.25507e-18
0.714, 1.10223e-17
0.715, 1.27895e-17
0.716, 9.58291e-18
0.717, 1.24159e-17
0.718, 1.36502e-17
0.719, 6.53566e-18
0.72, 1.20332e-17
0.721, 1.02477e-17
0.722, 9.17275e-18
0.723, 7.20961e-18
0.724, 1.3773e-17
0.725, 8.0795e-18
0.726, 1.41099e-17
0.727, 9.48228e-18
0.728, 7.69678e-18
0.729, 1.31943e-17
0.73, 8.38902e-18
0.731, 1.42418e-17
0.732, 8.01545e-18
0.733, 1.10261e-17
0.734, 1.10169e-17
0.735, 8.52091e-18
0.736, 9.93284e-18
0.737, 7.79207e-18
0.738, 1.25791e-17
0.739, 9.5501e-18
0.74, 8.83041e-18
0.741, 1.61043e-17
0.742, 8.27921e-18
0.743, 1.43097e-17
0.744, 7.37276e-18
0.745, 1.07387e-17
0.746, 8.24263e-18
0.747, 1.16086e-17
0.748, 1.0356e-17
0.749, 1.15902e-17
0.75, 9.98238e-18
0.751, 8.37451e-18
0.752, 1.42273e-17
0.753, 9.24441e-18
0.754, 7.63654e-18
0.755, 1.18907e-17
0.756, 1.06381e-17
0.757, 1.11618e-17
0.758, 1.0975e-17
0.759, 9.01186e-18
0.76, 9.35797e-18
0.761, 1.13028e-17
0.762, 1.1116e-17
0.763, 8.7976e-18
0.764, 1.39399e-17
0.765, 4.69367e-18
0.766, 1.53427e-17
0.767, 9.29388e-18
0.768, 6.97546e-18
0.769, 1.0519e-17
0.77, 1.10428e-17
0.771, 1.40534e-17
0.772, 9.2481e-18
0.773, 6.04149e-18
0.774, 1.3493e-17
0.775, 9.04298e-18
0.776, 1.16984e-17
0.777, 1.18668e-17
0.778, 9.54845e-18
0.779, 9.89456e-18
0.78, 9.88542e-18
0.781, 1.00539e-17
0.782, 1.14658e-17
0.783, 1.07462e-17
0.784, 8.42772e-18
0.785, 1.32148e-17
0.786, 7.6989e-18
0.787, 1.14201e-17
0.788, 7.50294e-18
0.789, 1.21123e-17
0.79, 1.10374e-17
0.791, 8.71898e-18
0.792, 9.95326e-18
0.793, 9.94412e-18
0.794, 9.22444e-18
0.795, 1.18798e-17
0.796, 1.02719e-17
0.797, 8.66406e-18
0.798, 1.22076e-17
0.799, 1.14879e-17
0.8, 9.88009e-18
0.801, 7.56165e-18
0.802, 1.2704e-17
0.803, 9.14211e-18
0.804, 1.12646e-17
0.805, 1.1966e-17
0.806, 1.24897e-17
0.807, 4.84227e-18
0.808, 1.26491e-17
0.809, 8.02141e-18
0.81, 1.42295e-17
0.811, 7.64783e-18
0.812, 1.11914e-17
0.813, 1.18928e-17
0.814, 1.24165e-17
0.815, 1.02758e-17
0.816, 7.06917e-18
0.817, 1.06127e-17
0.818, 1.07812e-17
0.819, 9.52862e-18
0.82, 8.27603e-18
0.821, 1.27078e-17
0.822, 6.30375e-18
0.823, 1.07355e-17
0.824, 1.12592e-17
0.825, 1.03619e-17
0.826, 6.97767e-18
0.827, 1.24752e-17
0.828, 7.13701e-18
0.829, 1.29898e-17
0.83, 1.03161e-17
0.831, 9.7741e-18
0.832, 1.17189e-17
0.833, 1.29532e-17
0.834, 9.39138e-18
0.835, 1.16915e-17
0.836, 1.27481e-17
0.837, 8.12048e-18
0.838, 1.23746e-17
0.839, 1.23654e-17
0.84, 8.44829e-18
0.841, 8.61677e-18
0.842, 1.09169e-17
0.843, 1.01972e-17
0.844, 7.16826e-18
0.845, 1.31987e-17
0.846, 7.32761e-18
0.847, 1.24699e-17
0.848, 7.66457e-18
0.849, 1.15634e-17
0.85, 9.60027e-18
0.851, 7.99241e-18
0.852, 1.36676e-17
0.853, 8.50697e-18
0.854, 1.25834e-17
0.855, 6.88996e-18
0.856, 1.14993e-17
0.857, 1.09573e-17
0.858, 1.09481e-17
0.859, 1.07613e-17
0.86, 1.07522e-17
0.861, 9.1443e-18
0.862, 9.66803e-18
0.863, 1.00141e-17
0.864, 9.82736e-18
0.865, 9.99585e-18
0.866, 1.05196e-17
0.867, 9.62225e-18
0.868, 9.25784e-18
0.869, 1.13803e-17
0.87, 1.15488e-17
0.871, 1.04738e-17
0.872, 9.39886e-18
0.873, 1.09884e-17
0.874, 1.36438e-17
0.875, 9.72668e-18
0.876, 8.29645e-18
0.877, 1.25506e-17
0.878, 4.90307e-18
0.879, 1.27099e-17
0.88, 8.0822e-18
0.881, 1.16258e-17
0.882, 1.09061e-17
0.883, 8.23236e-18
0.884, 1.08878e-17
0.885, 1.05233e-17
0.886, 9.62601e-18
0.887, 8.3734e-18
0.888, 1.47591e-17
0.889, 9.24328e-18
0.89, 7.28013e-18
0.891, 1.27777e-17
0.892, 9.21581e-18
0.893, 1.00948e-17
0.894, 9.37512e-18
0.895, 1.22082e-17
0.896, 1.48635e-17
0.897, 6.5055e-18
0.898, 9.87145e-18
0.899, 1.07505e-17
0.9, 1.14519e-17
0.901, 1.10874e-17
0.902, 1.03677e-17
0.903, 7.69406e-18
0.904, 1.07047e-17
0.905, 9.80738e-18
0.906, 1.03311e-17
0.907, 8.54562e-18
0.908, 1.33326e-17
0.909, 7.28383e-18
0.91, 1.22485e-17
0.911, 1.27722e-17
0.912, 6.72348e-18
0.913, 1.20434e-17
0.914, 1.29224e-17
0.915, 8.82766e-18
0.916, 1.27265e-17
0.917, 5.78955e-18
0.918, 1.14647e-17
0.919, 1.18109e-17
0.92, 1.00254e-17
0.921, 9.30567e-18
0.922, 1.10729e-17
0.923, 1.51494e-17
0.924, 1.17651e-17
0.925, 1.14007e-17
0.926, 8.37175e-18
0.927, 1.17377e-17
0.928, 9.24163e-18
0.929, 6.03504e-18
0.93, 1.11773e-17
0.931, 1.25892e-17
0.932, 8.13923e-18
0.933, 1.16828e-17
0.934, 1.00749e-17
0.935, 9.7105e-18
0.936, 1.23659e-17
0.937, 1.28896e-17
0.938, 8.43958e-18
0.939, 1.12726e-17
0.94, 1.23293e-17
0.941, 1.26754e-17
0.942, 6.9819e-18
0.943, 1.1236e-17
0.944, 9.98342e-18
0.945, 8.02029e-18
0.946, 1.31626e-17
0.947, 7.11382e-18
0.948, 1.0835e-17
0.949, 1.22469e-17
0.95, 1.1172e-17
0.951, 9.0312e-18
0.952, 9.19968e-18
0.953, 9.19056e-18
0.954, 1.09578e-17
0.955, 1.34355e-17
0.956, 1.20053e-17
0.957, 8.97632e-18
0.958, 1.02106e-17
0.959, 8.60274e-18
0.96, 1.3745e-17
0.961, 9.47262e-18
0.962, 9.99637e-18
0.963, 1.08754e-17
0.964, 1.35308e-17
0.965, 8.37021e-18
0.966, 1.38678e-17
0.967, 7.64138e-18
0.968, 1.20731e-17
0.969, 1.2064e-17
0.97, 9.74556e-18
0.971, 8.1377e-18
0.972, 1.15036e-17
0.973, 1.0251e-17
0.974, 1.113e-17
0.975, 9.69981e-18
0.976, 7.91432e-18
0.977, 1.18132e-17
0.978, 1.30475e-17
0.979, 8.41977e-18
0.98, 1.28515e-17
0.981, 5.55929e-18
0.982, 9.8134e-18
0.983, 1.22912e-17
0.984, 1.40584e-17
0.985, 9.78594e-18
0.986, 8.88862e-18
0.987, 1.01229e-17
0.988, 1.13572e-17
0.989, 1.22363e-17
0.99, 1.24048e-17
0.991, 9.73109e-18
0.992, 6.52448e-18
0.993, 1.02457e-17
0.994, 1.02365e-17
0.995, 1.00497e-17
0.996, 1.00405e-17
