sim_time, unit_box_Custom?world_pose/position/x
1.821, -9.80001e-14
1.822, -9.80001e-14
1.823, -9.80001e-14
1.824, -9.80001e-14
1.825, -9.80001e-14
1.826, -9.80001e-14
1.827, -9.80001e-14
1.828, -9.80001e-14
1.829, -9.80001e-14
1.83, -9.80001e-14
1.831, -9.80001e-14
1.832, -9.80001e-14
1.833, -9.80001e-14
1.834, -9.80001e-14
1.835, -9.80001e-14
1.836, -9.80001e-14
1.837, -9.80001e-14
1.838, -9.80001e-14
1.839, -9.80001e-14
1.84, -9.80001e-14
1.841, -9.80001e-14
1.842, -9.80001e-14
1.843, -9.80001e-14
1.844, -9.80001e-14
1.845, -9.80001e-14
1.846, -9.80001e-14
1.847, -9.80001e-14
1.848, -9.80001e-14
1.849, -9.80001e-14
1.85, -9.80001e-14
1.851, -9.80001e-14
1.852, -9.80001e-14
1.853, -9.80001e-14
1.854, -9.80001e-14
1.855, -9.80001e-14
1.856, -9.80001e-14
1.857, -9.80001e-14
1.858, -9.80001e-14
1.859, -9.80001e-14
1.86, -9.80001e-14
1.861, -9.80001e-14
1.862, -9.80001e-14
1.863, -9.80001e-14
1.864, -9.80001e-14
1.865, -9.80001e-14
1.866, -9.80001e-14
1.867, -9.80001e-14
1.868, -9.80001e-14
1.869, -9.80001e-14
1.87, -9.80001e-14
1.871, -9.80001e-14
1.872, -9.80001e-14
1.873, -9.80001e-14
1.874, -9.80001e-14
1.875, -9.80001e-14
1.876, -9.80001e-14
1.877, -9.80001e-14
1.878, -9.80001e-14
1.879, -9.80001e-14
1.88, -9.80001e-14
1.881, -9.80001e-14
1.882, -9.80001e-14
1.883, -9.80001e-14
1.884, -9.80001e-14
1.885, -9.80001e-14
1.886, -9.80001e-14
1.887, -9.80001e-14
1.888, -9.80001e-14
1.889, -9.80001e-14
1.89, -9.80001e-14
1.891, -9.80001e-14
1.892, -9.80001e-14
1.893, -9.80001e-14
1.894, -9.80001e-14
1.895, -9.80001e-14
1.896, -9.80001e-14
1.897, -9.80001e-14
1.898, -9.80001e-14
1.899, -9.80001e-14
1.9, -9.80001e-14
1.901, -9.80001e-14
1.902, -9.80001e-14
1.903, -9.80001e-14
1.904, -9.80001e-14
1.905, -9.80001e-14
1.906, -9.80001e-14
1.907, -9.80001e-14
1.908, -9.80001e-14
1.909, -9.80001e-14
1.91, -9.80001e-14
1.911, -9.80001e-14
1.912, -9.80001e-14
1.913, -9.80001e-14
1.914, -9.80001e-14
1.915, -9.80001e-14
1.916, -9.80001e-14
1.917, -9.80001e-14
1.918, -9.80001e-14
1.919, -9.80001e-14
1.92, -9.80001e-14
1.921, -9.80001e-14
1.922, -9.80001e-14
1.923, -9.80001e-14
1.924, -9.80001e-14
1.925, -9.80001e-14
1.926, -9.80001e-14
1.927, -9.80001e-14
1.928, -9.80001e-14
1.929, -9.80001e-14
1.93, -9.80001e-14
1.931, -9.80001e-14
1.932, -9.80001e-14
1.933, -9.80001e-14
1.934, -9.80001e-14
1.935, -9.80001e-14
1.936, -9.80001e-14
1.937, -9.80001e-14
1.938, -9.80001e-14
1.939, -9.80001e-14
1.94, -9.80001e-14
1.941, -9.80001e-14
1.942, -9.80001e-14
1.943, -9.80001e-14
1.944, -9.80001e-14
1.945, -9.80001e-14
1.946, -9.80001e-14
1.947, -9.80001e-14
1.948, -9.80001e-14
1.949, -9.80001e-14
1.95, -9.80001e-14
1.951, -9.80001e-14
1.952, -9.80001e-14
1.953, -9.80001e-14
1.954, -9.80001e-14
1.955, -9.80001e-14
1.956, -9.80001e-14
1.957, -9.80001e-14
1.958, -9.80001e-14
1.959, -9.80001e-14
1.96, -9.80001e-14
1.961, -9.80001e-14
1.962, -9.80001e-14
1.963, -9.80001e-14
1.964, -9.80001e-14
1.965, -9.80001e-14
1.966, -9.80001e-14
1.967, -9.80001e-14
1.968, -9.80001e-14
1.969, -9.80001e-14
1.97, -9.80001e-14
1.971, -9.80001e-14
1.972, -9.80001e-14
1.973, -9.80001e-14
1.974, -9.80001e-14
1.975, -9.80001e-14
1.976, -9.80001e-14
1.977, -9.80001e-14
1.978, -9.80001e-14
1.979, -9.80001e-14
1.98, -9.80001e-14
1.981, -9.80001e-14
1.982, -9.80001e-14
1.983, -9.80001e-14
1.984, -9.80001e-14
1.985, -9.80001e-14
1.986, -9.80001e-14
1.987, -9.80001e-14
1.988, -9.80001e-14
1.989, -9.80001e-14
1.99, -9.80001e-14
1.991, -9.80001e-14
1.992, -9.80001e-14
1.993, -9.80001e-14
1.994, -9.80001e-14
1.995, -9.80001e-14
1.996, -9.80001e-14
1.997, -9.80001e-14
1.998, -9.80001e-14
1.999, -9.80001e-14
2, -9.80001e-14
2.001, -9.80001e-14
2.002, -9.80001e-14
2.003, -9.80001e-14
2.004, -9.80001e-14
2.005, -9.80001e-14
2.006, -9.80001e-14
2.007, -9.80001e-14
2.008, -9.80001e-14
2.009, -9.80001e-14
2.01, -9.80001e-14
2.011, -9.80001e-14
2.012, -9.80001e-14
2.013, -9.80001e-14
2.014, -9.80001e-14
2.015, -9.80001e-14
2.016, -9.80001e-14
2.017, -9.80001e-14
2.018, -9.80001e-14
2.019, -9.80001e-14
2.02, -9.80001e-14
2.021, -9.80001e-14
2.022, -9.80001e-14
2.023, -9.80001e-14
2.024, -9.80001e-14
2.025, -9.80001e-14
2.026, -9.80001e-14
2.027, -9.80001e-14
2.028, -9.80001e-14
2.029, -9.80001e-14
2.03, -9.80001e-14
2.031, -9.80001e-14
2.032, -9.80001e-14
2.033, -9.80001e-14
2.034, -9.80001e-14
2.035, -9.80001e-14
2.036, -9.80001e-14
2.037, -9.80001e-14
2.038, -9.80001e-14
2.039, -9.80001e-14
2.04, -9.80001e-14
2.041, -9.80001e-14
2.042, -9.80001e-14
2.043, -9.80001e-14
2.044, -9.80001e-14
2.045, -9.80001e-14
2.046, -9.80001e-14
2.047, -9.80001e-14
2.048, -9.80001e-14
2.049, -9.80001e-14
2.05, -9.80001e-14
2.051, -9.80001e-14
2.052, -9.80001e-14
2.053, -9.80001e-14
2.054, -9.80001e-14
2.055, -9.80001e-14
2.056, -9.80001e-14
2.057, -9.80001e-14
2.058, -9.80001e-14
2.059, -9.80001e-14
2.06, -9.80001e-14
2.061, -9.80001e-14
2.062, -9.80001e-14
2.063, -9.80001e-14
2.064, -9.80001e-14
2.065, -9.80001e-14
2.066, -9.80001e-14
2.067, -9.80001e-14
2.068, -9.80001e-14
2.069, -9.80001e-14
2.07, -9.80001e-14
2.071, -9.80001e-14
2.072, -9.80001e-14
2.073, -9.80001e-14
2.074, -9.80001e-14
2.075, -9.80001e-14
2.076, -9.80001e-14
2.077, -9.80001e-14
2.078, -9.80001e-14
2.079, -9.80001e-14
2.08, -9.80001e-14
2.081, -9.80001e-14
2.082, -9.80001e-14
2.083, -9.80001e-14
2.084, -9.80001e-14
2.085, -9.80001e-14
2.086, -9.80001e-14
2.087, -9.80001e-14
2.088, -9.80001e-14
2.089, -9.80001e-14
2.09, -9.80001e-14
2.091, -9.80001e-14
2.092, -9.80001e-14
2.093, -9.80001e-14
2.094, -9.80001e-14
2.095, -9.80001e-14
2.096, -9.80001e-14
2.097, -9.80001e-14
2.098, -9.80001e-14
2.099, -9.80001e-14
2.1, -9.80001e-14
2.101, -9.80001e-14
2.102, -9.80001e-14
2.103, -9.80001e-14
2.104, -9.80001e-14
2.105, -9.80001e-14
2.106, -9.80001e-14
2.107, -9.80001e-14
2.108, -9.80001e-14
2.109, -9.80001e-14
2.11, -9.80001e-14
2.111, -9.80001e-14
2.112, -9.80001e-14
2.113, -9.80001e-14
2.114, -9.80001e-14
2.115, -9.80001e-14
2.116, -9.80001e-14
2.117, -9.80001e-14
2.118, -9.80001e-14
2.119, -9.80001e-14
2.12, -9.80001e-14
2.121, -9.80001e-14
2.122, -9.80001e-14
2.123, -9.80001e-14
2.124, -9.80001e-14
2.125, -9.80001e-14
2.126, -9.80001e-14
2.127, -9.80001e-14
2.128, -9.80001e-14
2.129, -9.80001e-14
2.13, -9.80001e-14
2.131, -9.80001e-14
2.132, -9.80001e-14
2.133, -9.80001e-14
2.134, -9.80001e-14
2.135, -9.80001e-14
2.136, -9.80001e-14
2.137, -9.80001e-14
2.138, -9.80001e-14
2.139, -9.80001e-14
2.14, -9.80001e-14
2.141, -9.80001e-14
2.142, -9.80001e-14
2.143, -9.80001e-14
2.144, -9.80001e-14
2.145, -9.80001e-14
2.146, -9.80001e-14
2.147, -9.80001e-14
2.148, -9.80001e-14
2.149, -9.80001e-14
2.15, -9.80001e-14
2.151, -9.80001e-14
2.152, -9.80001e-14
2.153, -9.80001e-14
2.154, -9.80001e-14
2.155, -9.80001e-14
2.156, -9.80001e-14
2.157, -9.80001e-14
2.158, -9.80001e-14
2.159, -9.80001e-14
2.16, -9.80001e-14
2.161, -9.80001e-14
2.162, -9.80001e-14
2.163, -9.80001e-14
2.164, -9.80001e-14
2.165, -9.80001e-14
2.166, -9.80001e-14
2.167, -9.80001e-14
2.168, -9.80001e-14
2.169, -9.80001e-14
2.17, -9.80001e-14
2.171, -9.80001e-14
2.172, -9.80001e-14
2.173, -9.80001e-14
2.174, -9.80001e-14
2.175, -9.80001e-14
2.176, -9.80001e-14
2.177, -9.80001e-14
2.178, -9.80001e-14
2.179, -9.80001e-14
2.18, -9.80001e-14
2.181, -9.80001e-14
2.182, -9.80001e-14
2.183, -9.80001e-14
2.184, -9.80001e-14
2.185, -9.80001e-14
2.186, -9.80001e-14
2.187, -9.80001e-14
2.188, -9.80001e-14
2.189, -9.80001e-14
2.19, -9.80001e-14
2.191, -9.80001e-14
2.192, -9.80001e-14
2.193, -9.80001e-14
2.194, -9.80001e-14
2.195, -9.80001e-14
2.196, -9.80001e-14
2.197, -9.80001e-14
2.198, -9.80001e-14
2.199, -9.80001e-14
2.2, -9.80001e-14
2.201, -9.80001e-14
2.202, -9.80001e-14
2.203, -9.80001e-14
2.204, -9.80001e-14
2.205, -9.80001e-14
2.206, -9.80001e-14
2.207, -9.80001e-14
2.208, -9.80001e-14
2.209, -9.80001e-14
2.21, -9.80001e-14
2.211, -9.80001e-14
2.212, -9.80001e-14
2.213, -9.80001e-14
2.214, -9.80001e-14
2.215, -9.80001e-14
2.216, -9.80001e-14
2.217, -9.80001e-14
2.218, -9.80001e-14
2.219, -9.80001e-14
2.22, -9.80001e-14
2.221, -9.80001e-14
2.222, -9.80001e-14
2.223, -9.80001e-14
2.224, -9.80001e-14
2.225, -9.80001e-14
2.226, -9.80001e-14
2.227, -9.80001e-14
2.228, -9.80001e-14
2.229, -9.80001e-14
2.23, -9.80001e-14
2.231, -9.80001e-14
2.232, -9.80001e-14
2.233, -9.80001e-14
2.234, -9.80001e-14
2.235, -9.80001e-14
2.236, -9.80001e-14
2.237, -9.80001e-14
2.238, -9.80001e-14
2.239, -9.80001e-14
2.24, -9.80001e-14
2.241, -9.80001e-14
2.242, -9.80001e-14
2.243, -9.80001e-14
2.244, -9.80001e-14
2.245, -9.80001e-14
2.246, -9.80001e-14
2.247, -9.80001e-14
2.248, -9.80001e-14
2.249, -9.80001e-14
2.25, -9.80001e-14
2.251, -9.80001e-14
2.252, -9.80001e-14
2.253, -9.80001e-14
2.254, -9.80001e-14
2.255, -9.80001e-14
2.256, -9.80001e-14
2.257, -9.80001e-14
2.258, -9.80001e-14
2.259, -9.80001e-14
2.26, -9.80001e-14
2.261, -9.80001e-14
2.262, -9.80001e-14
2.263, -9.80001e-14
2.264, -9.80001e-14
2.265, -9.80001e-14
2.266, -9.80001e-14
2.267, -9.80001e-14
2.268, -9.80001e-14
2.269, -9.80001e-14
