sim_time, unit_box_Custom?world_linear_acceleration/x
0.38, 1.59415e-15
0.381, -1.82218e-16
0.382, -9.81564e-16
0.383, 1.8606e-15
0.384, -1.86974e-15
0.385, 1.50532e-15
0.386, -9.81561e-16
0.387, -2.71025e-16
0.388, 1.94942e-15
0.389, -3.20202e-15
0.39, 3.37049e-15
0.391, -8.03933e-16
0.392, 8.42416e-17
0.393, -1.60329e-15
0.394, 1.68295e-15
0.395, -7.15108e-16
0.396, 2.61873e-16
0.397, -6.263e-16
0.398, -1.07039e-15
0.399, 2.92641e-15
0.4, -2.58028e-15
0.401, 1.15005e-15
0.402, -9.81571e-16
0.403, 1.94942e-15
0.404, -9.81573e-16
0.405, -1.78093e-15
0.406, 2.48233e-15
0.407, -1.33685e-15
0.408, 3.50706e-16
0.409, -9.3398e-17
0.41, 5.28336e-16
0.411, 3.50701e-16
0.412, -9.33948e-17
0.413, -1.82207e-16
0.414, -4.57036e-18
0.415, -4.48664e-16
0.416, -3.5984e-16
0.417, -8.9275e-16
0.418, 3.19287e-15
0.419, -2.5803e-15
0.42, 2.21588e-15
0.421, -2.31384e-15
0.422, 2.74878e-15
0.423, -3.73493e-15
0.424, 3.10404e-15
0.425, -4.56995e-18
0.426, -2.31384e-15
0.427, 2.48232e-15
0.428, -2.04739e-15
0.429, 1.77178e-15
0.43, -3.59842e-16
0.431, -1.07039e-15
0.432, -8.03931e-16
0.433, 1.50532e-15
0.434, -1.24802e-15
0.435, 1.15005e-15
0.436, -5.37486e-16
0.437, -7.1511e-16
0.438, 2.03824e-15
0.439, -1.51448e-15
0.44, -8.92751e-16
0.441, 2.57114e-15
0.442, -1.42567e-15
0.443, -9.33978e-17
0.444, 8.83604e-16
0.445, 4.39513e-16
0.446, -4.57728e-18
0.447, -1.69211e-15
0.448, -3.59842e-16
0.449, 8.83604e-16
0.45, -7.15115e-16
0.451, 2.12706e-15
0.452, -2.58029e-15
0.453, 1.77178e-15
0.454, -3.59842e-16
0.455, 5.28332e-16
0.456, -3.59853e-16
0.457, -9.81574e-16
0.458, 7.05968e-16
0.459, 2.61881e-16
0.46, 2.61879e-16
0.461, -3.59842e-16
0.462, -1.07039e-15
0.463, 1.15006e-15
0.464, -1.82205e-16
0.465, 8.42283e-17
0.466, -4.56694e-18
0.467, -9.3397e-17
0.468, 3.50697e-16
0.469, 7.05963e-16
0.47, -1.33684e-15
0.471, -1.42567e-15
0.472, 3.01523e-15
0.473, -2.58029e-15
0.474, 2.03824e-15
0.475, 6.17151e-16
0.476, -1.95857e-15
0.477, 5.28335e-16
0.478, 2.61874e-16
0.479, -1.24802e-15
0.48, 1.77178e-15
0.481, -2.71053e-16
0.482, -1.33683e-15
0.483, 1.50532e-15
0.484, -8.03932e-16
0.485, -1.42566e-15
0.486, 1.41651e-15
0.487, -4.57408e-18
0.488, 5.28328e-16
0.489, 9.72423e-16
0.49, -1.07039e-15
0.491, -8.9275e-16
0.492, 7.94774e-16
0.493, 1.41652e-15
0.494, -2.22502e-15
0.495, 3.50698e-16
0.496, 7.94784e-16
0.497, 3.50701e-16
0.498, -1.82205e-16
0.499, -1.78093e-15
0.5, 1.77179e-15
0.501, -1.07039e-15
0.502, 8.83599e-16
0.503, -5.37481e-16
0.504, 5.28329e-16
0.505, -8.92747e-16
0.506, -8.92748e-16
0.507, 3.3705e-15
0.508, -3.29083e-15
0.509, 2.12705e-15
0.51, -4.48669e-16
0.511, -1.51447e-15
0.512, 1.8606e-15
0.513, -4.57318e-18
0.514, -2.1362e-15
0.515, 1.15005e-15
0.516, -3.59846e-16
0.517, 1.32769e-15
0.518, -2.71027e-16
0.519, -5.37485e-16
0.52, -2.71032e-16
0.521, 4.3951e-16
0.522, 1.41651e-15
0.523, -2.22502e-15
0.524, 1.23888e-15
0.525, -2.71045e-16
0.526, -4.58003e-18
0.527, -7.15118e-16
0.528, -5.37482e-16
0.529, 1.94942e-15
0.53, -3.59856e-16
0.531, -2.13621e-15
0.532, 9.7242e-16
0.533, 4.39519e-16
0.534, 1.73061e-16
0.535, 6.17148e-16
0.536, -1.07039e-15
0.537, 1.7307e-16
0.538, 1.06123e-15
0.539, -4.57003e-18
0.54, -9.33912e-17
0.541, 1.73058e-16
0.542, -1.82211e-16
0.543, -2.58028e-15
0.544, 7.9478e-16
0.545, 2.03823e-15
0.546, -2.71026e-16
0.547, -1.15921e-15
0.548, -6.26299e-16
0.549, 3.45932e-15
0.55, -3.11319e-15
0.551, 1.8606e-15
0.552, -2.04738e-15
0.553, 3.54815e-15
0.554, -2.40266e-15
0.555, 1.73058e-16
0.556, -7.15115e-16
0.557, -5.37488e-16
0.558, 3.72577e-15
0.559, -4.6231e-15
0.56, 3.63696e-15
0.561, -4.48667e-16
0.562, -2.1362e-15
0.563, 1.77178e-15
0.564, -1.15921e-15
0.565, 8.42389e-17
0.566, 6.17156e-16
0.567, -1.82216e-16
0.568, 4.39518e-16
0.569, -8.03933e-16
0.57, -8.92753e-16
0.571, 2.65996e-15
0.572, -2.84674e-15
0.573, 1.86059e-15
0.574, -2.71031e-16
0.575, -1.86975e-15
0.576, 2.21586e-15
0.577, -7.15122e-16
0.578, -1.42566e-15
0.579, 1.94942e-15
0.58, -3.59849e-16
0.581, -1.42566e-15
0.582, 2.03823e-15
0.583, -1.0704e-15
0.584, -1.07039e-15
0.585, 2.21587e-15
0.586, -1.33684e-15
0.587, -8.03934e-16
0.588, 2.74877e-15
0.589, -2.49147e-15
0.59, 2.21587e-15
0.591, -3.11319e-15
0.592, 3.10406e-15
0.593, -3.20201e-15
0.594, 2.21587e-15
0.595, 1.32769e-15
0.596, -2.93556e-15
0.597, 2.74877e-15
0.598, -2.58029e-15
0.599, 1.41651e-15
0.6, -8.92757e-16
0.601, 4.39519e-16
0.602, 2.61873e-16
0.603, 1.15006e-15
0.604, -3.37965e-15
0.605, 3.01524e-15
0.606, -6.26302e-16
0.607, 7.94777e-16
0.608, -3.73491e-15
0.609, 4.88041e-15
0.61, -3.20202e-15
0.611, 1.32768e-15
0.612, -1.69211e-15
0.613, 1.8606e-15
0.614, -3.59851e-16
0.615, -5.37478e-16
0.616, 2.61869e-16
0.617, 6.17149e-16
0.618, 4.39521e-16
0.619, 8.42356e-17
0.62, -1.24802e-15
