sim_time, unit_box_Custom?world_pose/orientation/yaw
0.462, 1.99227e-19
0.463, 1.9966e-19
0.464, 2.00093e-19
0.465, 2.00526e-19
0.466, 2.00959e-19
0.467, 2.01392e-19
0.468, 2.01825e-19
0.469, 2.02258e-19
0.47, 2.02691e-19
0.471, 2.03124e-19
0.472, 2.03557e-19
0.473, 2.03989e-19
0.474, 2.04422e-19
0.475, 2.04855e-19
0.476, 2.05288e-19
0.477, 2.05721e-19
0.478, 2.06154e-19
0.479, 2.06587e-19
0.48, 2.07019e-19
0.481, 2.07452e-19
0.482, 2.07885e-19
0.483, 2.08318e-19
0.484, 2.08751e-19
0.485, 2.09184e-19
0.486, 2.09617e-19
0.487, 2.1005e-19
0.488, 2.10482e-19
0.489, 2.10915e-19
0.49, 2.11348e-19
0.491, 2.11781e-19
0.492, 2.12213e-19
0.493, 2.12646e-19
0.494, 2.13079e-19
0.495, 2.13512e-19
0.496, 2.13945e-19
0.497, 2.14377e-19
0.498, 2.1481e-19
0.499, 2.15243e-19
0.5, 2.15676e-19
0.501, 2.16109e-19
0.502, 2.16541e-19
0.503, 2.16974e-19
0.504, 2.17407e-19
0.505, 2.1784e-19
0.506, 2.18273e-19
0.507, 2.18706e-19
0.508, 2.19139e-19
0.509, 2.19572e-19
0.51, 2.20005e-19
0.511, 2.20437e-19
0.512, 2.20871e-19
0.513, 2.21303e-19
0.514, 2.21736e-19
0.515, 2.22169e-19
0.516, 2.22602e-19
0.517, 2.23035e-19
0.518, 2.23467e-19
0.519, 2.239e-19
0.52, 2.24333e-19
0.521, 2.24766e-19
0.522, 2.25199e-19
0.523, 2.25632e-19
0.524, 2.26065e-19
0.525, 2.26498e-19
0.526, 2.2693e-19
0.527, 2.27364e-19
0.528, 2.27796e-19
0.529, 2.28229e-19
0.53, 2.28662e-19
0.531, 2.29095e-19
0.532, 2.29528e-19
0.533, 2.29961e-19
0.534, 2.30393e-19
0.535, 2.30826e-19
0.536, 2.31259e-19
0.537, 2.31692e-19
0.538, 2.32124e-19
0.539, 2.32557e-19
0.54, 2.3299e-19
0.541, 2.33423e-19
0.542, 2.33856e-19
0.543, 2.34289e-19
0.544, 2.34722e-19
0.545, 2.35154e-19
0.546, 2.35587e-19
0.547, 2.3602e-19
0.548, 2.36453e-19
0.549, 2.36885e-19
0.55, 2.37318e-19
0.551, 2.37751e-19
0.552, 2.38184e-19
0.553, 2.38617e-19
0.554, 2.39049e-19
0.555, 2.39482e-19
0.556, 2.39915e-19
0.557, 2.40347e-19
0.558, 2.4078e-19
0.559, 2.41213e-19
0.56, 2.41645e-19
0.561, 2.42078e-19
0.562, 2.42511e-19
0.563, 2.42944e-19
0.564, 2.43377e-19
0.565, 2.43809e-19
0.566, 2.44242e-19
0.567, 2.44675e-19
0.568, 2.45107e-19
0.569, 2.4554e-19
0.57, 2.45973e-19
0.571, 2.46406e-19
0.572, 2.46839e-19
0.573, 2.47272e-19
0.574, 2.47705e-19
0.575, 2.48138e-19
0.576, 2.48571e-19
0.577, 2.49003e-19
0.578, 2.49436e-19
0.579, 2.49869e-19
0.58, 2.50302e-19
0.581, 2.50735e-19
0.582, 2.51168e-19
0.583, 2.51601e-19
0.584, 2.52034e-19
0.585, 2.52467e-19
0.586, 2.52899e-19
0.587, 2.53332e-19
0.588, 2.53765e-19
0.589, 2.54198e-19
0.59, 2.54631e-19
0.591, 2.55063e-19
0.592, 2.55496e-19
0.593, 2.55929e-19
0.594, 2.56362e-19
0.595, 2.56795e-19
0.596, 2.57228e-19
0.597, 2.5766e-19
0.598, 2.58093e-19
0.599, 2.58526e-19
0.6, 2.58959e-19
0.601, 2.59392e-19
0.602, 2.59824e-19
0.603, 2.60257e-19
0.604, 2.6069e-19
0.605, 2.61123e-19
0.606, 2.61556e-19
