sim_time, unit_box_Custom?world_angular_acceleration/z
0.365, 2.63975e-20
0.366, 7.73899e-20
0.367, 9.3238e-20
0.368, -4.96177e-20
0.369, -1.00111e-19
0.37, 9.65227e-20
0.371, -4.05812e-19
0.372, -3.37489e-19
0.373, 3.98506e-19
0.374, -3.98506e-19
0.375, 7.89819e-19
0.376, 7.32654e-21
0.377, -1.0954e-19
0.378, 1.57942e-19
0.379, -2.89882e-19
0.38, -3.15075e-19
0.381, 3.76416e-19
0.382, -2.56265e-19
0.383, -1.09706e-19
0.384, 8.64545e-20
0.385, 5.27557e-19
0.386, -4.16854e-19
0.387, 8.17161e-20
0.388, -1.08867e-20
0.389, -7.81993e-20
0.39, 2.5479e-19
0.391, 5.83827e-20
0.392, -8.38133e-20
0.393, -4.09345e-19
0.394, 5.16979e-19
0.395, -2.60619e-19
0.396, -7.4738e-20
0.397, -1.46954e-19
0.398, 3.4859e-19
0.399, 3.74948e-20
0.4, -4.37105e-19
0.401, 4.06936e-19
0.402, -5.12106e-20
0.403, -8.11886e-20
0.404, 7.38214e-20
0.405, 5.4609e-20
0.406, 4.62462e-20
0.407, 2.61557e-19
0.408, -4.6792e-19
0.409, 2.15934e-19
0.41, -1.48378e-20
0.411, -3.15177e-19
0.412, 4.0431e-19
0.413, 2.58505e-20
0.414, -2.20081e-19
0.415, 1.22505e-19
0.416, -2.56595e-19
0.417, -5.07333e-20
0.418, 3.10846e-19
0.419, 1.29062e-20
0.42, -1.54656e-19
0.421, 9.01628e-20
0.422, -4.91306e-20
0.423, 5.08923e-20
0.424, 1.88749e-19
0.425, -4.17041e-19
0.426, 1.86934e-19
0.427, 1.61264e-19
0.428, -1.73532e-19
0.429, -1.22598e-19
0.43, -7.11765e-20
0.431, 2.54757e-19
0.432, -5.28046e-19
0.433, 6.14234e-19
0.434, -4.32582e-19
0.435, 3.30928e-19
0.436, 1.7719e-20
0.437, -4.35835e-19
0.438, 2.94658e-19
0.439, -6.48478e-20
0.44, 2.12995e-20
0.441, -4.8561e-20
0.442, 1.13622e-19
0.443, 1.53793e-19
0.444, 8.41813e-20
0.445, -4.0561e-20
0.446, 2.64862e-19
0.447, -7.59744e-19
0.448, 1.97786e-19
0.449, 1.88261e-19
0.45, 3.98542e-20
0.451, -2.17093e-19
0.452, 4.24754e-20
0.453, -1.46156e-20
0.454, -2.59508e-19
0.455, 2.59644e-19
0.456, 2.01074e-19
0.457, 2.25127e-21
0.458, -7.96609e-20
0.459, 3.44431e-20
0.46, 5.91646e-31
0.461, -1.64286e-19
0.462, -1.54857e-19
0.463, 1.64128e-19
0.464, -8.54739e-20
0.465, 3.98612e-19
0.466, -2.73507e-19
0.467, 1.41811e-19
0.468, -2.72844e-19
0.469, 1.21015e-19
0.47, -8.31655e-20
0.471, 3.84944e-19
0.472, -1.31708e-19
0.473, -1.94044e-19
0.474, 7.55872e-20
0.475, 8.6731e-20
0.476, -4.8734e-20
0.477, -1.22316e-19
0.478, 6.16486e-20
0.479, -2.52287e-19
0.48, 1.90503e-19
0.481, 2.12991e-19
0.482, -3.37986e-19
0.483, 2.61855e-19
0.484, -4.86693e-19
0.485, 3.33015e-19
0.486, -9.76869e-20
0.487, -8.57465e-20
0.488, 5.80031e-19
0.489, -1.78567e-19
0.49, -2.29987e-20
0.491, -2.36032e-19
0.492, 1.96762e-19
0.493, -7.38081e-21
0.494, -1.54401e-19
0.495, -8.67736e-21
0.496, -3.07509e-20
0.497, -6.82919e-20
0.498, 4.83124e-20
0.499, 2.44895e-19
0.5, -1.62649e-19
0.501, 4.47679e-20
0.502, 1.2437e-19
0.503, -2.32291e-19
0.504, 2.36974e-19
0.505, -2.63986e-19
0.506, -3.74709e-30
0.507, 3.83051e-19
0.508, -2.70668e-19
0.509, 1.99958e-19
0.51, 1.42933e-19
0.511, -4.23174e-19
0.512, 1.18913e-19
0.513, -1.18285e-19
0.514, -2.65425e-19
0.515, 5.84436e-19
0.516, 9.67512e-20
0.517, -2.4322e-19
0.518, -2.27181e-19
0.519, 1.97566e-19
0.52, -1.99365e-20
0.521, 2.81667e-19
0.522, -1.58005e-19
0.523, 1.43776e-19
0.524, -2.77071e-19
0.525, -1.54565e-19
0.526, 3.06439e-19
0.527, -7.54314e-20
0.528, -2.85319e-20
0.529, -4.96007e-19
0.53, 3.65394e-19
0.531, 1.23534e-19
0.532, 4.50247e-21
0.533, -6.41609e-20
0.534, -9.46696e-20
0.535, 1.62629e-19
0.536, -1.64262e-20
0.537, -2.74003e-19
0.538, 6.18329e-19
0.539, -3.88918e-19
0.54, 1.61527e-20
0.541, 2.82444e-20
0.542, 8.58878e-20
0.543, -6.11369e-19
0.544, 4.5386e-19
0.545, 2.82222e-19
0.546, -2.36268e-19
0.547, 1.7162e-19
0.548, -2.83958e-19
0.549, 4.36615e-19
0.55, -3.4982e-19
0.551, 2.17871e-19
0.552, 2.0306e-19
0.553, -5.26968e-19
0.554, 2.53079e-20
0.555, 3.01895e-19
0.556, -7.47063e-19
0.557, 5.92508e-19
0.558, 8.72622e-20
0.559, -4.1623e-19
0.56, 5.76547e-19
0.561, -1.06437e-19
0.562, -8.12249e-20
0.563, 8.24484e-21
0.564, 1.22694e-19
0.565, 1.36611e-19
0.566, -2.04656e-19
0.567, 1.05431e-19
0.568, -2.47621e-19
0.569, -1.87789e-19
0.57, 4.55143e-20
0.571, 4.22469e-19
0.572, -6.49592e-20
0.573, -1.3882e-19
0.574, -9.81056e-20
0.575, -1.23457e-20
0.576, 2.65295e-19
0.577, 2.05309e-19
0.578, -2.64835e-19
0.579, -1.64549e-19
0.58, -1.1842e-19
0.581, -2.81102e-19
0.582, 4.37606e-19
0.583, 1.94215e-19
0.584, -1.45726e-19
0.585, -1.43143e-19
0.586, 3.86379e-20
0.587, 7.8226e-20
0.588, 2.65138e-20
0.589, -2.43153e-20
0.59, 2.0274e-19
0.591, -3.19651e-19
0.592, -8.95973e-20
0.593, -1.32205e-19
0.594, 1.70019e-19
0.595, 1.50807e-19
0.596, -1.4738e-19
0.597, 2.01328e-19
0.598, -1.81326e-19
0.599, -1.4314e-19
0.6, 1.67166e-19
0.601, -7.23468e-20
0.602, 3.97769e-20
0.603, -7.5008e-20
0.604, 2.00122e-19
0.605, -2.27395e-19
0.606, 9.78995e-20
0.607, 4.95786e-19
0.608, -6.50701e-19
0.609, 2.6098e-19
0.61, -1.97015e-19
0.611, 2.10182e-19
