sim_time, unit_box_Custom?world_angular_acceleration/y
0.407, -2.67367e-15
0.408, 7.01369e-16
0.409, -1.86778e-16
0.41, 1.05666e-15
0.411, 7.01395e-16
0.412, -1.86763e-16
0.413, -3.64413e-16
0.414, -9.16676e-18
0.415, -8.97313e-16
0.416, -7.19702e-16
0.417, -1.78549e-15
0.418, 6.38575e-15
0.419, -5.16058e-15
0.42, 4.43174e-15
0.421, -4.62769e-15
0.422, 5.49757e-15
0.423, -7.46986e-15
0.424, 6.20811e-15
0.425, -9.1625e-18
0.426, -4.62767e-15
0.427, 4.96465e-15
0.428, -4.0948e-15
0.429, 3.54357e-15
0.43, -7.19681e-16
0.431, -2.14078e-15
0.432, -1.60789e-15
0.433, 3.01067e-15
0.434, -2.49606e-15
0.435, 2.30014e-15
0.436, -1.07497e-15
0.437, -1.43025e-15
0.438, 4.07648e-15
0.439, -3.02896e-15
0.44, -1.78549e-15
0.441, 5.14227e-15
0.442, -2.85133e-15
0.443, -1.86778e-16
0.444, 1.76722e-15
0.445, 8.79022e-16
0.446, -9.13767e-18
0.447, -3.38427e-15
0.448, -7.19668e-16
0.449, 1.76722e-15
0.45, -1.43024e-15
0.451, 4.2541e-15
0.452, -5.16057e-15
0.453, 3.54357e-15
0.454, -7.19708e-16
0.455, 1.05668e-15
0.456, -7.19678e-16
0.457, -1.96315e-15
0.458, 1.41193e-15
0.459, 5.23754e-16
0.46, 5.23759e-16
0.461, -7.19686e-16
0.462, -2.14078e-15
0.463, 2.30013e-15
0.464, -3.64427e-16
0.465, 1.68493e-16
0.466, -9.16154e-18
0.467, -1.86779e-16
0.468, 7.01372e-16
0.469, 1.41193e-15
0.47, -2.67366e-15
0.471, -2.85131e-15
0.472, 6.03044e-15
0.473, -5.16058e-15
0.474, 4.07647e-15
0.475, 1.23431e-15
0.476, -3.91715e-15
0.477, 1.05667e-15
0.478, 5.2376e-16
0.479, -2.49606e-15
0.48, 3.54357e-15
0.481, -5.42098e-16
0.482, -2.67369e-15
0.483, 3.01066e-15
0.484, -1.60789e-15
0.485, -2.8513e-15
0.486, 2.83301e-15
0.487, -9.13917e-18
0.488, 1.05668e-15
0.489, 1.94485e-15
0.49, -2.14079e-15
0.491, -1.7855e-15
0.492, 1.58956e-15
0.493, 2.83304e-15
0.494, -4.45005e-15
0.495, 7.01387e-16
0.496, 1.58956e-15
0.497, 7.0142e-16
0.498, -3.64428e-16
0.499, -3.56183e-15
0.5, 3.54356e-15
0.501, -2.14078e-15
0.502, 1.76721e-15
0.503, -1.07496e-15
0.504, 1.05666e-15
0.505, -1.7855e-15
0.506, -1.7855e-15
0.507, 6.74102e-15
0.508, -6.58166e-15
0.509, 4.25411e-15
0.51, -8.97321e-16
0.511, -3.02898e-15
0.512, 3.7212e-15
0.513, -9.1536e-18
0.514, -4.27243e-15
0.515, 2.30013e-15
0.516, -7.19683e-16
0.517, 2.65536e-15
0.518, -5.42063e-16
0.519, -1.07496e-15
0.52, -5.4207e-16
0.521, 8.79039e-16
0.522, 2.83302e-15
0.523, -4.45002e-15
0.524, 2.47774e-15
0.525, -5.4212e-16
0.526, -9.14017e-18
0.527, -1.43024e-15
0.528, -1.07497e-15
0.529, 3.89881e-15
0.53, -7.19689e-16
0.531, -4.27242e-15
0.532, 1.94484e-15
0.533, 8.79027e-16
0.534, 3.4613e-16
0.535, 1.23429e-15
0.536, -2.14077e-15
0.537, 3.46101e-16
0.538, 2.12251e-15
0.539, -9.15844e-18
0.54, -1.86789e-16
0.541, 3.46128e-16
0.542, -3.64426e-16
0.543, -5.16059e-15
0.544, 1.58957e-15
0.545, 4.07649e-15
0.546, -5.42071e-16
0.547, -2.31841e-15
0.548, -1.25261e-15
0.549, 6.91866e-15
0.55, -6.22641e-15
0.551, 3.72121e-15
0.552, -4.09476e-15
0.553, 7.09626e-15
0.554, -4.80531e-15
0.555, 3.46123e-16
0.556, -1.43026e-15
0.557, -1.07495e-15
0.558, 7.45155e-15
0.559, -9.2462e-15
0.56, 7.27394e-15
0.561, -8.97328e-16
0.562, -4.27243e-15
0.563, 3.54356e-15
0.564, -2.31839e-15
0.565, 1.68491e-16
0.566, 1.23428e-15
0.567, -3.64411e-16
0.568, 8.79008e-16
0.569, -1.60788e-15
0.57, -1.7855e-15
0.571, 5.31994e-15
0.572, -5.69349e-15
0.573, 3.72117e-15
0.574, -5.42056e-16
0.575, -3.73951e-15
0.576, 4.43175e-15
0.577, -1.43023e-15
0.578, -2.85133e-15
0.579, 3.89883e-15
0.58, -7.1971e-16
0.581, -2.85134e-15
0.582, 4.07648e-15
0.583, -2.14078e-15
0.584, -2.14079e-15
0.585, 4.43176e-15
0.586, -2.67368e-15
0.587, -1.60786e-15
0.588, 5.49754e-15
0.589, -4.98295e-15
0.59, 4.43176e-15
0.591, -6.22641e-15
0.592, 6.2081e-15
0.593, -6.40402e-15
0.594, 4.43174e-15
0.595, 2.65539e-15
0.596, -5.87112e-15
0.597, 5.49755e-15
0.598, -5.16058e-15
0.599, 2.83302e-15
0.6, -1.7855e-15
0.601, 8.79018e-16
0.602, 5.23757e-16
0.603, 2.30011e-15
0.604, -6.7593e-15
0.605, 6.03047e-15
0.606, -1.2526e-15
0.607, 1.58959e-15
0.608, -7.46986e-15
0.609, 9.76083e-15
0.61, -6.40406e-15
0.611, 2.65538e-15
0.612, -3.38424e-15
0.613, 3.72121e-15
0.614, -7.19684e-16
0.615, -1.07498e-15
0.616, 5.23746e-16
0.617, 1.23431e-15
0.618, 8.79013e-16
0.619, 1.68487e-16
0.62, -2.49604e-15
0.621, -2.14077e-15
0.622, 3.01064e-15
0.623, 3.46152e-16
0.624, -7.19702e-16
