sim_time, unit_box_Custom?world_angular_velocity/x
0.33, 2.03721e-17
0.331, 6.68965e-18
0.332, 1.05923e-17
0.333, 1.51175e-17
0.334, 9.87282e-18
0.335, 7.89358e-18
0.336, 1.00198e-17
0.337, 8.14926e-18
0.338, 1.51605e-17
0.339, 9.62857e-18
0.34, 1.08666e-17
0.341, 9.44016e-18
0.342, 9.52451e-18
0.343, 1.43153e-17
0.344, 1.28888e-17
0.345, 7.90964e-18
0.346, 1.59876e-17
0.347, 1.41171e-17
0.348, 1.26906e-17
0.349, 1.05545e-17
0.35, 1.22366e-17
0.351, 1.70274e-17
0.352, 8.0514e-18
0.353, 1.4353e-17
0.354, 1.44373e-17
0.355, 1.02376e-17
0.356, 1.14757e-17
0.357, 9.49643e-18
0.358, 1.00249e-17
0.359, 1.70361e-17
0.36, 9.12682e-18
0.361, 1.55853e-17
0.362, 1.22738e-17
0.363, 1.3956e-17
0.364, 7.53583e-18
0.365, 1.13298e-17
0.366, 8.57107e-18
0.367, 1.19209e-17
0.368, 1.39385e-17
0.369, 1.18024e-17
0.37, 1.21523e-17
0.371, 1.11699e-17
0.372, 1.37403e-17
0.373, 1.38246e-17
0.374, 1.63949e-17
0.375, 1.54126e-17
0.376, 1.34333e-17
0.377, 1.2895e-17
0.378, 1.3689e-17
0.379, 1.4483e-17
0.38, 6.28699e-18
0.381, 1.10778e-17
0.382, 1.18718e-17
0.383, 1.56657e-17
0.384, 1.46833e-17
0.385, 1.19246e-17
0.386, 1.40508e-17
0.387, 1.20716e-17
0.388, 1.45332e-17
0.389, 1.1509e-17
0.39, 1.40793e-17
0.391, 1.06109e-17
0.392, 8.18807e-18
0.393, 1.43111e-17
0.394, 1.18878e-17
0.395, 7.97534e-18
0.396, 1.69415e-17
0.397, 9.29778e-18
0.398, 1.33789e-17
0.399, 9.02238e-18
0.4, 1.11486e-17
0.401, 1.1233e-17
0.402, 1.39818e-17
0.403, 1.64435e-17
0.404, 1.05761e-17
0.405, 1.22583e-17
0.406, 1.61609e-17
0.407, 6.18802e-18
0.408, 1.54197e-17
0.409, 1.2661e-17
0.41, 9.45818e-18
0.411, 1.23639e-17
0.412, 1.86655e-17
0.413, 1.47531e-17
0.414, 9.32982e-18
0.415, 7.63779e-18
0.416, 1.43834e-17
0.417, 1.29569e-17
0.418, 1.25972e-17
0.419, 1.44579e-17
0.42, 1.15905e-17
0.421, 1.41608e-17
0.422, 1.00698e-17
0.423, 1.13079e-17
0.424, 1.46578e-17
0.425, 1.36754e-17
0.426, 1.18048e-17
0.427, 1.61515e-17
0.428, 8.84368e-18
0.429, 1.82539e-17
0.43, 1.07887e-17
0.431, 1.20268e-17
0.432, 1.47756e-17
0.433, 1.30836e-17
0.434, 1.03249e-17
0.435, 1.04092e-17
0.436, 1.36022e-17
0.437, 8.51434e-18
0.438, 1.33051e-17
0.439, 1.01022e-17
0.44, 1.31167e-17
0.441, 8.91701e-18
0.442, 1.50401e-17
0.443, 1.22814e-17
0.444, 1.08549e-17
0.445, 1.28725e-17
0.446, 8.96e-18
0.447, 1.17089e-17
0.448, 1.25028e-17
0.449, 1.39194e-17
0.45, 1.26715e-17
0.451, 1.39096e-17
0.452, 1.66584e-17
0.453, 1.18578e-17
0.454, 8.54628e-18
0.455, 1.24489e-17
0.456, 9.24607e-18
0.457, 1.13723e-17
0.458, 1.42785e-17
0.459, 1.2852e-17
0.46, 1.14255e-17
0.461, 1.31077e-17
0.462, 1.11285e-17
0.463, 1.56536e-17
0.464, 1.17412e-17
0.465, 1.03148e-17
0.466, 7.29048e-18
0.467, 1.44802e-17
0.468, 1.61624e-17
0.469, 1.225e-17
0.47, 1.23343e-17
0.471, 1.47959e-17
0.472, 9.37268e-18
0.473, 1.59398e-17
0.474, 1.22929e-17
0.475, 1.25341e-17
0.476, 6.66678e-18
0.477, 1.05694e-17
0.478, 1.22515e-17
0.479, 1.33809e-17
0.48, 8.5803e-18
0.481, 1.57701e-17
0.482, 9.01454e-18
0.483, 9.98706e-18
0.484, 1.27359e-17
0.485, 1.3974e-17
0.486, 6.50885e-18
0.487, 1.32545e-17
0.488, 1.2608e-17
0.489, 9.40514e-18
0.49, 1.06432e-17
0.491, 1.36576e-17
0.492, 1.38988e-17
0.493, 1.02519e-17
0.494, 7.49312e-18
0.495, 1.7613e-17
0.496, 1.47456e-17
0.497, 1.26094e-17
0.498, 8.69696e-18
0.499, 1.30436e-17
0.5, 8.24298e-18
0.501, 1.49887e-17
0.502, 1.31181e-17
0.503, 5.72392e-18
0.504, 1.52051e-17
0.505, 1.37786e-17
0.506, 1.23521e-17
0.507, 1.93633e-17
0.508, 1.1525e-17
0.509, 8.34383e-18
0.51, 1.27122e-17
0.511, 9.50936e-18
0.512, 1.91851e-17
0.513, 1.82027e-17
0.514, 9.69278e-18
0.515, 9.84805e-18
0.516, 1.15302e-17
0.517, 1.34618e-17
0.518, 8.06219e-18
0.519, 1.19648e-17
0.52, 9.228e-18
0.521, 1.02715e-17
0.522, 1.41741e-17
0.523, 1.27476e-17
0.524, 5.10389e-18
0.525, 1.50292e-17
0.526, 1.20758e-17
0.527, 1.06713e-17
0.528, 1.14653e-17
0.529, 1.62561e-17
0.53, 6.83602e-18
0.531, 1.25366e-17
0.532, 8.02323e-18
0.533, 1.99194e-17
0.534, 8.74493e-18
0.535, 1.75544e-17
0.536, 1.25752e-17
0.537, 9.39428e-18
0.538, 1.33186e-17
0.539, 1.01157e-17
0.54, 1.62388e-17
0.541, 8.59508e-18
0.542, 1.25211e-17
0.543, 1.44527e-17
0.544, 1.28316e-17
0.545, 1.36256e-17
0.546, 1.53078e-17
0.547, 1.43254e-17
0.548, 1.35925e-17
0.549, 9.07933e-18
0.55, 1.07615e-17
0.551, 1.86828e-17
0.552, 1.52853e-17
0.553, 8.08567e-18
0.554, 1.357e-17
0.555, 1.03889e-17
0.556, 1.29592e-17
0.557, 1.37532e-17
0.558, 1.98762e-17
0.559, 7.81331e-18
0.56, 1.39583e-17
0.561, 9.67262e-18
0.562, 1.2243e-17
0.563, 1.03724e-17
0.564, 1.38309e-17
0.565, 6.88077e-18
0.566, 1.23651e-17
0.567, 1.13827e-17
0.568, 1.33144e-17
0.569, 9.91694e-18
0.57, 1.29313e-17
0.571, 1.5307e-17
0.572, 1.67946e-17
0.573, 9.15089e-18
0.574, 1.08331e-17
0.575, 1.20711e-17
0.576, 1.40027e-17
0.577, 9.04542e-18
0.578, 6.75244e-18
0.579, 1.95368e-17
0.58, 1.01168e-17
0.581, 1.04667e-17
0.582, 1.30607e-17
0.583, 1.09955e-17
0.584, 1.22336e-17
0.585, 1.23888e-17
0.586, 1.14283e-17
0.587, 8.6696e-18
0.588, 1.48143e-17
0.589, 9.19646e-18
0.59, 9.99042e-18
0.591, 1.16726e-17
0.592, 1.73515e-17
0.593, 1.351e-17
0.594, 1.01126e-17
0.595, 1.09282e-17
0.596, 1.43867e-17
0.597, 1.20721e-17
0.598, 1.86392e-17
0.599, 1.10171e-17
0.6, 8.7242e-18
0.601, 1.26268e-17
0.602, 9.88979e-18
0.603, 1.24821e-17
0.604, 1.01675e-17
0.605, 1.14272e-17
0.606, 1.40195e-17
0.607, 1.12608e-17
0.608, 1.24988e-17
0.609, 1.10723e-17
0.61, 1.49966e-17
0.611, 1.07111e-17
0.612, 6.42543e-18
0.613, 1.61012e-17
0.614, 1.28984e-17
0.615, 1.36924e-17
0.616, 2.00649e-17
0.617, 8.44624e-18
0.618, 1.23489e-17
0.619, 1.22764e-17
0.62, 1.37639e-17
0.621, 7.89652e-18
0.622, 1.60454e-17
0.623, 5.75885e-18
0.624, 1.58787e-17
0.625, 1.44522e-17
0.626, 1.34699e-17
0.627, 1.16211e-17
0.628, 9.32817e-18
0.629, 7.70713e-18
0.63, 1.51624e-17
0.631, 9.73913e-18
0.632, 1.45299e-17
0.633, 1.24648e-17
0.634, 1.03996e-17
0.635, 1.60786e-17
0.636, 8.68432e-18
0.637, 1.77214e-17
0.638, 1.1854e-17
0.639, 1.42297e-17
0.64, 1.03882e-17
0.641, 1.11821e-17
0.642, 1.28643e-17
0.643, 5.22056e-18
0.644, 1.69222e-17
0.645, 9.30013e-18
0.646, 1.32245e-17
0.647, 1.40185e-17
0.648, 1.08157e-17
0.649, 1.56065e-17
0.65, 1.28695e-17
0.651, 7.69571e-18
