sim_time, unit_box_Custom?world_linear_acceleration/z
0.681, 3.55271e-15
0.682, 0
0.683, -1.77636e-15
0.684, 0
0.685, 1.77636e-15
0.686, 0
0.687, 0
0.688, 0
0.689, 0
0.69, -3.55271e-15
0.691, 1.77636e-15
0.692, 0
0.693, 3.55271e-15
0.694, -3.55271e-15
0.695, 0
0.696, 0
0.697, 1.77636e-15
0.698, 0
0.699, 0
0.7, -3.55271e-15
0.701, 3.55271e-15
0.702, -1.77636e-15
0.703, 3.55271e-15
0.704, 0
0.705, -3.55271e-15
0.706, 0
0.707, 1.77636e-15
0.708, 0
0.709, 0
0.71, -1.77636e-15
0.711, 0
0.712, 1.77636e-15
0.713, 0
0.714, 0
0.715, 0
0.716, -1.77636e-15
0.717, 0
0.718, 0
0.719, 3.55271e-15
0.72, -3.55271e-15
0.721, 1.77636e-15
0.722, 0
0.723, 0
0.724, 0
0.725, 0
0.726, -3.55271e-15
0.727, 3.55271e-15
0.728, -3.55271e-15
0.729, 1.77636e-15
0.73, 1.77636e-15
0.731, 0
0.732, 1.77636e-15
0.733, -1.77636e-15
0.734, 0
0.735, 1.77636e-15
0.736, -3.55271e-15
0.737, 3.55271e-15
0.738, -1.77636e-15
0.739, 0
0.74, -1.77636e-15
0.741, 0
0.742, 3.55271e-15
0.743, -3.55271e-15
0.744, 3.55271e-15
0.745, -3.55271e-15
0.746, 0
0.747, 3.55271e-15
0.748, -3.55271e-15
0.749, 1.77636e-15
0.75, 0
0.751, -1.77636e-15
0.752, 0
0.753, 0
0.754, 1.77636e-15
0.755, 1.77636e-15
0.756, -3.55271e-15
0.757, 1.77636e-15
0.758, 3.55271e-15
0.759, 0
0.76, -5.32907e-15
0.761, 1.77636e-15
0.762, 0
0.763, 1.77636e-15
0.764, 0
0.765, -1.77636e-15
0.766, 0
0.767, 1.77636e-15
0.768, -1.77636e-15
0.769, -3.55271e-15
0.77, 3.55271e-15
0.771, -1.77636e-15
0.772, 3.55271e-15
0.773, 0
0.774, -3.55271e-15
0.775, 0
0.776, 0
0.777, 0
0.778, 3.55271e-15
0.779, -3.55271e-15
0.78, 0
0.781, 1.77636e-15
0.782, 0
0.783, 1.77636e-15
0.784, -1.77636e-15
0.785, -1.77636e-15
0.786, 3.55271e-15
0.787, -3.55271e-15
0.788, 1.77636e-15
0.789, 0
0.79, 0
0.791, 1.77636e-15
0.792, 0
0.793, -3.55271e-15
0.794, 3.55271e-15
0.795, -3.55271e-15
0.796, 1.77636e-15
0.797, 0
0.798, -3.55271e-15
0.799, 3.55271e-15
0.8, 1.77636e-15
0.801, -1.77636e-15
0.802, -3.55271e-15
0.803, 3.55271e-15
0.804, -3.55271e-15
0.805, 3.55271e-15
0.806, 0
0.807, 1.77636e-15
0.808, -3.55271e-15
0.809, 3.55271e-15
0.81, -3.55271e-15
0.811, 3.55271e-15
0.812, -3.55271e-15
0.813, 3.55271e-15
0.814, 0
0.815, -1.77636e-15
0.816, -1.77636e-15
0.817, 0
0.818, 1.77636e-15
0.819, -1.77636e-15
0.82, 0
0.821, 1.77636e-15
0.822, 1.77636e-15
0.823, -5.32907e-15
0.824, 1.77636e-15
0.825, 0
0.826, 1.77636e-15
0.827, -3.55271e-15
0.828, 0
0.829, 1.77636e-15
0.83, 3.55271e-15
0.831, -3.55271e-15
0.832, 0
0.833, 0
0.834, 1.77636e-15
0.835, -1.77636e-15
0.836, 0
0.837, 3.55271e-15
0.838, -3.55271e-15
0.839, 0
0.84, 1.77636e-15
0.841, 0
0.842, 1.77636e-15
0.843, 0
0.844, 0
0.845, -3.55271e-15
0.846, 1.77636e-15
0.847, 0
0.848, 0
0.849, 0
0.85, 0
0.851, 1.77636e-15
0.852, -1.77636e-15
0.853, 0
0.854, 0
0.855, 0
0.856, 1.77636e-15
0.857, -3.55271e-15
0.858, 1.77636e-15
0.859, 0
0.86, 0
0.861, 1.77636e-15
0.862, 0
0.863, -3.55271e-15
0.864, 0
0.865, 3.55271e-15
0.866, -3.55271e-15
0.867, 0
0.868, 1.77636e-15
0.869, -3.55271e-15
0.87, 0
0.871, 3.55271e-15
0.872, 1.77636e-15
0.873, -3.55271e-15
0.874, 0
0.875, 1.77636e-15
0.876, 0
0.877, 0
0.878, 3.55271e-15
0.879, -7.10543e-15
0.88, 3.55271e-15
0.881, 0
0.882, 1.77636e-15
0.883, -1.77636e-15
0.884, 0
0.885, -1.77636e-15
0.886, 0
0.887, 3.55271e-15
0.888, -1.77636e-15
0.889, 0
0.89, 0
0.891, -3.55271e-15
0.892, 3.55271e-15
0.893, 1.77636e-15
0.894, -1.77636e-15
0.895, 0
0.896, 0
0.897, 3.55271e-15
0.898, -5.32907e-15
0.899, -1.77636e-15
0.9, 3.55271e-15
0.901, -1.77636e-15
0.902, 1.77636e-15
0.903, 3.55271e-15
0.904, -3.55271e-15
0.905, 0
0.906, 0
0.907, 0
0.908, 0
0.909, -3.55271e-15
0.91, 3.55271e-15
0.911, 0
0.912, 1.77636e-15
0.913, -1.77636e-15
0.914, 0
0.915, 0
0.916, 0
0.917, 1.77636e-15
0.918, -1.77636e-15
0.919, 0
0.92, 0
0.921, -1.77636e-15
0.922, 0
0.923, 1.77636e-15
0.924, -1.77636e-15
0.925, 0
0.926, 3.55271e-15
0.927, -3.55271e-15
0.928, 0
0.929, 1.77636e-15
0.93, -1.77636e-15
0.931, 0
0.932, 1.77636e-15
0.933, 0
0.934, 1.77636e-15
0.935, -1.77636e-15
0.936, 0
0.937, 0
0.938, 0
0.939, -1.77636e-15
0.94, 0
0.941, 3.55271e-15
0.942, -1.77636e-15
0.943, 0
0.944, 0
0.945, 0
0.946, -1.77636e-15
0.947, 0
0.948, 0
0.949, 3.55271e-15
0.95, 0
0.951, -3.55271e-15
0.952, 0
0.953, 1.77636e-15
0.954, -1.77636e-15
0.955, 1.77636e-15
0.956, 0
0.957, 0
0.958, 0
0.959, 0
0.96, -3.55271e-15
0.961, 1.77636e-15
0.962, 1.77636e-15
0.963, 0
0.964, 0
0.965, 0
0.966, 0
0.967, 0
0.968, -3.55271e-15
0.969, 3.55271e-15
0.97, 0
0.971, 1.77636e-15
0.972, -3.55271e-15
0.973, 3.55271e-15
0.974, -3.55271e-15
0.975, 0
0.976, 0
0.977, 0
0.978, 0
0.979, 3.55271e-15
0.98, 0
0.981, 0
0.982, -3.55271e-15
0.983, 0
0.984, 0
0.985, 1.77636e-15
0.986, 0
0.987, 0
0.988, -3.55271e-15
0.989, 3.55271e-15
0.99, 1.77636e-15
0.991, -1.77636e-15
0.992, -1.77636e-15
0.993, 0
0.994, 1.77636e-15
0.995, 0
0.996, 0
0.997, -3.55271e-15
0.998, 1.77636e-15
0.999, 0
1, 3.55271e-15
1.001, -3.55271e-15
1.002, 1.77636e-15
1.003, 1.77636e-15
1.004, 0
1.005, -3.55271e-15
1.006, 0
1.007, 1.77636e-15
1.008, 1.77636e-15
1.009, -3.55271e-15
1.01, 0
1.011, 3.55271e-15
1.012, -3.55271e-15
1.013, 1.77636e-15
1.014, 0
1.015, 0
1.016, -3.55271e-15
1.017, 3.55271e-15
1.018, 0
1.019, 0
1.02, 0
1.021, 0
1.022, -3.55271e-15
1.023, 1.77636e-15
1.024, 1.77636e-15
1.025, 0
1.026, -1.77636e-15
1.027, -3.55271e-15
1.028, 3.55271e-15
1.029, 3.55271e-15
1.03, 0
1.031, 0
1.032, -3.55271e-15
1.033, 0
1.034, 1.77636e-15
1.035, 0
1.036, 0
1.037, 0
1.038, -1.77636e-15
1.039, -3.55271e-15
1.04, 7.10543e-15
1.041, 0
1.042, 0
1.043, -3.55271e-15
1.044, 0
1.045, 3.55271e-15
1.046, -3.55271e-15
1.047, 1.77636e-15
1.048, 0
1.049, 0
1.05, 0
1.051, 3.55271e-15
1.052, 0
1.053, -3.55271e-15
1.054, -3.55271e-15
1.055, 1.77636e-15
1.056, 1.77636e-15
1.057, 1.77636e-15
1.058, -1.77636e-15
1.059, -3.55271e-15
1.06, 5.32907e-15
1.061, -1.77636e-15
1.062, -1.77636e-15
1.063, 0
1.064, 3.55271e-15
1.065, 0
1.066, -3.55271e-15
1.067, 1.77636e-15
1.068, -1.77636e-15
1.069, 0
1.07, 0
1.071, 1.77636e-15
1.072, 0
1.073, -1.77636e-15
1.074, -3.55271e-15
1.075, 7.10543e-15
1.076, -1.77636e-15
1.077, 0
1.078, -1.77636e-15
1.079, 1.77636e-15
1.08, -1.77636e-15
1.081, 1.77636e-15
1.082, 1.77636e-15
1.083, -1.77636e-15
1.084, 0
1.085, -1.77636e-15
1.086, 1.77636e-15
1.087, 1.77636e-15
1.088, -1.77636e-15
1.089, 0
1.09, -3.55271e-15
1.091, 0
1.092, 1.77636e-15
1.093, 1.77636e-15
1.094, -1.77636e-15
1.095, 3.55271e-15
1.096, -3.55271e-15
1.097, 3.55271e-15
1.098, 0
1.099, -1.77636e-15
1.1, 1.77636e-15
1.101, -1.77636e-15
1.102, -3.55271e-15
1.103, 3.55271e-15
1.104, 0
1.105, -3.55271e-15
1.106, 1.77636e-15
1.107, 0
1.108, 0
1.109, 0
1.11, 3.55271e-15
1.111, -3.55271e-15
1.112, -1.77636e-15
1.113, 3.55271e-15
1.114, -3.55271e-15
1.115, 1.77636e-15
1.116, 1.77636e-15
1.117, 0
1.118, -1.77636e-15
1.119, 0
1.12, 3.55271e-15
1.121, 0
1.122, -3.55271e-15
1.123, 0
1.124, 0
1.125, 3.55271e-15
1.126, -3.55271e-15
1.127, 1.77636e-15
1.128, -1.77636e-15
1.129, 0
1.13, 3.55271e-15
1.131, 0
1.132, -1.77636e-15
1.133, 0
1.134, 1.77636e-15
1.135, -3.55271e-15
1.136, 0
1.137, 3.55271e-15
1.138, -3.55271e-15
1.139, 0
1.14, 0
1.141, 1.77636e-15
1.142, 0
1.143, 1.77636e-15
1.144, 0
1.145, -1.77636e-15
1.146, -3.55271e-15
1.147, 3.55271e-15
1.148, 1.77636e-15
1.149, 0
1.15, -3.55271e-15
1.151, 1.77636e-15
1.152, -1.77636e-15
1.153, 0
1.154, 1.77636e-15
1.155, 0
1.156, 0
1.157, -1.77636e-15
1.158, 1.77636e-15
1.159, 0
1.16, -3.55271e-15
1.161, 3.55271e-15
1.162, -1.77636e-15
1.163, 3.55271e-15
1.164, -3.55271e-15
1.165, 0
1.166, 3.55271e-15
1.167, 0
1.168, -3.55271e-15
1.169, 0
1.17, -1.77636e-15
1.171, 0
1.172, 3.55271e-15
1.173, 0
1.174, 3.55271e-15
1.175, -3.55271e-15
1.176, 0
1.177, 0
1.178, -3.55271e-15
1.179, 3.55271e-15
1.18, 1.77636e-15
1.181, -3.55271e-15
1.182, 0
1.183, 1.77636e-15
1.184, 1.77636e-15
1.185, -1.77636e-15
1.186, -3.55271e-15
1.187, 0
1.188, 1.77636e-15
1.189, 3.55271e-15
1.19, -3.55271e-15
1.191, 0
1.192, 1.77636e-15
1.193, 0
1.194, -1.77636e-15
1.195, 3.55271e-15
1.196, 0
1.197, -3.55271e-15
1.198, 1.77636e-15
1.199, 1.77636e-15
1.2, 0
1.201, -3.55271e-15
1.202, 1.77636e-15
1.203, 1.77636e-15
1.204, 0
1.205, -1.77636e-15
1.206, -1.77636e-15
1.207, -1.77636e-15
1.208, 3.55271e-15
1.209, 0
1.21, 0
1.211, -5.32907e-15
1.212, 3.55271e-15
1.213, 1.77636e-15
1.214, 0
1.215, 0
1.216, 0
1.217, 1.77636e-15
1.218, -1.77636e-15
1.219, -3.55271e-15
1.22, 1.77636e-15
1.221, 1.77636e-15
1.222, 0
1.223, -1.77636e-15
1.224, 0
1.225, 3.55271e-15
1.226, -3.55271e-15
1.227, 3.55271e-15
1.228, -3.55271e-15
1.229, 0
1.23, 3.55271e-15
1.231, -3.55271e-15
1.232, 1.77636e-15
1.233, 0
1.234, 0
1.235, -3.55271e-15
1.236, 3.55271e-15
1.237, -3.55271e-15
1.238, 3.55271e-15
1.239, 0
1.24, -3.55271e-15
1.241, 3.55271e-15
1.242, 0
1.243, 0
1.244, 0
1.245, -1.77636e-15
1.246, 0
1.247, 0
1.248, 3.55271e-15
1.249, -3.55271e-15
1.25, 1.77636e-15
1.251, 1.77636e-15
1.252, -1.77636e-15
1.253, -3.55271e-15
1.254, 1.77636e-15
1.255, 1.77636e-15
1.256, 0
1.257, 1.77636e-15
1.258, -1.77636e-15
1.259, 0
1.26, 1.77636e-15
1.261, -1.77636e-15
1.262, -1.77636e-15
1.263, -1.77636e-15
1.264, 1.77636e-15
1.265, 3.55271e-15
1.266, 0
1.267, 0
1.268, -5.32907e-15
1.269, 3.55271e-15
1.27, 0
1.271, 0
1.272, 0
1.273, 0
1.274, -1.77636e-15
1.275, 1.77636e-15
1.276, 0
1.277, 0
1.278, 0
1.279, 0
1.28, 0
1.281, 0
1.282, -1.77636e-15
1.283, -3.55271e-15
1.284, 7.10543e-15
1.285, -3.55271e-15
1.286, 0
1.287, 1.77636e-15
1.288, 1.77636e-15
1.289, -3.55271e-15
1.29, 0
1.291, 0
1.292, 3.55271e-15
1.293, -1.77636e-15
