sim_time, unit_box_Custom?world_angular_velocity/z
0.719, 4.29291e-19
0.72, 4.29575e-19
0.721, 4.29942e-19
0.722, 4.29589e-19
0.723, 4.2932e-19
0.724, 4.29377e-19
0.725, 4.29497e-19
0.726, 4.2937e-19
0.727, 4.29268e-19
0.728, 4.29302e-19
0.729, 4.29467e-19
0.73, 4.29552e-19
0.731, 4.29631e-19
0.732, 4.29573e-19
0.733, 4.29736e-19
0.734, 4.29541e-19
0.735, 4.29659e-19
0.736, 4.29376e-19
0.737, 4.29449e-19
0.738, 4.29499e-19
0.739, 4.29535e-19
0.74, 4.29354e-19
0.741, 4.29711e-19
0.742, 4.29146e-19
0.743, 4.29232e-19
0.744, 4.29473e-19
0.745, 4.29584e-19
0.746, 4.2924e-19
0.747, 4.29596e-19
0.748, 4.2931e-19
0.749, 4.29292e-19
0.75, 4.29346e-19
0.751, 4.2949e-19
0.752, 4.29248e-19
0.753, 4.29444e-19
0.754, 4.29484e-19
0.755, 4.29261e-19
0.756, 4.2931e-19
0.757, 4.29497e-19
0.758, 4.29552e-19
0.759, 4.29916e-19
0.76, 4.29367e-19
0.761, 4.29561e-19
0.762, 4.29575e-19
0.763, 4.29173e-19
0.764, 4.29634e-19
0.765, 4.29364e-19
0.766, 4.29715e-19
0.767, 4.29193e-19
0.768, 4.29415e-19
0.769, 4.29253e-19
0.77, 4.29489e-19
0.771, 4.29736e-19
0.772, 4.29651e-19
0.773, 4.29599e-19
0.774, 4.29417e-19
0.775, 4.29081e-19
0.776, 4.29475e-19
0.777, 4.29165e-19
0.778, 4.29655e-19
0.779, 4.2926e-19
0.78, 4.29576e-19
0.781, 4.29696e-19
0.782, 4.29486e-19
0.783, 4.29561e-19
0.784, 4.29415e-19
0.785, 4.29949e-19
0.786, 4.29681e-19
0.787, 4.29439e-19
0.788, 4.2895e-19
0.789, 4.29363e-19
0.79, 4.29589e-19
0.791, 4.2951e-19
0.792, 4.29447e-19
0.793, 4.29349e-19
0.794, 4.29771e-19
0.795, 4.29275e-19
0.796, 4.29484e-19
0.797, 4.29257e-19
0.798, 4.29253e-19
0.799, 4.29306e-19
0.8, 4.29454e-19
0.801, 4.29415e-19
0.802, 4.29415e-19
0.803, 4.29519e-19
0.804, 4.29567e-19
0.805, 4.29485e-19
0.806, 4.29422e-19
0.807, 4.295e-19
0.808, 4.29603e-19
0.809, 4.29433e-19
0.81, 4.29308e-19
0.811, 4.29492e-19
0.812, 4.29187e-19
0.813, 4.2969e-19
0.814, 4.29632e-19
0.815, 4.29526e-19
0.816, 4.29336e-19
0.817, 4.2956e-19
0.818, 4.29696e-19
0.819, 4.2929e-19
0.82, 4.29257e-19
0.821, 4.29676e-19
0.822, 4.29587e-19
0.823, 4.29272e-19
0.824, 4.2936e-19
0.825, 4.29427e-19
0.826, 4.29214e-19
0.827, 4.29477e-19
0.828, 4.29494e-19
0.829, 4.29568e-19
0.83, 4.29626e-19
0.831, 4.29605e-19
0.832, 4.29619e-19
0.833, 4.29447e-19
0.834, 4.29717e-19
0.835, 4.29558e-19
0.836, 4.29488e-19
0.837, 4.29433e-19
0.838, 4.29332e-19
0.839, 4.29349e-19
0.84, 4.29218e-19
0.841, 4.29165e-19
0.842, 4.29513e-19
0.843, 4.2954e-19
0.844, 4.29573e-19
0.845, 4.29486e-19
0.846, 4.29358e-19
0.847, 4.29495e-19
0.848, 4.294e-19
0.849, 4.29342e-19
0.85, 4.29418e-19
0.851, 4.29664e-19
0.852, 4.2927e-19
0.853, 4.29427e-19
0.854, 4.2949e-19
0.855, 4.2966e-19
0.856, 4.2966e-19
0.857, 4.29605e-19
0.858, 4.29479e-19
0.859, 4.29575e-19
0.86, 4.29502e-19
0.861, 4.29664e-19
0.862, 4.29632e-19
0.863, 4.29208e-19
0.864, 4.29575e-19
0.865, 4.29678e-19
0.866, 4.29397e-19
0.867, 4.29303e-19
0.868, 4.29692e-19
0.869, 4.29332e-19
0.87, 4.29266e-19
0.871, 4.29271e-19
0.872, 4.29524e-19
0.873, 4.29633e-19
0.874, 4.29551e-19
0.875, 4.29203e-19
0.876, 4.29415e-19
0.877, 4.29364e-19
0.878, 4.29448e-19
0.879, 4.29263e-19
0.88, 4.29473e-19
0.881, 4.2956e-19
0.882, 4.29561e-19
0.883, 4.28972e-19
0.884, 4.29551e-19
0.885, 4.29255e-19
0.886, 4.29303e-19
0.887, 4.29595e-19
0.888, 4.29598e-19
0.889, 4.29314e-19
0.89, 4.29201e-19
0.891, 4.29175e-19
0.892, 4.29313e-19
0.893, 4.29615e-19
0.894, 4.29259e-19
0.895, 4.29688e-19
0.896, 4.29448e-19
0.897, 4.29323e-19
0.898, 4.2962e-19
0.899, 4.29394e-19
0.9, 4.29574e-19
0.901, 4.293e-19
0.902, 4.295e-19
0.903, 4.29665e-19
0.904, 4.29421e-19
0.905, 4.29427e-19
0.906, 4.29422e-19
0.907, 4.29393e-19
0.908, 4.29582e-19
0.909, 4.28983e-19
0.91, 4.29605e-19
0.911, 4.29518e-19
0.912, 4.29193e-19
0.913, 4.29905e-19
0.914, 4.29445e-19
0.915, 4.29582e-19
0.916, 4.29342e-19
0.917, 4.29312e-19
0.918, 4.29432e-19
0.919, 4.29475e-19
0.92, 4.29393e-19
0.921, 4.29354e-19
0.922, 4.29687e-19
0.923, 4.29975e-19
0.924, 4.29121e-19
0.925, 4.29638e-19
0.926, 4.29459e-19
0.927, 4.29584e-19
0.928, 4.2924e-19
0.929, 4.29401e-19
0.93, 4.2972e-19
0.931, 4.29439e-19
0.932, 4.29693e-19
0.933, 4.2956e-19
0.934, 4.29664e-19
0.935, 4.29646e-19
0.936, 4.29551e-19
0.937, 4.29518e-19
0.938, 4.2958e-19
0.939, 4.29283e-19
0.94, 4.2936e-19
0.941, 4.29618e-19
0.942, 4.2924e-19
0.943, 4.29514e-19
0.944, 4.29257e-19
0.945, 4.2932e-19
0.946, 4.2972e-19
0.947, 4.2933e-19
0.948, 4.29374e-19
0.949, 4.29513e-19
0.95, 4.29464e-19
0.951, 4.29263e-19
0.952, 4.29155e-19
0.953, 4.29912e-19
0.954, 4.29366e-19
0.955, 4.29837e-19
0.956, 4.29485e-19
0.957, 4.29239e-19
0.958, 4.29509e-19
0.959, 4.29257e-19
0.96, 4.29415e-19
0.961, 4.29392e-19
0.962, 4.29355e-19
0.963, 4.29407e-19
0.964, 4.29551e-19
0.965, 4.29369e-19
0.966, 4.2948e-19
0.967, 4.29397e-19
0.968, 4.29345e-19
0.969, 4.29228e-19
0.97, 4.29467e-19
0.971, 4.29512e-19
0.972, 4.29361e-19
0.973, 4.29595e-19
0.974, 4.2932e-19
0.975, 4.29188e-19
0.976, 4.2927e-19
0.977, 4.29465e-19
0.978, 4.29801e-19
0.979, 4.29529e-19
0.98, 4.29639e-19
0.981, 4.2958e-19
0.982, 4.29452e-19
0.983, 4.29385e-19
0.984, 4.29462e-19
0.985, 4.29524e-19
0.986, 4.29427e-19
0.987, 4.29498e-19
0.988, 4.29651e-19
0.989, 4.29353e-19
0.99, 4.29696e-19
0.991, 4.29642e-19
0.992, 4.29336e-19
0.993, 4.29374e-19
0.994, 4.29479e-19
0.995, 4.29575e-19
0.996, 4.29349e-19
0.997, 4.29229e-19
0.998, 4.29273e-19
0.999, 4.29165e-19
1, 4.29317e-19
1.001, 4.29193e-19
1.002, 4.29852e-19
1.003, 4.29661e-19
1.004, 4.29632e-19
1.005, 4.29208e-19
1.006, 4.2932e-19
1.007, 4.29422e-19
1.008, 4.29504e-19
1.009, 4.29584e-19
1.01, 4.29266e-19
1.011, 4.29449e-19
1.012, 4.29332e-19
1.013, 4.29852e-19
1.014, 4.29349e-19
1.015, 4.2955e-19
1.016, 4.29374e-19
1.017, 4.29426e-19
1.018, 4.29422e-19
1.019, 4.29505e-19
1.02, 4.29446e-19
1.021, 4.29167e-19
1.022, 4.29284e-19
1.023, 4.29292e-19
1.024, 4.29692e-19
1.025, 4.29346e-19
1.026, 4.29354e-19
1.027, 4.29248e-19
1.028, 4.29439e-19
1.029, 4.29665e-19
1.03, 4.29492e-19
1.031, 4.29632e-19
1.032, 4.29546e-19
1.033, 4.29575e-19
1.034, 4.29577e-19
1.035, 4.29439e-19
1.036, 4.29167e-19
1.037, 4.29418e-19
1.038, 4.29375e-19
1.039, 4.28987e-19
1.04, 4.29798e-19
1.041, 4.29632e-19
1.042, 4.29444e-19
1.043, 4.29418e-19
1.044, 4.2951e-19
1.045, 4.29448e-19
1.046, 4.2931e-19
1.047, 4.29852e-19
1.048, 4.2932e-19
1.049, 4.29427e-19
1.05, 4.29653e-19
1.051, 4.29716e-19
1.052, 4.29632e-19
1.053, 4.29341e-19
1.054, 4.29298e-19
1.055, 4.29497e-19
1.056, 4.29455e-19
1.057, 4.29659e-19
1.058, 4.29526e-19
1.059, 4.29308e-19
1.06, 4.29752e-19
1.061, 4.29736e-19
1.062, 4.29336e-19
1.063, 4.29503e-19
1.064, 4.29303e-19
1.065, 4.29535e-19
1.066, 4.29567e-19
1.067, 4.29692e-19
1.068, 4.29558e-19
1.069, 4.29573e-19
1.07, 4.29492e-19
1.071, 4.29852e-19
1.072, 4.29227e-19
