sim_time, unit_box_Custom?world_angular_acceleration/z
1.14, 1.87364e-05
1.141, -6.12842e-05
1.142, -1.79117e-05
1.143, 6.04597e-05
1.144, 1.93534e-05
1.145, -6.19015e-05
1.146, -1.80289e-05
1.147, 6.0577e-05
1.148, 1.93887e-05
1.149, -6.19368e-05
1.15, -1.80374e-05
1.151, 6.05855e-05
1.152, 1.93907e-05
1.153, -6.19389e-05
1.154, -1.8038e-05
1.155, 6.05861e-05
1.156, 1.93909e-05
1.157, -6.1939e-05
1.158, -1.8038e-05
1.159, 6.05861e-05
1.16, 1.93909e-05
1.161, -6.1939e-05
1.162, -1.8038e-05
1.163, 6.05861e-05
1.164, 1.93909e-05
1.165, -6.1939e-05
1.166, -1.8038e-05
1.167, 6.05861e-05
1.168, 1.93909e-05
1.169, -6.1939e-05
1.17, -1.8038e-05
1.171, 6.05861e-05
1.172, 1.93909e-05
1.173, -6.1939e-05
1.174, -1.8038e-05
1.175, 6.05861e-05
1.176, 1.93909e-05
1.177, -6.1939e-05
1.178, -1.8038e-05
1.179, 6.05861e-05
1.18, 1.93909e-05
1.181, -6.1939e-05
1.182, -1.8038e-05
1.183, 6.05861e-05
1.184, 1.93909e-05
1.185, -6.1939e-05
1.186, -1.8038e-05
1.187, 6.05861e-05
1.188, 1.93909e-05
1.189, -6.1939e-05
1.19, -1.8038e-05
1.191, 6.05861e-05
1.192, 1.93909e-05
1.193, -6.1939e-05
1.194, -1.8038e-05
1.195, 6.05861e-05
1.196, 1.93909e-05
1.197, -6.1939e-05
1.198, -1.8038e-05
1.199, 6.05861e-05
1.2, 1.93909e-05
1.201, -6.1939e-05
1.202, -1.8038e-05
1.203, 6.05861e-05
1.204, 1.93909e-05
1.205, -6.1939e-05
1.206, -1.8038e-05
1.207, 6.05861e-05
1.208, 1.93909e-05
1.209, -6.1939e-05
1.21, -1.8038e-05
1.211, 6.05861e-05
1.212, 1.93909e-05
1.213, -6.1939e-05
1.214, -1.8038e-05
1.215, 6.05861e-05
1.216, 1.93909e-05
1.217, -6.1939e-05
1.218, -1.8038e-05
1.219, 6.05861e-05
1.22, 1.93909e-05
1.221, -6.1939e-05
1.222, -1.8038e-05
1.223, 6.05861e-05
1.224, 1.93909e-05
1.225, -6.1939e-05
1.226, -1.8038e-05
1.227, 6.05861e-05
1.228, 1.93909e-05
1.229, -6.1939e-05
1.23, -1.8038e-05
1.231, 6.05861e-05
1.232, 1.93909e-05
1.233, -6.1939e-05
1.234, -1.8038e-05
1.235, 6.05861e-05
1.236, 1.93909e-05
1.237, -6.1939e-05
1.238, -1.8038e-05
1.239, 6.05861e-05
1.24, 1.93909e-05
1.241, -6.1939e-05
1.242, -1.8038e-05
1.243, 6.05861e-05
1.244, 1.93909e-05
1.245, -6.1939e-05
1.246, -1.8038e-05
1.247, 6.05861e-05
1.248, 1.93909e-05
1.249, -6.1939e-05
1.25, -1.8038e-05
1.251, 6.05861e-05
1.252, 1.93909e-05
1.253, -6.1939e-05
1.254, -1.8038e-05
1.255, 6.05861e-05
1.256, 1.93909e-05
1.257, -6.1939e-05
1.258, -1.8038e-05
1.259, 6.05861e-05
1.26, 1.93909e-05
1.261, -6.1939e-05
1.262, -1.8038e-05
1.263, 6.05861e-05
1.264, 1.93909e-05
1.265, -6.1939e-05
1.266, -1.8038e-05
1.267, 6.05861e-05
1.268, 1.93909e-05
1.269, -6.1939e-05
1.27, -1.8038e-05
1.271, 6.05861e-05
1.272, 1.93909e-05
1.273, -6.1939e-05
1.274, -1.8038e-05
1.275, 6.05861e-05
1.276, 1.93909e-05
1.277, -6.1939e-05
1.278, -1.8038e-05
1.279, 6.05861e-05
1.28, 1.93909e-05
1.281, -6.1939e-05
1.282, -1.8038e-05
1.283, 6.05861e-05
