sim_time, unit_box_Custom?world_pose/position/x
0.47, 3.28674e-05
0.471, 2.74946e-05
0.472, 2.02707e-05
0.473, 2.58979e-05
0.474, 3.33809e-05
0.475, 2.80103e-05
0.476, 2.07887e-05
0.477, 2.64184e-05
0.478, 3.39039e-05
0.479, 2.85356e-05
0.48, 2.13163e-05
0.481, 2.69485e-05
0.482, 3.44365e-05
0.483, 2.90706e-05
0.484, 2.18537e-05
0.485, 2.74884e-05
0.486, 3.4979e-05
0.487, 2.96156e-05
0.488, 2.24011e-05
0.489, 2.80383e-05
0.49, 3.55316e-05
0.491, 3.01706e-05
0.492, 2.29586e-05
0.493, 2.85985e-05
0.494, 3.60945e-05
0.495, 3.0736e-05
0.496, 2.35265e-05
0.497, 2.9169e-05
0.498, 3.66678e-05
0.499, 3.13118e-05
0.5, 2.41049e-05
0.501, 2.97502e-05
0.502, 3.72517e-05
0.503, 3.18984e-05
0.504, 2.46941e-05
0.505, 3.03421e-05
0.506, 3.78466e-05
0.507, 3.24958e-05
0.508, 2.52942e-05
0.509, 3.09451e-05
0.51, 3.84525e-05
0.511, 3.31044e-05
0.512, 2.59055e-05
0.513, 3.15593e-05
0.514, 3.90697e-05
0.515, 3.37244e-05
0.516, 2.65282e-05
0.517, 3.2185e-05
0.518, 3.96984e-05
0.519, 3.43559e-05
0.52, 2.71625e-05
0.521, 3.28223e-05
0.522, 4.03388e-05
0.523, 3.49991e-05
0.524, 2.78087e-05
0.525, 3.34715e-05
0.526, 4.09912e-05
0.527, 3.56544e-05
0.528, 2.84668e-05
0.529, 3.41328e-05
0.53, 4.16557e-05
0.531, 3.63219e-05
0.532, 2.91373e-05
0.533, 3.48065e-05
0.534, 4.23327e-05
0.535, 3.70019e-05
0.536, 2.98203e-05
0.537, 3.54928e-05
0.538, 4.30223e-05
0.539, 3.76946e-05
0.54, 3.05161e-05
0.541, 3.61919e-05
0.542, 4.37248e-05
0.543, 3.84002e-05
0.544, 3.12249e-05
0.545, 3.6904e-05
0.546, 4.44405e-05
0.547, 3.91191e-05
0.548, 3.1947e-05
0.549, 3.76295e-05
0.55, 4.51695e-05
0.551, 3.98514e-05
0.552, 3.26825e-05
0.553, 3.83686e-05
0.554, 4.59123e-05
0.555, 4.05974e-05
0.556, 3.34319e-05
0.557, 3.91215e-05
0.558, 4.66689e-05
0.559, 4.13574e-05
0.56, 3.41952e-05
0.561, 3.98886e-05
0.562, 4.74397e-05
0.563, 4.21316e-05
0.564, 3.49729e-05
0.565, 4.067e-05
0.566, 4.82249e-05
0.567, 4.29203e-05
0.568, 3.57652e-05
0.569, 4.1466e-05
0.57, 4.90249e-05
0.571, 4.37239e-05
0.572, 3.65723e-05
0.573, 4.2277e-05
0.574, 4.98399e-05
0.575, 4.45425e-05
0.576, 3.73946e-05
0.577, 4.31032e-05
0.578, 5.06702e-05
0.579, 4.53765e-05
0.58, 3.82322e-05
0.581, 4.39449e-05
0.582, 5.15161e-05
0.583, 4.62261e-05
0.584, 3.90857e-05
0.585, 4.48025e-05
0.586, 5.23778e-05
0.587, 4.70917e-05
0.588, 3.99551e-05
0.589, 4.56761e-05
0.59, 5.32558e-05
0.591, 4.79735e-05
0.592, 4.08409e-05
0.593, 4.65661e-05
0.594, 5.41502e-05
0.595, 4.8872e-05
0.596, 4.17433e-05
0.597, 4.74729e-05
0.598, 5.50615e-05
0.599, 4.97873e-05
0.6, 4.26626e-05
0.601, 4.83967e-05
0.602, 5.59899e-05
0.603, 5.07198e-05
0.604, 4.35993e-05
0.605, 4.93379e-05
0.606, 5.69357e-05
0.607, 5.16698e-05
0.608, 4.45535e-05
0.609, 5.02967e-05
0.61, 5.78993e-05
0.611, 5.26377e-05
0.612, 4.55257e-05
0.613, 5.12736e-05
0.614, 5.88811e-05
0.615, 5.36238e-05
0.616, 4.65162e-05
0.617, 5.22689e-05
0.618, 5.98813e-05
0.619, 5.46285e-05
0.62, 4.75253e-05
0.621, 5.32829e-05
0.622, 6.09004e-05
0.623, 5.56521e-05
0.624, 4.85534e-05
0.625, 5.4316e-05
0.626, 6.19386e-05
0.627, 5.66949e-05
0.628, 4.96009e-05
0.629, 5.53685e-05
0.63, 6.29964e-05
0.631, 5.77574e-05
0.632, 5.06681e-05
0.633, 5.64409e-05
0.634, 6.40741e-05
0.635, 5.88399e-05
0.636, 5.17553e-05
0.637, 5.75334e-05
0.638, 6.51721e-05
0.639, 5.99428e-05
0.64, 5.28631e-05
0.641, 5.86466e-05
0.642, 6.62908e-05
0.643, 6.10664e-05
0.644, 5.39917e-05
0.645, 5.97806e-05
0.646, 6.74306e-05
0.647, 6.22112e-05
0.648, 5.51415e-05
0.649, 6.09361e-05
0.65, 6.85919e-05
0.651, 6.33776e-05
0.652, 5.6313e-05
0.653, 6.21133e-05
0.654, 6.9775e-05
0.655, 6.45659e-05
0.656, 5.75066e-05
0.657, 6.33127e-05
0.658, 7.09804e-05
0.659, 6.57767e-05
0.66, 5.87227e-05
0.661, 6.45347e-05
0.662, 7.22085e-05
0.663, 6.70102e-05
0.664, 5.99617e-05
0.665, 6.57798e-05
0.666, 7.34598e-05
0.667, 6.82671e-05
0.668, 6.1224e-05
0.669, 6.70483e-05
0.67, 7.47347e-05
0.671, 6.95476e-05
0.672, 6.25102e-05
0.673, 6.83407e-05
0.674, 7.60337e-05
0.675, 7.08522e-05
0.676, 6.38205e-05
0.677, 6.96574e-05
0.678, 7.73571e-05
0.679, 7.21814e-05
0.68, 6.51556e-05
0.681, 7.0999e-05
0.682, 7.87055e-05
0.683, 7.35358e-05
0.684, 6.65158e-05
0.685, 7.23659e-05
0.686, 8.00793e-05
0.687, 7.49156e-05
0.688, 6.79017e-05
0.689, 7.37586e-05
0.69, 8.1479e-05
0.691, 7.63215e-05
0.692, 6.93137e-05
0.693, 7.51775e-05
0.694, 8.29051e-05
0.695, 7.77538e-05
0.696, 7.07524e-05
0.697, 7.66232e-05
0.698, 8.43581e-05
0.699, 7.92132e-05
0.7, 7.22181e-05
0.701, 7.80962e-05
0.702, 8.58385e-05
0.703, 8.07001e-05
0.704, 7.37115e-05
0.705, 7.95969e-05
0.706, 8.73469e-05
0.707, 8.22151e-05
0.708, 7.52331e-05
0.709, 8.11259e-05
0.71, 8.88837e-05
0.711, 8.37586e-05
0.712, 7.67833e-05
0.713, 8.26838e-05
0.714, 9.04494e-05
0.715, 8.53312e-05
0.716, 7.83628e-05
0.717, 8.42711e-05
0.718, 9.20448e-05
0.719, 8.69335e-05
0.72, 7.9972e-05
0.721, 8.58882e-05
0.722, 9.36702e-05
0.723, 8.85661e-05
0.724, 8.16117e-05
0.725, 8.75359e-05
0.726, 9.53263e-05
0.727, 9.02294e-05
0.728, 8.32822e-05
0.729, 8.92147e-05
0.73, 9.70136e-05
0.731, 9.19241e-05
0.732, 8.49842e-05
0.733, 9.09251e-05
0.734, 9.87328e-05
0.735, 9.36507e-05
0.736, 8.67183e-05
0.737, 9.26678e-05
0.738, 0.000100484
0.739, 9.54099e-05
0.74, 8.84851e-05
0.741, 9.44433e-05
0.742, 0.000102269
0.743, 9.72023e-05
0.744, 9.02853e-05
0.745, 9.62524e-05
0.746, 0.000104087
0.747, 9.90285e-05
