sim_time, unit_box_Custom?world_pose/position/y
1.209, 5.08821
1.21, 5.08821
1.211, 5.08821
1.212, 5.08821
1.213, 5.08821
1.214, 5.08821
1.215, 5.08821
1.216, 5.08821
1.217, 5.08821
1.218, 5.08821
1.219, 5.08821
1.22, 5.08821
1.221, 5.08821
1.222, 5.08821
1.223, 5.08821
1.224, 5.08821
1.225, 5.08821
1.226, 5.08821
1.227, 5.08821
1.228, 5.08821
1.229, 5.08821
1.23, 5.08821
1.231, 5.08821
1.232, 5.08821
1.233, 5.08821
1.234, 5.08821
1.235, 5.08821
1.236, 5.08821
1.237, 5.08821
1.238, 5.08821
1.239, 5.08821
1.24, 5.08821
1.241, 5.08821
1.242, 5.08821
1.243, 5.08821
1.244, 5.08821
1.245, 5.08821
1.246, 5.08821
1.247, 5.08821
1.248, 5.08821
1.249, 5.08821
1.25, 5.08821
1.251, 5.08821
1.252, 5.08821
1.253, 5.08821
1.254, 5.08821
1.255, 5.08821
1.256, 5.08821
1.257, 5.08821
1.258, 5.08821
1.259, 5.08821
1.26, 5.08821
1.261, 5.08821
1.262, 5.08821
1.263, 5.08821
1.264, 5.08821
1.265, 5.08821
1.266, 5.08821
1.267, 5.08821
1.268, 5.08821
1.269, 5.08821
1.27, 5.08821
1.271, 5.08821
1.272, 5.08821
1.273, 5.08821
1.274, 5.08821
1.275, 5.08821
1.276, 5.08821
1.277, 5.08821
1.278, 5.08821
1.279, 5.08821
1.28, 5.08821
1.281, 5.08821
1.282, 5.08821
1.283, 5.08821
1.284, 5.08821
1.285, 5.08821
1.286, 5.08821
1.287, 5.08821
1.288, 5.08821
1.289, 5.08821
1.29, 5.08821
1.291, 5.08821
1.292, 5.08821
1.293, 5.08821
1.294, 5.08821
1.295, 5.08821
1.296, 5.08821
1.297, 5.08821
1.298, 5.08821
1.299, 5.08821
1.3, 5.08821
1.301, 5.08821
1.302, 5.08821
1.303, 5.08821
1.304, 5.08821
1.305, 5.08821
1.306, 5.08821
1.307, 5.08821
1.308, 5.08821
1.309, 5.08821
1.31, 5.08821
1.311, 5.08821
1.312, 5.08821
1.313, 5.08821
1.314, 5.08821
1.315, 5.08821
1.316, 5.08821
1.317, 5.08821
1.318, 5.08821
1.319, 5.08821
1.32, 5.08821
1.321, 5.08821
1.322, 5.08821
1.323, 5.08821
1.324, 5.08821
1.325, 5.08821
1.326, 5.08821
1.327, 5.08821
1.328, 5.08821
1.329, 5.08821
1.33, 5.08821
1.331, 5.08821
1.332, 5.08821
1.333, 5.08821
1.334, 5.08821
1.335, 5.08821
1.336, 5.08821
1.337, 5.08821
1.338, 5.08821
1.339, 5.08821
1.34, 5.08821
1.341, 5.08821
1.342, 5.08821
1.343, 5.08821
1.344, 5.08821
1.345, 5.08821
1.346, 5.08821
1.347, 5.08821
1.348, 5.08821
1.349, 5.08821
1.35, 5.08821
1.351, 5.08821
1.352, 5.08821
1.353, 5.08821
1.354, 5.08821
1.355, 5.08821
1.356, 5.08821
1.357, 5.08821
1.358, 5.08821
1.359, 5.08821
1.36, 5.08821
1.361, 5.08821
1.362, 5.08821
1.363, 5.08821
1.364, 5.08821
1.365, 5.08821
1.366, 5.08821
1.367, 5.08821
1.368, 5.08821
1.369, 5.08821
1.37, 5.08821
1.371, 5.08821
1.372, 5.08821
1.373, 5.08821
1.374, 5.08821
1.375, 5.08821
1.376, 5.08821
1.377, 5.08821
1.378, 5.08821
1.379, 5.08821
1.38, 5.08821
1.381, 5.08821
1.382, 5.08821
1.383, 5.08821
1.384, 5.08821
1.385, 5.08821
1.386, 5.08821
1.387, 5.08821
1.388, 5.08821
1.389, 5.08821
1.39, 5.08821
1.391, 5.08821
1.392, 5.08821
