sim_time, unit_box_Custom?world_pose/orientation/pitch
0.413, -9.24131e-07
0.414, 6.42661e-06
0.415, 9.28244e-07
0.416, -6.42078e-06
0.417, -9.24091e-07
0.418, 6.42667e-06
0.419, 9.28286e-07
0.42, -6.42072e-06
0.421, -9.2405e-07
0.422, 6.42673e-06
0.423, 9.28328e-07
0.424, -6.42066e-06
0.425, -9.24009e-07
0.426, 6.42679e-06
0.427, 9.28371e-07
0.428, -6.4206e-06
0.429, -9.23966e-07
0.43, 6.42685e-06
0.431, 9.28415e-07
0.432, -6.42054e-06
0.433, -9.23923e-07
0.434, 6.42691e-06
0.435, 9.2846e-07
0.436, -6.42047e-06
0.437, -9.23879e-07
0.438, 6.42697e-06
0.439, 9.28505e-07
0.44, -6.42041e-06
0.441, -9.23835e-07
0.442, 6.42704e-06
0.443, 9.28552e-07
0.444, -6.42034e-06
0.445, -9.23789e-07
0.446, 6.4271e-06
0.447, 9.28599e-07
0.448, -6.42028e-06
0.449, -9.23743e-07
0.45, 6.42717e-06
0.451, 9.28647e-07
0.452, -6.42021e-06
0.453, -9.23696e-07
0.454, 6.42723e-06
0.455, 9.28696e-07
0.456, -6.42014e-06
0.457, -9.23648e-07
0.458, 6.4273e-06
0.459, 9.28746e-07
0.46, -6.42007e-06
0.461, -9.23599e-07
0.462, 6.42737e-06
0.463, 9.28797e-07
0.464, -6.42e-06
0.465, -9.2355e-07
0.466, 6.42744e-06
0.467, 9.28849e-07
0.468, -6.41993e-06
0.469, -9.23499e-07
0.47, 6.42752e-06
0.471, 9.28902e-07
0.472, -6.41985e-06
0.473, -9.23447e-07
0.474, 6.42759e-06
0.475, 9.28956e-07
0.476, -6.41978e-06
0.477, -9.23395e-07
0.478, 6.42766e-06
0.479, 9.2901e-07
0.48, -6.4197e-06
0.481, -9.23341e-07
0.482, 6.42774e-06
0.483, 9.29066e-07
0.484, -6.41962e-06
0.485, -9.23287e-07
0.486, 6.42782e-06
0.487, 9.29123e-07
0.488, -6.41954e-06
0.489, -9.23231e-07
0.49, 6.4279e-06
0.491, 9.29181e-07
0.492, -6.41946e-06
0.493, -9.23175e-07
0.494, 6.42798e-06
0.495, 9.2924e-07
0.496, -6.41938e-06
0.497, -9.23117e-07
0.498, 6.42806e-06
0.499, 9.29301e-07
0.5, -6.41929e-06
0.501, -9.23059e-07
0.502, 6.42815e-06
0.503, 9.29362e-07
