sim_time, unit_box_Custom?world_angular_acceleration/y
0.48, -1.85015
0.481, 12.845
0.482, 1.85481
0.483, -12.8497
0.484, -1.8501
0.485, 12.8449
0.486, 1.85486
0.487, -12.8497
0.488, -1.85006
0.489, 12.8449
0.49, 1.85491
0.491, -12.8497
0.492, -1.85001
0.493, 12.8448
0.494, 1.85496
0.495, -12.8498
0.496, -1.84997
0.497, 12.8448
0.498, 1.85501
0.499, -12.8498
0.5, -1.84992
0.501, 12.8447
0.502, 1.85506
0.503, -12.8499
0.504, -1.84987
0.505, 12.8447
0.506, 1.85511
0.507, -12.8499
0.508, -1.84982
0.509, 12.8446
0.51, 1.85517
0.511, -12.85
0.512, -1.84977
0.513, 12.8446
0.514, 1.85522
0.515, -12.85
0.516, -1.84972
0.517, 12.8445
0.518, 1.85527
0.519, -12.8501
0.52, -1.84967
0.521, 12.8445
0.522, 1.85533
0.523, -12.8501
0.524, -1.84962
0.525, 12.8444
0.526, 1.85539
0.527, -12.8502
0.528, -1.84957
0.529, 12.8443
0.53, 1.85545
0.531, -12.8503
0.532, -1.84951
0.533, 12.8443
0.534, 1.85551
0.535, -12.8503
0.536, -1.84946
0.537, 12.8442
0.538, 1.85557
0.539, -12.8504
0.54, -1.8494
0.541, 12.8442
0.542, 1.85563
0.543, -12.8504
0.544, -1.84934
0.545, 12.8441
0.546, 1.85569
0.547, -12.8505
0.548, -1.84929
0.549, 12.844
0.55, 1.85576
0.551, -12.8505
0.552, -1.84923
0.553, 12.844
0.554, 1.85582
0.555, -12.8506
0.556, -1.84917
0.557, 12.8439
0.558, 1.85589
0.559, -12.8507
0.56, -1.8491
0.561, 12.8438
0.562, 1.85596
0.563, -12.8507
0.564, -1.84904
0.565, 12.8438
0.566, 1.85603
0.567, -12.8508
0.568, -1.84898
0.569, 12.8437
0.57, 1.8561
0.571, -12.8509
0.572, -1.84891
0.573, 12.8436
0.574, 1.85617
0.575, -12.8509
0.576, -1.84885
0.577, 12.8436
0.578, 1.85624
