sim_time, unit_box_Custom?world_angular_velocity/y
0.736, -0.00734735
0.737, 0.00549172
0.738, 0.00735249
0.739, -0.0055026
0.74, -0.00734735
0.741, 0.00549156
0.742, 0.0073525
0.743, -0.00550275
0.744, -0.00734734
0.745, 0.0054914
0.746, 0.0073525
0.747, -0.0055029
0.748, -0.00734734
0.749, 0.00549122
0.75, 0.0073525
0.751, -0.00550305
0.752, -0.00734735
0.753, 0.00549104
0.754, 0.0073525
0.755, -0.00550321
0.756, -0.00734735
0.757, 0.00549086
0.758, 0.00735249
0.759, -0.00550337
0.76, -0.00734736
0.761, 0.00549066
0.762, 0.00735248
0.763, -0.00550355
0.764, -0.00734737
0.765, 0.00549046
0.766, 0.00735247
0.767, -0.00550372
0.768, -0.00734739
0.769, 0.00549026
0.77, 0.00735245
0.771, -0.00550391
0.772, -0.00734741
0.773, 0.00549004
0.774, 0.00735244
0.775, -0.0055041
0.776, -0.00734743
0.777, 0.00548982
0.778, 0.00735241
0.779, -0.0055043
0.78, -0.00734746
0.781, 0.00548959
0.782, 0.00735239
0.783, -0.0055045
0.784, -0.00734749
0.785, 0.00548935
0.786, 0.00735236
0.787, -0.00550472
0.788, -0.00734752
0.789, 0.0054891
0.79, 0.00735232
0.791, -0.00550494
0.792, -0.00734756
0.793, 0.00548884
0.794, 0.00735228
0.795, -0.00550517
0.796, -0.00734761
0.797, 0.00548857
0.798, 0.00735223
0.799, -0.00550541
0.8, -0.00734765
0.801, 0.0054883
0.802, 0.00735218
0.803, -0.00550566
0.804, -0.00734771
0.805, 0.00548801
0.806, 0.00735213
0.807, -0.00550592
0.808, -0.00734777
0.809, 0.00548771
0.81, 0.00735206
0.811, -0.00550619
0.812, -0.00734784
0.813, 0.00548739
0.814, 0.00735199
0.815, -0.00550646
0.816, -0.00734791
0.817, 0.00548707
0.818, 0.00735191
0.819, -0.00550676
0.82, -0.00734799
0.821, 0.00548673
0.822, 0.00735183
0.823, -0.00550706
0.824, -0.00734808
0.825, 0.00548638
0.826, 0.00735174
0.827, -0.00550737
0.828, -0.00734818
0.829, 0.00548602
0.83, 0.00735163
0.831, -0.0055077
0.832, -0.00734828
0.833, 0.00548564
0.834, 0.00735152
0.835, -0.00550804
0.836, -0.0073484
0.837, 0.00548524
0.838, 0.0073514
0.839, -0.0055084
0.84, -0.00734852
0.841, 0.00548483
0.842, 0.00735127
0.843, -0.00550877
0.844, -0.00734866
0.845, 0.0054844
0.846, 0.00735113
0.847, -0.00550915
0.848, -0.0073488
0.849, 0.00548396
0.85, 0.00735098
0.851, -0.00550955
0.852, -0.00734896
0.853, 0.00548349
0.854, 0.00735082
0.855, -0.00550997
0.856, -0.00734912
0.857, 0.00548301
0.858, 0.00735064
0.859, -0.00551041
0.86, -0.0073493
0.861, 0.00548251
0.862, 0.00735045
0.863, -0.00551589
0.864, -0.00734438
0.865, 0.00548925
0.866, 0.00735776
0.867, -0.00552103
0.868, -0.00734109
0.869, 0.0054827
0.87, 0.00735922
0.871, -0.00552586
0.872, -0.00734046
0.873, 0.00548486
0.874, 0.00735369
0.875, -0.0055363
0.876, -0.00734879
0.877, 0.00548863
0.878, 0.00734975
0.879, -0.0055309
0.88, -0.00735072
0.881, 0.0054926
0.882, 0.00734871
0.883, -0.0055286
0.884, -0.00735135
0.885, 0.0054937
0.886, 0.00734825
0.887, -0.00552827
0.888, -0.00735173
0.889, 0.00549358
0.89, 0.00734789
0.891, -0.00552865
0.892, -0.00735206
0.893, 0.00549307
0.894, 0.00734754
0.895, -0.00552925
0.896, -0.00735241
0.897, 0.00549243
0.898, 0.00734717
0.899, -0.00552992
0.9, -0.00735278
0.901, 0.00549174
0.902, 0.00734678
0.903, -0.00553064
0.904, -0.00735317
0.905, 0.005491
0.906, 0.00734636
0.907, -0.0055314
0.908, -0.00735359
0.909, 0.00549023
0.91, 0.00734592
0.911, -0.00553219
0.912, -0.00735403
0.913, 0.00548943
0.914, 0.00734544
0.915, -0.00553302
0.916, -0.00735449
0.917, 0.00548859
0.918, 0.00734494
0.919, -0.00553388
0.92, -0.00735499
0.921, 0.00548771
0.922, 0.00734441
0.923, -0.00553478
0.924, -0.00735551
