sim_time, unit_box_Custom?world_linear_acceleration/x
2.467, 9.78197
2.468, 9.78197
2.469, 9.78197
2.47, 9.78197
2.471, 9.78197
2.472, 9.78197
2.473, 9.78197
2.474, 9.78197
2.475, 9.78197
2.476, 9.78197
2.477, 9.78197
2.478, 9.78197
2.479, 9.78197
2.48, 9.78197
2.481, 9.78197
2.482, 9.78197
2.483, 9.78197
2.484, 9.78197
2.485, 9.78197
2.486, 9.78197
2.487, 9.78197
2.488, 9.78197
2.489, 9.78197
2.49, 9.78197
2.491, 9.78197
2.492, 9.78197
2.493, 9.78197
2.494, 9.78197
2.495, 9.78197
2.496, 9.78197
2.497, 9.78197
2.498, 9.78197
2.499, 9.78197
2.5, 9.78197
2.501, 9.78197
2.502, 9.78197
2.503, 9.78197
2.504, 9.78197
2.505, 9.78197
2.506, 9.78197
2.507, 9.78197
2.508, 9.78197
2.509, 9.78197
2.51, 9.78197
2.511, 9.78197
2.512, 9.78197
2.513, 9.78197
2.514, 9.78197
2.515, 9.78197
2.516, 9.78197
2.517, 9.78197
2.518, 9.78197
2.519, 9.78197
2.52, 9.78197
2.521, 9.78197
2.522, 9.78197
2.523, 9.78197
2.524, 9.78197
2.525, 9.78197
2.526, 9.78197
2.527, 9.78197
2.528, 9.78197
2.529, 9.78197
2.53, 9.78197
2.531, 9.78197
2.532, 9.78197
2.533, 9.78197
2.534, 9.78197
2.535, 9.78197
2.536, 9.78197
2.537, 9.78197
2.538, 9.78197
2.539, 9.78197
2.54, 9.78197
2.541, 9.78197
2.542, 9.78197
2.543, 9.78197
2.544, 9.78197
2.545, 9.78197
2.546, 9.78197
2.547, 9.78197
2.548, 9.78197
2.549, 9.78197
2.55, 9.78197
2.551, 9.78197
2.552, 9.78197
2.553, 9.78197
2.554, 9.78197
2.555, 9.78197
2.556, 9.78197
2.557, 9.78197
2.558, 9.78197
2.559, 9.78197
2.56, 9.78197
2.561, 9.78197
2.562, 9.78197
2.563, 9.78197
2.564, 9.78197
2.565, 9.78197
2.566, 9.78197
2.567, 9.78197
2.568, 9.78197
2.569, 9.78197
2.57, 9.78197
2.571, 9.78197
2.572, 9.78197
2.573, 9.78197
2.574, 9.78197
2.575, 9.78197
2.576, 9.78197
2.577, 9.78197
2.578, 9.78197
2.579, 9.78197
2.58, 9.78197
2.581, 9.78197
2.582, 9.78197
2.583, 9.78197
2.584, 9.78197
2.585, 9.78197
2.586, 9.78197
2.587, 9.78197
2.588, 9.78197
2.589, 9.78197
2.59, 9.78197
2.591, 9.78197
2.592, 9.78197
2.593, 9.78197
2.594, 9.78197
2.595, 9.78197
2.596, 9.78197
2.597, 9.78197
2.598, 9.78197
2.599, 9.78197
2.6, 9.78197
2.601, 9.78197
2.602, 9.78197
2.603, 9.78197
2.604, 9.78197
2.605, 9.78197
2.606, 9.78197
2.607, 9.78197
2.608, 9.78197
2.609, 9.78197
2.61, 9.78197
2.611, 9.78197
2.612, 9.78197
2.613, 9.78197
2.614, 9.78197
2.615, 9.78197
2.616, 9.78197
2.617, 9.78197
2.618, 9.78197
