sim_time, unit_box_Custom?world_angular_acceleration/x
0.431, -0.00777901
0.432, -0.00113015
0.433, -0.0124371
0.434, -0.00180857
0.435, -0.00804808
0.436, -0.0011692
0.437, -0.0127994
0.438, -0.0018613
0.439, -0.00832608
0.44, -0.00120955
0.441, -0.0131724
0.442, -0.00191559
0.443, -0.0086133
0.444, -0.00125124
0.445, -0.0135564
0.446, -0.00197149
0.447, -0.00891003
0.448, -0.0012943
0.449, -0.0139518
0.45, -0.00202904
0.451, -0.00921659
0.452, -0.00133878
0.453, -0.0143589
0.454, -0.0020883
0.455, -0.00953328
0.456, -0.00138474
0.457, -0.014778
0.458, -0.00214932
0.459, -0.00986044
0.46, -0.00143221
0.461, -0.0152096
0.462, -0.00221215
0.463, -0.0101984
0.464, -0.00148125
0.465, -0.0156539
0.466, -0.00227684
0.467, -0.0105475
0.468, -0.0015319
0.469, -0.0161115
0.47, -0.00234346
0.471, -0.0109082
0.472, -0.00158423
0.473, -0.0165826
0.474, -0.00241206
0.475, -0.0112807
0.476, -0.00163827
0.477, -0.0170677
0.478, -0.00248271
0.479, -0.0116655
0.48, -0.00169409
0.481, -0.0175673
0.482, -0.00255546
0.483, -0.0120629
0.484, -0.00175175
0.485, -0.0180817
0.486, -0.00263038
0.487, -0.0124734
0.488, -0.0018113
0.489, -0.0186115
0.49, -0.00270753
0.491, -0.0128974
0.492, -0.0018728
0.493, -0.0191571
0.494, -0.00278699
0.495, -0.0133354
0.496, -0.00193632
0.497, -0.0197189
0.498, -0.00286882
0.499, -0.0137877
0.5, -0.00200192
0.501, -0.0202975
0.502, -0.0029531
0.503, -0.0142548
0.504, -0.00206967
0.505, -0.0208934
0.506, -0.00303991
0.507, -0.0147373
0.508, -0.00213963
0.509, -0.0215071
0.51, -0.00312931
0.511, -0.0152355
0.512, -0.00221189
0.513, -0.0221391
0.514, -0.00322139
0.515, -0.0157501
0.516, -0.0022865
0.517, -0.0227901
0.518, -0.00331623
0.519, -0.0162815
0.52, -0.00236355
0.521, -0.0234605
0.522, -0.00341391
0.523, -0.0168302
0.524, -0.00244312
0.525, -0.024151
0.526, -0.00351453
0.527, -0.017397
0.528, -0.00252528
0.529, -0.0248622
0.53, -0.00361817
0.531, -0.0179822
0.532, -0.00261013
0.533, -0.0255948
0.534, -0.00372492
0.535, -0.0185865
0.536, -0.00269773
0.537, -0.0263493
0.538, -0.00383489
0.539, -0.0192105
0.54, -0.00278819
0.541, -0.0271264
