sim_time, unit_box_Custom?world_linear_velocity/x
1.215, -0.00488568
1.216, -0.00489629
1.217, 0.00488568
1.218, 0.00489628
1.219, -0.00488568
1.22, -0.00489629
1.221, 0.00488568
1.222, 0.00489628
1.223, -0.00488568
1.224, -0.00489629
1.225, 0.00488568
1.226, 0.00489628
1.227, -0.00488568
1.228, -0.00489629
1.229, 0.00488568
1.23, 0.00489628
1.231, -0.00488568
1.232, -0.00489629
1.233, 0.00488568
1.234, 0.00489628
1.235, -0.00488568
1.236, -0.00489629
1.237, 0.00488568
1.238, 0.00489628
1.239, -0.00488568
1.24, -0.00489629
1.241, 0.00488568
1.242, 0.00489628
1.243, -0.00488568
1.244, -0.00489629
1.245, 0.00488568
1.246, 0.00489628
1.247, -0.00488568
1.248, -0.00489629
1.249, 0.00488568
1.25, 0.00489628
1.251, -0.00488568
1.252, -0.00489629
1.253, 0.00488568
1.254, 0.00489628
1.255, -0.00488568
1.256, -0.00489629
1.257, 0.00488568
1.258, 0.00489628
1.259, -0.00488568
1.26, -0.00489629
1.261, 0.00488568
1.262, 0.00489628
1.263, -0.00488568
1.264, -0.00489629
1.265, 0.00488568
1.266, 0.00489628
1.267, -0.00488568
1.268, -0.00489629
1.269, 0.00488568
1.27, 0.00489628
1.271, -0.00488568
1.272, -0.00489629
1.273, 0.00488568
1.274, 0.00489628
1.275, -0.00488568
1.276, -0.00489629
1.277, 0.00488568
1.278, 0.00489628
1.279, -0.00488568
1.28, -0.00489629
1.281, 0.00488568
1.282, 0.00489628
1.283, -0.00488568
1.284, -0.00489629
1.285, 0.00488568
1.286, 0.00489628
1.287, -0.00488568
1.288, -0.00489629
1.289, 0.00488568
1.29, 0.00489628
1.291, -0.00488568
1.292, -0.00489629
1.293, 0.00488568
1.294, 0.00489628
1.295, -0.00488568
1.296, -0.00489629
1.297, 0.00488568
1.298, 0.00489628
1.299, -0.00488568
1.3, -0.00489629
1.301, 0.00488568
1.302, 0.00489628
1.303, -0.00488568
1.304, -0.00489629
1.305, 0.00488568
1.306, 0.00489628
1.307, -0.00488568
1.308, -0.00489629
1.309, 0.00488568
1.31, 0.00489628
1.311, -0.00488568
1.312, -0.00489629
1.313, 0.00488568
1.314, 0.00489628
1.315, -0.00488568
1.316, -0.00489629
1.317, 0.00488568
1.318, 0.00489628
1.319, -0.00488568
1.32, -0.00489629
1.321, 0.00488568
1.322, 0.00489628
1.323, -0.00488568
1.324, -0.00489629
1.325, 0.00488568
1.326, 0.00489628
1.327, -0.00488568
1.328, -0.00489629
1.329, 0.00488568
1.33, 0.00489628
1.331, -0.00488568
1.332, -0.00489629
1.333, 0.00488568
1.334, 0.00489628
1.335, -0.00488568
1.336, -0.00489629
1.337, 0.00488568
1.338, 0.00489628
1.339, -0.00488568
1.34, -0.00489629
1.341, 0.00488568
1.342, 0.00489628
1.343, -0.00488568
1.344, -0.00489629
1.345, 0.00488568
1.346, 0.00489628
1.347, -0.00488568
1.348, -0.00489629
1.349, 0.00488568
1.35, 0.00489628
1.351, -0.00488568
1.352, -0.00489629
1.353, 0.00488568
1.354, 0.00489628
1.355, -0.00488568
1.356, -0.00489629
1.357, 0.00488568
1.358, 0.00489628
1.359, -0.00488568
1.36, -0.00489629
1.361, 0.00488568
1.362, 0.00489628
1.363, -0.00488568
1.364, -0.00489629
1.365, 0.00488568
1.366, 0.00489628
1.367, -0.00488568
1.368, -0.00489629
1.369, 0.00488568
1.37, 0.00489628
1.371, -0.00488568
1.372, -0.00489629
1.373, 0.00488568
1.374, 0.00489628
