sim_time, unit_box_Custom?world_angular_velocity/z
0.421, 0.00570328
0.422, 0.00755872
0.423, -0.0052958
0.424, -0.00714727
0.425, 0.00570707
0.426, 0.00756259
0.427, -0.00529216
0.428, -0.00714363
0.429, 0.00571094
0.43, 0.00756653
0.431, -0.00528845
0.432, -0.00713991
0.433, 0.00571488
0.434, 0.00757055
0.435, -0.00528467
0.436, -0.00713612
0.437, 0.00571891
0.438, 0.00757465
0.439, -0.00528081
0.44, -0.00713226
0.441, 0.00572301
0.442, 0.00757883
0.443, -0.00527688
0.444, -0.00712832
0.445, 0.00572719
0.446, 0.0075831
0.447, -0.00527287
0.448, -0.00712431
0.449, 0.00573146
0.45, 0.00758745
0.451, -0.00526879
0.452, -0.00712022
0.453, 0.00573581
0.454, 0.00759189
0.455, -0.00526463
0.456, -0.00711606
0.457, 0.00574025
0.458, 0.00759641
0.459, -0.00526039
0.46, -0.00711181
0.461, 0.00574478
0.462, 0.00760103
0.463, -0.00525606
0.464, -0.00710749
0.465, 0.0057494
0.466, 0.00760574
0.467, -0.00525166
0.468, -0.00710308
0.469, 0.00575411
0.47, 0.00761054
0.471, -0.00524717
0.472, -0.00709859
0.473, 0.00575891
0.474, 0.00761544
0.475, -0.00524259
0.476, -0.00709401
0.477, 0.00576381
0.478, 0.00762043
0.479, -0.00523793
0.48, -0.00708934
0.481, 0.0057688
0.482, 0.00762553
0.483, -0.00523318
0.484, -0.00708459
0.485, 0.00577389
0.486, 0.00763072
0.487, -0.00522833
0.488, -0.00707975
0.489, 0.00577908
0.49, 0.00763602
0.491, -0.0052234
0.492, -0.00707481
0.493, 0.00578438
0.494, 0.00764143
0.495, -0.00521837
0.496, -0.00706979
0.497, 0.00578978
0.498, 0.00764694
0.499, -0.00521324
0.5, -0.00706467
0.501, 0.00579528
0.502, 0.00765256
0.503, -0.00520802
0.504, -0.00705945
0.505, 0.00580089
0.506, 0.00765829
0.507, -0.0052027
0.508, -0.00705413
0.509, 0.00580662
0.51, 0.00766413
0.511, -0.00519728
0.512, -0.00704872
0.513, 0.00581245
0.514, 0.00767009
0.515, -0.00519176
0.516, -0.0070432
0.517, 0.00581841
0.518, 0.00767617
0.519, -0.00518613
0.52, -0.00703758
0.521, 0.00582447
0.522, 0.00768237
0.523, -0.0051804
0.524, -0.00703185
0.525, 0.00583066
0.526, 0.00768869
0.527, -0.00517456
0.528, -0.00702602
0.529, 0.00583697
0.53, 0.00769513
0.531, -0.0051686
0.532, -0.00702007
0.533, 0.0058434
0.534, 0.0077017
0.535, -0.00516254
0.536, -0.00701402
0.537, 0.00584996
0.538, 0.00770841
0.539, -0.00515636
0.54, -0.00700786
0.541, 0.00585665
0.542, 0.00771524
0.543, -0.00515007
0.544, -0.00700157
0.545, 0.00586347
0.546, 0.00772221
0.547, -0.00514366
0.548, -0.00699518
0.549, 0.00587042
0.55, 0.00772932
0.551, -0.00513712
0.552, -0.00698866
0.553, 0.00587751
0.554, 0.00773657
0.555, -0.00513047
0.556, -0.00698202
0.557, 0.00588474
0.558, 0.00774396
0.559, -0.00512369
0.56, -0.00697526
0.561, 0.00589211
0.562, 0.00775149
0.563, -0.00511678
0.564, -0.00696837
0.565, 0.00589963
0.566, 0.00775918
0.567, -0.00510975
0.568, -0.00696136
0.569, 0.00590729
0.57, 0.00776702
0.571, -0.00510258
0.572, -0.00695421
0.573, 0.0059151
0.574, 0.00777501
0.575, -0.00509528
0.576, -0.00694694
0.577, 0.00592307
0.578, 0.00778316
0.579, -0.00508784
0.58, -0.00693952
0.581, 0.00593119
0.582, 0.00779147
0.583, -0.00508027
0.584, -0.00693198
0.585, 0.00593947
0.586, 0.00779995
0.587, -0.00507255
0.588, -0.00692429
0.589, 0.00594791
0.59, 0.00780859
0.591, -0.00506469
0.592, -0.00691646
0.593, 0.00595652
0.594, 0.0078174
0.595, -0.00505668
0.596, -0.00690848
0.597, 0.0059653
0.598, 0.00782639
0.599, -0.00504852
0.6, -0.00690036
0.601, 0.00597425
0.602, 0.00783556
0.603, -0.00504021
0.604, -0.00689209
0.605, 0.00598337
0.606, 0.0078449
0.607, -0.00503175
0.608, -0.00688367
0.609, 0.00599268
0.61, 0.00785443
0.611, -0.00502313
0.612, -0.00687509
0.613, 0.00600217
0.614, 0.00786415
0.615, -0.00501435
0.616, -0.00686636
0.617, 0.00601184
0.618, 0.00787406
0.619, -0.00500541
0.62, -0.00685746
0.621, 0.0060217
0.622, 0.00788417
0.623, -0.0049963
0.624, -0.0068484
0.625, 0.00603176
0.626, 0.00789448
0.627, -0.00498702
0.628, -0.00683918
0.629, 0.00604201
0.63, 0.00790499
0.631, -0.00497757
0.632, -0.00682978
0.633, 0.00605246
0.634, 0.00791571
0.635, -0.00496795
0.636, -0.00682022
0.637, 0.00606312
0.638, 0.00792664
0.639, -0.00495815
0.64, -0.00681048
0.641, 0.00607399
0.642, 0.00793779
0.643, -0.00494816
0.644, -0.00680056
0.645, 0.00608507
0.646, 0.00794916
0.647, -0.00493799
0.648, -0.00679046
0.649, 0.00609637
0.65, 0.00796075
0.651, -0.00492764
0.652, -0.00678017
0.653, 0.00610789
0.654, 0.00797258
0.655, -0.00491709
0.656, -0.0067697
0.657, 0.00611964
0.658, 0.00798464
0.659, -0.00490635
0.66, -0.00675904
0.661, 0.00613162
0.662, 0.00799693
0.663, -0.00489541
0.664, -0.00674818
0.665, 0.00614383
0.666, 0.00800948
0.667, -0.00488427
0.668, -0.00673713
0.669, 0.00615628
0.67, 0.00802227
0.671, -0.00487292
0.672, -0.00672587
0.673, 0.00616898
0.674, 0.00803531
0.675, -0.00486137
0.676, -0.00671441
0.677, 0.00618193
0.678, 0.00804861
0.679, -0.0048496
0.68, -0.00670274
0.681, 0.00619513
0.682, 0.00806218
0.683, -0.00483762
0.684, -0.00669086
0.685, 0.0062086
0.686, 0.00807602
0.687, -0.00482542
0.688, -0.00667877
0.689, 0.00622233
0.69, 0.00809013
0.691, -0.00481299
0.692, -0.00666645
0.693, 0.00623632
0.694, 0.00810453
0.695, -0.00480033
0.696, -0.00665392
0.697, 0.0062506
0.698, 0.00811921
0.699, -0.00478744
0.7, -0.00664115
0.701, 0.00626515
0.702, 0.00813418
0.703, -0.00477432
0.704, -0.00662816
0.705, 0.00627999
0.706, 0.00814945
0.707, -0.00476095
0.708, -0.00661493
0.709, 0.00629513
0.71, 0.00816503
0.711, -0.00474734
0.712, -0.00660146
0.713, 0.00631056
0.714, 0.00818091
0.715, -0.00473349
0.716, -0.00658775
0.717, 0.0063263
0.718, 0.00819711
0.719, -0.00471937
0.72, -0.00657379
0.721, 0.00634235
0.722, 0.00821364
0.723, -0.004705
0.724, -0.00655958
0.725, 0.00635871
0.726, 0.0082305
0.727, -0.00469037
0.728, -0.00654512
0.729, 0.0063754
0.73, 0.00824769
0.731, -0.00467547
0.732, -0.00653039
0.733, 0.00639242
0.734, 0.00826523
0.735, -0.0046603
0.736, -0.0065154
0.737, 0.00640977
0.738, 0.00828312
0.739, -0.00464485
0.74, -0.00650014
0.741, 0.00642747
0.742, 0.00830136
0.743, -0.00462912
0.744, -0.00648461
0.745, 0.00644552
0.746, 0.00831997
0.747, -0.00461311
0.748, -0.0064688
0.749, 0.00646393
0.75, 0.00833896
0.751, -0.0045968
0.752, -0.0064527
0.753, 0.0064827
0.754, 0.00835832
0.755, -0.0045802
0.756, -0.00643632
0.757, 0.00650184
0.758, 0.00837808
0.759, -0.00456329
0.76, -0.00641965
0.761, 0.00652136
0.762, 0.00839823
0.763, -0.00454608
0.764, -0.00640267
0.765, 0.00654127
0.766, 0.00841878
0.767, -0.00452855
0.768, -0.0063854
0.769, 0.00656157
0.77, 0.00843975
0.771, -0.00451071
0.772, -0.00636782
0.773, 0.00658228
0.774, 0.00846114
0.775, -0.00449254
0.776, -0.00634992
0.777, 0.0066034
0.778, 0.00848296
0.779, -0.00447405
0.78, -0.00633171
0.781, 0.00662494
0.782, 0.00850522
0.783, -0.00445521
0.784, -0.00631317
0.785, 0.00664691
0.786, 0.00852793
0.787, -0.00443604
0.788, -0.0062943
0.789, 0.00666931
0.79, 0.0085511
0.791, -0.00441652
0.792, -0.0062751
0.793, 0.00669216
0.794, 0.00857474
0.795, -0.00439665
0.796, -0.00625555
0.797, 0.00671547
0.798, 0.00859885
0.799, -0.00437642
0.8, -0.00623566
0.801, 0.00673924
0.802, 0.00862345
0.803, -0.00435582
0.804, -0.00621542
0.805, 0.00676348
0.806, 0.00864855
0.807, -0.00433486
0.808, -0.00619482
0.809, 0.00678821
0.81, 0.00867416
0.811, -0.00431351
0.812, -0.00617386
0.813, 0.00681343
0.814, 0.00870029
0.815, -0.00429178
0.816, -0.00615253
0.817, 0.00683916
0.818, 0.00872694
0.819, -0.00426966
0.82, -0.00613082
0.821, 0.0068654
0.822, 0.00875414
0.823, -0.00424714
0.824, -0.00610873
0.825, 0.00689216
0.826, 0.00878189
0.827, -0.00422422
0.828, -0.00608625
0.829, 0.00691947
0.83, 0.00881021
0.831, -0.00420088
0.832, -0.00606337
0.833, 0.00694731
0.834, 0.0088391
0.835, -0.00417713
0.836, -0.0060401
0.837, 0.00697572
0.838, 0.00886858
0.839, -0.00415295
0.84, -0.00601641
0.841, 0.0070047
0.842, 0.00889866
0.843, -0.00412834
0.844, -0.00599231
0.845, 0.00703426
0.846, 0.00892936
0.847, -0.00410328
0.848, -0.00596779
0.849, 0.00706441
0.85, 0.00896068
0.851, -0.00407778
0.852, -0.00594285
0.853, 0.00709518
0.854, 0.00899264
0.855, -0.00405182
0.856, -0.00591746
0.857, 0.00712656
0.858, 0.00902526
0.859, -0.0040254
0.86, -0.00589164
0.861, 0.00715857
0.862, 0.00905855
0.863, -0.00400362
0.864, -0.00586017
0.865, 0.00719861
0.866, 0.00910016
0.867, -0.00398099
0.868, -0.00582987
0.869, 0.00722581
0.87, 0.00913653
0.871, -0.00395754
0.872, -0.00580181
0.873, 0.00726259
0.874, 0.00916652
0.875, -0.00393929
0.876, -0.00578237
0.877, 0.00730173
0.878, 0.00919888
0.879, -0.0039044
0.88, -0.00575594
0.881, 0.00734179
0.882, 0.00923494
0.883, -0.00387213
0.884, -0.00572767
0.885, 0.00737967
0.886, 0.00927238
0.887, -0.00384131
0.888, -0.00569863
0.889, 0.00741708
0.89, 0.00931072
0.891, -0.00381066
0.892, -0.00566903
0.893, 0.00745486
0.894, 0.00934987
0.895, -0.00377966
0.896, -0.00563891
0.897, 0.00749331
0.898, 0.00938985
0.899, -0.00374817
0.9, -0.00560827
0.901, 0.0075325
0.902, 0.00943065
0.903, -0.00371614
0.904, -0.00557711
0.905, 0.00757249
0.906, 0.0094723
0.907, -0.00368354
0.908, -0.0055454
0.909, 0.0076133
0.91, 0.00951481
0.911, -0.00365038
0.912, -0.00551316
0.913, 0.00765493
0.914, 0.00955821
0.915, -0.00361662
0.916, -0.00548037
0.917, 0.00769742
0.918, 0.00960251
0.919, -0.00358228
0.92, -0.00544701
0.921, 0.00774077
0.922, 0.00964774
0.923, -0.00354733
0.924, -0.00541309
0.925, 0.00778502
0.926, 0.00969391
0.927, -0.00351177
0.928, -0.0053786
0.929, 0.00783017
0.93, 0.00974104
0.931, -0.00347559
0.932, -0.00534351
0.933, 0.00787624
0.934, 0.00978916
0.935, -0.00343877
0.936, -0.00530784
0.937, 0.00792326
0.938, 0.00983829
0.939, -0.00340132
0.94, -0.00527156
0.941, 0.00797125
0.942, 0.00988846
0.943, -0.0033632
0.944, -0.00523466
0.945, 0.00802023
0.946, 0.00993967
0.947, -0.00332443
0.948, -0.00519715
0.949, 0.00807021
0.95, 0.00999196
0.951, -0.00328498
0.952, -0.00515901
0.953, 0.00812123
