Time,Y Velocity,Y Position
0.381,3.88239,0.739595295
0.382,3.89258,0.74348278
0.383,3.90277,0.747380455
0.384,3.91296,0.75128832
0.385,3.92315,0.755206375
0.386,3.93334,0.75913462
0.387,3.94353,0.763073055
0.388,3.95372,0.76702168
0.389,3.96391,0.770980495
0.39,3.9741,0.7749495
0.391,3.98429,0.778928695
0.392,3.99448,0.78291808
0.393,4.00467,0.786917655
0.394,4.01486,0.79092742
0.395,4.02505,0.794947375
0.396,4.03524,0.79897752
0.397,4.04543,0.803017855
0.398,4.05562,0.80706838
0.399,4.06581,0.811129095
0.4,4.076,0.8152
0.401,4.08619,0.819281095
0.402,4.09638,0.82337238
0.403,4.10657,0.827473855
0.404,4.11676,0.83158552
0.405,4.12695,0.835707375
0.406,4.13714,0.83983942
0.407,4.14733,0.843981655
0.408,4.15752,0.84813408
0.409,4.16771,0.852296695
0.41,4.1779,0.8564695
0.411,4.18809,0.860652495
0.412,4.19828,0.86484568
0.413,4.20847,0.869049055
0.414,4.21866,0.87326262
0.415,4.22885,0.877486375
0.416,4.23904,0.88172032
0.417,4.24923,0.885964455
0.418,4.25942,0.89021878
0.419,4.26961,0.894483295
0.42,4.2798,0.898758
0.421,4.28999,0.903042895
0.422,4.30018,0.90733798
0.423,4.31037,0.911643255
0.424,4.32056,0.91595872
0.425,4.33075,0.920284375
0.426,4.34094,0.92462022
0.427,4.35113,0.928966255
0.428,4.36132,0.93332248
0.429,4.37151,0.937688895
0.43,4.3817,0.9420655
0.431,4.39189,0.946452295
0.432,4.40208,0.95084928
0.433,4.41227,0.955256455
0.434,4.42246,0.95967382
0.435,4.43265,0.964101375
0.436,4.44284,0.96853912
0.437,4.45303,0.972987055
0.438,4.46322,0.97744518
0.439,4.47341,0.981913495
0.44,4.4836,0.986392
0.441,4.49379,0.990880695
0.442,4.50398,0.99537958
0.443,4.51417,0.999888655
0.444,4.52436,1.00440792
0.445,4.53455,1.008937375
0.446,4.54474,1.01347702
0.447,4.55493,1.018026855
0.448,4.56512,1.02258688
0.449,4.57531,1.027157095
