sim_time, unit_box_Custom?world_linear_velocity/x
0.581, -5.18568e-18
0.582, -4.09466e-18
0.583, -6.37872e-18
0.584, -3.7778e-18
0.585, -5.97302e-18
0.586, -6.65835e-18
0.587, -4.76796e-18
0.588, -3.94338e-18
0.589, -5.96098e-18
0.59, -5.5805e-18
0.591, -5.99938e-18
0.592, -5.26362e-18
0.593, -3.28443e-18
0.594, -5.12438e-18
0.595, -5.8097e-18
0.596, -5.42922e-18
0.597, -5.58163e-18
0.598, -5.20115e-18
0.599, -4.90949e-18
0.6, -5.59481e-18
0.601, -5.39197e-18
0.602, -6.07729e-18
0.603, -5.69681e-18
0.604, -3.71762e-18
0.605, -4.31411e-18
0.606, -6.86461e-18
0.607, -4.08605e-18
0.608, -5.03782e-18
0.609, -5.72315e-18
0.61, -4.27684e-18
0.611, -6.82734e-18
0.612, -4.84814e-18
0.613, -5.79992e-18
0.614, -5.77471e-18
0.615, -3.79551e-18
0.616, -5.2802e-18
0.617, -5.16618e-18
0.618, -4.43043e-18
0.619, -6.71449e-18
0.62, -3.93592e-18
0.621, -6.30879e-18
0.622, -4.15195e-18
0.623, -6.34718e-18
0.624, -4.36797e-18
0.625, -6.91846e-18
0.626, -2.98526e-18
0.627, -5.80221e-18
0.628, -6.22108e-18
0.629, -5.92941e-18
0.63, -4.92721e-18
0.631, -3.92501e-18
0.632, -6.29788e-18
0.633, -4.31866e-18
0.634, -5.71453e-18
0.635, -5.95576e-18
0.636, -6.81873e-18
0.637, -3.32962e-18
0.638, -5.34722e-18
0.639, -6.12137e-18
0.64, -6.09617e-18
0.641, -4.82751e-18
0.642, -4.35821e-18
0.643, -5.66525e-18
0.644, -4.57422e-18
0.645, -4.54898e-18
0.646, -6.30012e-18
0.647, -3.87682e-18
0.648, -7.13786e-18
0.649, -4.18166e-18
0.65, -5.13344e-18
0.651, -4.0424e-18
0.652, -5.88235e-18
0.653, -5.14659e-18
0.654, -4.41083e-18
0.655, -6.25079e-18
0.656, -3.47222e-18
0.657, -5.31219e-18
0.658, -5.99752e-18
0.659, -5.43939e-18
0.66, -6.21355e-18
0.661, -4.94488e-18
0.662, -4.47558e-18
0.663, -5.78264e-18
0.664, -7.26733e-18
0.665, -5.02167e-18
0.666, -4.81882e-18
0.667, -6.12587e-18
0.668, -7.43292e-18
0.669, -4.21026e-18
0.67, -6.22786e-18
0.671, -4.33747e-18
0.672, -5.99979e-18
0.673, -5.44166e-18
0.674, -5.41646e-18
0.675, -6.19059e-18
0.676, -6.16539e-18
0.677, -6.05136e-18
0.678, -3.98334e-18
0.679, -6.26738e-18
0.68, -4.02172e-18
0.681, -6.30576e-18
0.682, -3.70483e-18
0.683, -6.69942e-18
0.684, -6.31893e-18
0.685, -4.07328e-18
0.686, -6.44615e-18
0.687, -4.11165e-18
0.688, -7.01743e-18
0.689, -5.03821e-18
0.69, -4.30245e-18
0.691, -6.85295e-18
0.692, -4.16319e-18
0.693, -6.7137e-18
0.694, -4.64568e-18
0.695, -3.82111e-18
0.696, -5.66107e-18
0.697, -5.19177e-18
0.698, -5.87709e-18
0.699, -5.58542e-18
0.7, -5.20494e-18
0.701, -4.82445e-18
0.702, -4.71044e-18
0.703, -4.15233e-18
0.704, -7.85746e-18
0.705, -5.25654e-18
0.706, -4.87605e-18
0.707, -4.6732e-18
0.708, -5.89145e-18
0.709, -7.1985e-18
0.71, -4.95285e-18
0.711, -4.21709e-18
0.712, -5.25768e-18
0.713, -4.16664e-18
0.714, -6.71714e-18
0.715, -3.22803e-18
0.716, -4.89037e-18
0.717, -4.15461e-18
0.718, -6.61629e-18
0.719, -4.01536e-18
0.72, -5.67769e-18
0.721, -4.49785e-18
0.722, -4.20619e-18
0.723, -6.40142e-18
0.724, -4.4222e-18
0.725, -6.88389e-18
0.726, -4.01651e-18
0.727, -7.0111e-18
0.728, -4.76545e-18
0.729, -4.20732e-18
0.73, -7.91246e-18
0.731, -5.48916e-18
0.732, -4.66459e-18
0.733, -4.1953e-18
0.734, -7.01225e-18
0.735, -5.12183e-18
0.736, -4.38608e-18
0.737, -6.0484e-18
0.738, -4.95737e-18
0.739, -4.39923e-18
0.74, -6.2392e-18
0.741, -4.08234e-18
0.742, -6.45521e-18
0.743, -3.9431e-18
0.744, -7.02652e-18
0.745, -3.62623e-18
0.746, -5.55501e-18
0.747, -4.81925e-18
0.748, -5.59338e-18
0.749, -6.81161e-18
0.75, -4.29951e-18
0.751, -6.67235e-18
0.752, -5.04841e-18
0.753, -5.02319e-18
0.754, -5.35324e-18
0.755, -6.12739e-18
0.756, -5.65809e-18
0.757, -4.12298e-18
0.758, -6.67347e-18
0.759, -4.25017e-18
0.76, -6.35659e-18
0.761, -4.11091e-18
0.762, -6.92787e-18
0.763, -4.94866e-18
0.764, -5.01227e-18
0.765, -5.51996e-18
0.766, -4.87303e-18
0.767, -4.49254e-18
0.768, -4.28968e-18
0.769, -7.01781e-18
0.77, -5.57152e-18
0.771, -5.19102e-18
0.772, -4.72173e-18
0.773, -4.43007e-18
0.774, -6.44767e-18
0.775, -3.04738e-18
0.776, -5.15378e-18
0.777, -5.39502e-18
0.778, -5.45862e-18
0.779, -5.52221e-18
0.78, -6.29636e-18
0.781, -5.0277e-18
0.782, -5.80184e-18
0.783, -6.75362e-18
0.784, -4.59677e-18
0.785, -5.90382e-18
0.786, -6.67799e-18
0.787, -2.92241e-18
0.788, -4.85118e-18
0.789, -5.62533e-18
0.79, -6.39948e-18
0.791, -4.065e-18
0.792, -6.97078e-18
0.793, -4.81393e-18
0.794, -4.07817e-18
0.795, -6.80631e-18
0.796, -3.93892e-18
0.797, -5.69007e-18
0.798, -6.28658e-18
0.799, -4.48501e-18
0.8, -4.90389e-18
0.801, -5.67802e-18
0.802, -5.47518e-18
0.803, -4.65061e-18
0.804, -4.44774e-18
0.805, -6.11007e-18
0.806, -5.37431e-18
0.807, -4.28327e-18
0.808, -6.83377e-18
0.809, -3.69994e-18
0.81, -5.27345e-18
0.811, -4.71532e-18
0.812, -6.46647e-18
0.813, -5.46426e-18
0.814, -5.52787e-18
0.815, -4.96973e-18
0.816, -4.67806e-18
0.817, -6.16275e-18
0.818, -6.67044e-18
0.819, -3.18133e-18
0.82, -6.26474e-18
0.821, -4.99608e-18
0.822, -5.41496e-18
0.823, -6.10028e-18
0.824, -5.7198e-18
0.825, -5.42813e-18
0.826, -5.13646e-18
0.827, -5.9106e-18
0.828, -5.88539e-18
0.829, -5.32726e-18
0.83, -5.74612e-18
0.831, -5.27683e-18
0.832, -5.69571e-18
0.833, -5.31522e-18
0.834, -4.57946e-18
0.835, -4.46543e-18
0.836, -5.86128e-18
0.837, -7.16834e-18
0.838, -4.21214e-18
0.839, -6.22973e-18
0.84, -2.6518e-18
0.841, -6.80103e-18
0.842, -4.46652e-18
0.843, -5.68476e-18
0.844, -5.12665e-18
0.845, -4.56854e-18
0.846, -4.72097e-18
0.847, -6.47211e-18
0.848, -5.02582e-18
0.849, -6.77695e-18
0.85, -4.62012e-18
0.851, -3.88436e-18
0.852, -6.87896e-18
0.853, -4.54447e-18
0.854, -5.85153e-18
0.855, -7.33621e-18
0.856, -5.00172e-18
0.857, -4.97649e-18
0.858, -6.10591e-18
0.859, -6.34715e-18
0.86, -3.30214e-18
0.861, -5.76382e-18
0.862, -5.47215e-18
0.863, -4.91403e-18
0.864, -4.3559e-18
0.865, -6.63996e-18
0.866, -4.3943e-18
0.867, -5.34608e-18
0.868, -3.01162e-18
0.869, -4.40748e-18
0.87, -7.66852e-18
0.871, -5.42285e-18
0.872, -4.77592e-18
0.873, -4.6619e-18
0.874, -4.63668e-18
0.875, -4.52264e-18
0.876, -5.82969e-18
0.877, -5.71565e-18
0.878, -5.15752e-18
0.879, -5.66521e-18
0.88, -5.63999e-18
0.881, -5.25951e-18
0.882, -4.87903e-18
0.883, -4.58736e-18
0.884, -5.53913e-18
0.885, -5.4251e-18
0.886, -5.31107e-18
0.887, -5.4635e-18
0.888, -5.97118e-18
0.889, -4.88015e-18
0.89, -5.12137e-18
0.891, -4.91852e-18
0.892, -6.04795e-18
0.893, -6.02274e-18
0.894, -4.84289e-18
0.895, -5.26177e-18
