sim_time, unit_box_Custom?world_pose/orientation/pitch
0.426, 1.0385e-18
0.427, 1.0399e-18
0.428, 1.03443e-18
0.429, 1.0386e-18
0.43, 1.04033e-18
0.431, 1.03856e-18
0.432, 1.03791e-18
0.433, 1.04032e-18
0.434, 1.04173e-18
0.435, 1.03714e-18
0.436, 1.03793e-18
0.437, 1.03859e-18
0.438, 1.04109e-18
0.439, 1.03599e-18
0.44, 1.03787e-18
0.441, 1.03909e-18
0.442, 1.03752e-18
0.443, 1.03813e-18
0.444, 1.04057e-18
0.445, 1.03933e-18
0.446, 1.03796e-18
0.447, 1.03629e-18
0.448, 1.03946e-18
0.449, 1.03985e-18
0.45, 1.03939e-18
0.451, 1.03916e-18
0.452, 1.03987e-18
0.453, 1.03921e-18
0.454, 1.03594e-18
0.455, 1.03946e-18
0.456, 1.03807e-18
0.457, 1.04045e-18
0.458, 1.03951e-18
0.459, 1.03826e-18
0.46, 1.04009e-18
0.461, 1.04001e-18
0.462, 1.04034e-18
0.463, 1.0384e-18
0.464, 1.03759e-18
0.465, 1.03682e-18
0.466, 1.03629e-18
0.467, 1.03633e-18
0.468, 1.03749e-18
0.469, 1.03959e-18
0.47, 1.04068e-18
0.471, 1.0372e-18
0.472, 1.03998e-18
0.473, 1.03411e-18
0.474, 1.03611e-18
0.475, 1.03834e-18
0.476, 1.0383e-18
0.477, 1.03974e-18
0.478, 1.03661e-18
0.479, 1.0417e-18
0.48, 1.03814e-18
0.481, 1.03801e-18
0.482, 1.03774e-18
0.483, 1.03895e-18
0.484, 1.03577e-18
0.485, 1.03939e-18
0.486, 1.03879e-18
0.487, 1.03967e-18
0.488, 1.03616e-18
0.489, 1.03731e-18
0.49, 1.03674e-18
0.491, 1.03764e-18
0.492, 1.03948e-18
0.493, 1.03995e-18
0.494, 1.03834e-18
0.495, 1.03944e-18
0.496, 1.03971e-18
0.497, 1.0402e-18
0.498, 1.03861e-18
0.499, 1.03938e-18
0.5, 1.03807e-18
0.501, 1.03557e-18
0.502, 1.03774e-18
0.503, 1.03836e-18
0.504, 1.04116e-18
0.505, 1.03637e-18
0.506, 1.03856e-18
0.507, 1.04009e-18
0.508, 1.03829e-18
0.509, 1.03992e-18
0.51, 1.03645e-18
0.511, 1.03854e-18
0.512, 1.03695e-18
0.513, 1.04127e-18
0.514, 1.03711e-18
0.515, 1.03674e-18
0.516, 1.03837e-18
0.517, 1.03933e-18
0.518, 1.0368e-18
0.519, 1.03982e-18
0.52, 1.04023e-18
0.521, 1.03998e-18
0.522, 1.03783e-18
0.523, 1.03803e-18
0.524, 1.03847e-18
0.525, 1.03984e-18
0.526, 1.03647e-18
0.527, 1.03581e-18
0.528, 1.03769e-18
0.529, 1.0366e-18
0.53, 1.03894e-18
0.531, 1.03689e-18
0.532, 1.03737e-18
0.533, 1.0395e-18
0.534, 1.04026e-18
0.535, 1.03699e-18
0.536, 1.03785e-18
0.537, 1.03894e-18
0.538, 1.03689e-18
0.539, 1.03826e-18
0.54, 1.03861e-18
0.541, 1.03919e-18
0.542, 1.04178e-18
0.543, 1.03891e-18
0.544, 1.03804e-18
0.545, 1.03581e-18
0.546, 1.03948e-18
0.547, 1.03983e-18
0.548, 1.04023e-18
0.549, 1.03784e-18
0.55, 1.03941e-18
0.551, 1.03872e-18
0.552, 1.03915e-18
0.553, 1.03767e-18
0.554, 1.03802e-18
0.555, 1.0402e-18
0.556, 1.03834e-18
0.557, 1.03706e-18
0.558, 1.03743e-18
0.559, 1.03768e-18
0.56, 1.03744e-18
0.561, 1.03903e-18
0.562, 1.03996e-18
0.563, 1.03704e-18
0.564, 1.03842e-18
0.565, 1.03773e-18
0.566, 1.03815e-18
0.567, 1.03915e-18
0.568, 1.03666e-18
0.569, 1.0367e-18
0.57, 1.03839e-18
0.571, 1.03995e-18
0.572, 1.04085e-18
0.573, 1.03931e-18
0.574, 1.04067e-18
0.575, 1.04048e-18
0.576, 1.03626e-18
0.577, 1.03919e-18
0.578, 1.03701e-18
0.579, 1.04076e-18
0.58, 1.0362e-18
