sim_time, unit_box_Custom?world_pose/orientation/roll
0.391, 7.47662e-19
0.392, 7.46208e-19
0.393, 7.44398e-19
0.394, 7.44172e-19
0.395, 7.45766e-19
0.396, 7.45919e-19
0.397, 7.4914e-19
0.398, 7.46188e-19
0.399, 7.45792e-19
0.4, 7.43134e-19
0.401, 7.44518e-19
0.402, 7.41949e-19
0.403, 7.44753e-19
0.404, 7.44492e-19
0.405, 7.46052e-19
0.406, 7.42327e-19
0.407, 7.46639e-19
0.408, 7.42114e-19
0.409, 7.4385e-19
0.41, 7.44297e-19
0.411, 7.49674e-19
0.412, 7.46213e-19
0.413, 7.44572e-19
0.414, 7.4342e-19
0.415, 7.4542e-19
0.416, 7.46131e-19
0.417, 7.46443e-19
0.418, 7.49464e-19
0.419, 7.46755e-19
0.42, 7.42758e-19
0.421, 7.45466e-19
0.422, 7.46886e-19
0.423, 7.49683e-19
0.424, 7.41421e-19
0.425, 7.45194e-19
0.426, 7.45014e-19
0.427, 7.43989e-19
0.428, 7.43898e-19
0.429, 7.43405e-19
0.43, 7.42513e-19
0.431, 7.45662e-19
0.432, 7.46635e-19
0.433, 7.50315e-19
0.434, 7.47379e-19
0.435, 7.45819e-19
0.436, 7.43859e-19
0.437, 7.44607e-19
0.438, 7.43179e-19
0.439, 7.43572e-19
0.44, 7.46673e-19
0.441, 7.49374e-19
0.442, 7.43681e-19
0.443, 7.42917e-19
0.444, 7.46195e-19
0.445, 7.46851e-19
0.446, 7.42223e-19
0.447, 7.46964e-19
0.448, 7.46421e-19
0.449, 7.45477e-19
0.45, 7.45466e-19
0.451, 7.46387e-19
0.452, 7.45575e-19
0.453, 7.49693e-19
0.454, 7.44084e-19
0.455, 7.46069e-19
0.456, 7.4499e-19
0.457, 7.46619e-19
0.458, 7.47404e-19
0.459, 7.51341e-19
0.46, 7.49994e-19
0.461, 7.50467e-19
0.462, 7.46098e-19
0.463, 7.43551e-19
0.464, 7.47708e-19
0.465, 7.45249e-19
0.466, 7.45497e-19
0.467, 7.44902e-19
0.468, 7.44795e-19
0.469, 7.47397e-19
0.47, 7.51374e-19
0.471, 7.43406e-19
0.472, 7.44363e-19
0.473, 7.46252e-19
0.474, 7.43301e-19
0.475, 7.44834e-19
0.476, 7.48188e-19
0.477, 7.44036e-19
0.478, 7.44814e-19
0.479, 7.47855e-19
0.48, 7.43836e-19
0.481, 7.41636e-19
0.482, 7.46587e-19
0.483, 7.44031e-19
0.484, 7.45961e-19
0.485, 7.43938e-19
0.486, 7.46844e-19
0.487, 7.45797e-19
0.488, 7.46571e-19
0.489, 7.47832e-19
0.49, 7.47805e-19
0.491, 7.43826e-19
0.492, 7.4522e-19
0.493, 7.45325e-19
0.494, 7.45031e-19
0.495, 7.47445e-19
0.496, 7.43686e-19
0.497, 7.47076e-19
0.498, 7.49178e-19
0.499, 7.45995e-19
0.5, 7.45965e-19
0.501, 7.43314e-19
0.502, 7.44704e-19
0.503, 7.4525e-19
0.504, 7.4362e-19
0.505, 7.43809e-19
0.506, 7.46708e-19
0.507, 7.49206e-19
0.508, 7.4642e-19
0.509, 7.44565e-19
0.51, 7.43643e-19
0.511, 7.44541e-19
0.512, 7.48148e-19
0.513, 7.48246e-19
0.514, 7.4528e-19
0.515, 7.45022e-19
0.516, 7.44808e-19
0.517, 7.46858e-19
0.518, 7.44068e-19
0.519, 7.43098e-19
0.52, 7.44837e-19
0.521, 7.51504e-19
0.522, 7.42229e-19
0.523, 7.45432e-19
0.524, 7.46902e-19
0.525, 7.4664e-19
0.526, 7.47311e-19
0.527, 7.47137e-19
0.528, 7.42123e-19
0.529, 7.46922e-19
0.53, 7.45548e-19
0.531, 7.46883e-19
0.532, 7.43377e-19
0.533, 7.43468e-19
0.534, 7.49376e-19
0.535, 7.46446e-19
0.536, 7.45336e-19
0.537, 7.44271e-19
0.538, 7.46358e-19
0.539, 7.44048e-19
0.54, 7.44891e-19
0.541, 7.46667e-19
0.542, 7.43157e-19
0.543, 7.46797e-19
0.544, 7.42487e-19
0.545, 7.44882e-19
0.546, 7.43769e-19
0.547, 7.47141e-19
0.548, 7.47448e-19
0.549, 7.42026e-19
0.55, 7.45974e-19
0.551, 7.46413e-19
0.552, 7.45564e-19
0.553, 7.46536e-19
0.554, 7.45331e-19
0.555, 7.4639e-19
0.556, 7.46605e-19
0.557, 7.46865e-19
0.558, 7.45392e-19
0.559, 7.44851e-19
0.56, 7.43466e-19
0.561, 7.46122e-19
0.562, 7.45713e-19
0.563, 7.47569e-19
0.564, 7.47249e-19
0.565, 7.42975e-19
0.566, 7.45408e-19
0.567, 7.45219e-19
0.568, 7.47295e-19
0.569, 7.4453e-19
0.57, 7.45362e-19
0.571, 7.51567e-19
0.572, 7.43162e-19
0.573, 7.41461e-19
0.574, 7.42913e-19
0.575, 7.48851e-19
0.576, 7.4595e-19
0.577, 7.46202e-19
0.578, 7.48274e-19
0.579, 7.46838e-19
0.58, 7.44558e-19
0.581, 7.46762e-19
0.582, 7.49011e-19
0.583, 7.47307e-19
0.584, 7.47423e-19
0.585, 7.47139e-19
0.586, 7.4379e-19
0.587, 7.46703e-19
0.588, 7.46996e-19
0.589, 7.46888e-19
0.59, 7.45936e-19
0.591, 7.45916e-19
0.592, 7.45053e-19
0.593, 7.42901e-19
0.594, 7.46122e-19
