sim_time, unit_box_Custom?world_pose/orientation/roll
0.576, 9.78113e-06
0.577, 1.10387e-08
0.578, -9.78113e-06
0.579, -1.10388e-08
0.58, 9.78113e-06
0.581, 1.10387e-08
0.582, -9.78113e-06
0.583, -1.10388e-08
0.584, 9.78113e-06
0.585, 1.10387e-08
0.586, -9.78113e-06
0.587, -1.10388e-08
0.588, 9.78113e-06
0.589, 1.10387e-08
0.59, -9.78113e-06
0.591, -1.10388e-08
0.592, 9.78113e-06
0.593, 1.10387e-08
0.594, -9.78113e-06
0.595, -1.10388e-08
0.596, 9.78113e-06
0.597, 1.10387e-08
0.598, -9.78113e-06
0.599, -1.10388e-08
0.6, 9.78113e-06
0.601, 1.10387e-08
0.602, -9.78113e-06
0.603, -1.10388e-08
0.604, 9.78113e-06
0.605, 1.10387e-08
0.606, -9.78113e-06
0.607, -1.10388e-08
0.608, 9.78113e-06
0.609, 1.10387e-08
0.61, -9.78113e-06
0.611, -1.10388e-08
0.612, 9.78113e-06
0.613, 1.10387e-08
0.614, -9.78113e-06
0.615, -1.10388e-08
0.616, 9.78113e-06
0.617, 1.10387e-08
0.618, -9.78113e-06
0.619, -1.10388e-08
0.62, 9.78113e-06
0.621, 1.10387e-08
0.622, -9.78113e-06
0.623, -1.10388e-08
0.624, 9.78113e-06
0.625, 1.10387e-08
0.626, -9.78113e-06
0.627, -1.10388e-08
0.628, 9.78113e-06
0.629, 1.10387e-08
0.63, -9.78113e-06
0.631, -1.10388e-08
0.632, 9.78113e-06
0.633, 1.10387e-08
0.634, -9.78113e-06
0.635, -1.10388e-08
0.636, 9.78113e-06
0.637, 1.10387e-08
0.638, -9.78113e-06
0.639, -1.10388e-08
0.64, 9.78113e-06
0.641, 1.10387e-08
0.642, -9.78113e-06
0.643, -1.10388e-08
0.644, 9.78113e-06
0.645, 1.10387e-08
0.646, -9.78113e-06
0.647, -1.10388e-08
0.648, 9.78113e-06
0.649, 1.10387e-08
0.65, -9.78113e-06
0.651, -1.10388e-08
0.652, 9.78113e-06
0.653, 1.10387e-08
0.654, -9.78113e-06
0.655, -1.10388e-08
0.656, 9.78113e-06
0.657, 1.10387e-08
0.658, -9.78113e-06
0.659, -1.10388e-08
0.66, 9.78113e-06
0.661, 1.10387e-08
0.662, -9.78113e-06
0.663, -1.10388e-08
0.664, 9.78113e-06
0.665, 1.10387e-08
0.666, -9.78113e-06
0.667, -1.10388e-08
0.668, 9.78113e-06
0.669, 1.10387e-08
0.67, -9.78113e-06
0.671, -1.10388e-08
0.672, 9.78113e-06
0.673, 1.10387e-08
0.674, -9.78113e-06
0.675, -1.10388e-08
0.676, 9.78113e-06
0.677, 1.10387e-08
0.678, -9.78113e-06
0.679, -1.10388e-08
0.68, 9.78113e-06
0.681, 1.10387e-08
0.682, -9.78113e-06
0.683, -1.10388e-08
0.684, 9.78113e-06
0.685, 1.10387e-08
0.686, -9.78113e-06
0.687, -1.10388e-08
0.688, 9.78113e-06
0.689, 1.10387e-08
0.69, -9.78113e-06
0.691, -1.10388e-08
0.692, 9.78113e-06
0.693, 1.10387e-08
0.694, -9.78113e-06
0.695, -1.10388e-08
0.696, 9.78113e-06
0.697, 1.10387e-08
0.698, -9.78113e-06
0.699, -1.10388e-08
0.7, 9.78113e-06
0.701, 1.10387e-08
0.702, -9.78113e-06
0.703, -1.10388e-08
0.704, 9.78113e-06
0.705, 1.10387e-08
0.706, -9.78113e-06
0.707, -1.10388e-08
0.708, 9.78113e-06
0.709, 1.10387e-08
0.71, -9.78113e-06
0.711, -1.10388e-08
0.712, 9.78113e-06
0.713, 1.10387e-08
0.714, -9.78113e-06
0.715, -1.10388e-08
0.716, 9.78113e-06
0.717, 1.10387e-08
0.718, -9.78113e-06
0.719, -1.10388e-08
0.72, 9.78113e-06
