Time,X Velocity,Y Velocity,Z Velocity,X Position,Y Position,Z Position,Roll,Yaw,Pitch,X Angular Velocity,Y Angular Velocity,Z Angular Velocity
0.052,-0.00551848,0.486713,0.00368679,-1.17E-07,0.038494,0.500002,-2.11E-06,-1.24E-06,9.26E-07,-4.34E-05,-0.005498,-0.00553954
0.053,-0.00737071,0.484244,-0.00364366,-7.49E-06,0.0389783,0.499998,-2.16E-06,-8.63E-06,-6.42E-06,-4.34E-05,-0.00734993,-0.00739151
0.054,0.00547705,0.467113,0.00368715,-2.01E-06,0.0394454,0.500002,-2.20E-06,-3.17E-06,-9.26E-07,-4.35E-05,0.00549808,0.00545658
0.055,0.0073291,0.464644,-0.00364354,5.32E-06,0.03991,0.499998,-2.24E-06,4.14E-06,6.42E-06,-4.36E-05,0.00734983,0.00730834
0.056,-0.00551858,0.447513,0.00368704,-2.00E-07,0.0403576,0.500002,-2.29E-06,-1.40E-06,9.26E-07,-4.39E-05,-0.005498,-0.00553974
0.057,-0.00737082,0.445043,-0.0036434,-7.57E-06,0.0408026,0.499998,-2.33E-06,-8.79E-06,-6.42E-06,-4.40E-05,-0.00734993,-0.00739172
0.058,0.00547696,0.427913,0.00368743,-2.09E-06,0.0412305,0.500002,-2.38E-06,-3.34E-06,-9.26E-07,-4.41E-05,0.00549809,0.00545639
0.059,0.00732899,0.425443,-0.00364328,5.24E-06,0.041656,0.499998,-2.42E-06,3.97E-06,6.42E-06,-4.41E-05,0.00734983,0.00730814
0.06,-0.00551869,0.408313,0.00368731,-2.84E-07,0.0420643,0.500002,-2.46E-06,-1.57E-06,9.26E-07,-4.45E-05,-0.005498,-0.00553996
0.061,-0.00737093,0.405843,-0.00364313,-7.65E-06,0.0424701,0.499998,-2.51E-06,-8.96E-06,-6.42E-06,-4.45E-05,-0.00734993,-0.00739194
0.062,0.00547686,0.388712,0.00368773,-2.18E-06,0.0428588,0.500002,-2.55E-06,-3.51E-06,-9.26E-07,-4.47E-05,0.0054981,0.00545619
0.063,0.00732889,0.386243,-0.00364299,5.15E-06,0.0432451,0.499998,-2.60E-06,3.80E-06,6.42E-06,-4.47E-05,0.00734982,0.00730793
0.064,-0.0055188,0.369112,0.0036876,-3.68E-07,0.0436142,0.500002,-2.64E-06,-1.74E-06,9.26E-07,-4.51E-05,-0.005498,-0.00554019
0.065,-0.00737105,0.366643,-0.00364283,-7.74E-06,0.0439808,0.499998,-2.69E-06,-9.13E-06,-6.42E-06,-4.51E-05,-0.00734994,-0.00739218
0.066,0.00547675,0.349512,0.00368805,-2.26E-06,0.0443303,0.500002,-2.73E-06,-3.67E-06,-9.26E-07,-4.53E-05,0.0054981,0.00545596
0.067,0.00732877,0.347043,-0.00364268,5.07E-06,0.0446774,0.499998,-2.78E-06,3.63E-06,6.42E-06,-4.53E-05,0.00734982,0.0073077
0.068,-0.00551892,0.329912,0.00368792,-4.52E-07,0.0450073,0.500002,-2.83E-06,-1.91E-06,9.26E-07,-4.57E-05,-0.005498,-0.00554044
0.069,-0.00737118,0.327443,-0.00364251,-7.82E-06,0.0453347,0.499998,-2.87E-06,-9.30E-06,-6.42E-06,-4.58E-05,-0.00734994,-0.00739243
0.07,0.00547664,0.310312,0.00368839,-2.35E-06,0.045645,0.500002,-2.92E-06,-3.84E-06,-9.26E-07,-4.59E-05,0.00549811,0.00545573
0.071,0.00732864,0.307842,-0.00364235,4.98E-06,0.0459529,0.499998,-2.96E-06,3.46E-06,6.42E-06,-4.60E-05,0.00734982,0.00730745
0.072,-0.00551905,0.290712,0.00368825,-5.37E-07,0.0462436,0.500002,-3.01E-06,-2.08E-06,9.26E-07,-4.64E-05,-0.005498,-0.0055407
0.073,-0.00737131,0.288242,-0.00364217,-7.91E-06,0.0465318,0.499998,-3.06E-06,-9.47E-06,-6.42E-06,-4.65E-05,-0.00734994,-0.0073927
0.074,0.00547652,0.271111,0.00368876,-2.43E-06,0.046803,0.500002,-3.10E-06,-4.01E-06,-9.26E-07,-4.66E-05,0.00549812,0.00545548
0.075,0.00732851,0.268642,-0.003642,4.90E-06,0.0470716,0.499998,-3.15E-06,3.29E-06,6.42E-06,-4.67E-05,0.00734981,0.00730719
0.076,-0.00551919,0.251511,0.00368861,-6.23E-07,0.0473231,0.500002,-3.20E-06,-2.25E-06,9.26E-07,-4.71E-05,-0.005498,-0.00554098
0.077,-0.00737146,0.249042,-0.0036418,-7.99E-06,0.0475721,0.499998,-3.24E-06,-9.64E-06,-6.42E-06,-4.72E-05,-0.00734995,-0.00739299
0.078,0.00547639,0.231911,0.00368914,-2.52E-06,0.0478041,0.500002,-3.29E-06,-4.19E-06,-9.26E-07,-4.74E-05,0.00549813,0.00545521
0.079,0.00732837,0.229442,-0.00364162,4.81E-06,0.0480335,0.499998,-3.34E-06,3.12E-06,6.42E-06,-4.74E-05,0.00734981,0.00730691
0.08,-0.00551934,0.212311,0.00368899,-7.09E-07,0.0482458,0.500002,-3.39E-06,-2.42E-06,9.26E-07,-4.79E-05,-0.005498,-0.00554128
0.081,-0.00737161,0.209841,-0.00364142,-8.08E-06,0.0484557,0.499999,-3.43E-06,-9.81E-06,-6.42E-06,-4.80E-05,-0.00734995,-0.00739329
0.082,0.00547625,0.19271,0.00368955,-2.60E-06,0.0486484,0.500002,-3.48E-06,-4.36E-06,-9.26E-07,-4.82E-05,0.00549813,0.00545493
0.083,0.00732823,0.190241,-0.00364123,4.72E-06,0.0488386,0.499999,-3.53E-06,2.95E-06,6.42E-06,-4.82E-05,0.0073498,0.00730662
0.084,-0.00551949,0.173111,0.00368939,-7.95E-07,0.0490117,0.500002,-3.58E-06,-2.59E-06,9.26E-07,-4.87E-05,-0.005498,-0.00554158
0.085,-0.00737177,0.170641,-0.00364101,-8.17E-06,0.0491824,0.499999,-3.63E-06,-9.99E-06,-6.42E-06,-4.88E-05,-0.00734996,-0.0073936
0.086,0.00547611,0.15351,0.00368999,-2.69E-06,0.0493359,0.500002,-3.68E-06,-4.53E-06,-9.26E-07,-4.90E-05,0.00549814,0.00545463
0.087,0.00732807,0.151041,-0.00364081,4.64E-06,0.0494869,0.499999,-3.73E-06,2.77E-06,6.42E-06,-4.90E-05,0.0073498,0.00730632
0.088,-0.00551965,0.13391,0.00368982,-8.83E-07,0.0496208,0.500002,-3.78E-06,-2.77E-06,9.26E-07,-4.96E-05,-0.005498,-0.00554191
0.089,-0.00737193,0.131441,-0.00364058,-8.25E-06,0.0497523,0.499999,-3.83E-06,-1.02E-05,-6.42E-06,-4.97E-05,-0.00734996,-0.00739393
0.09,0.00547596,0.11431,0.00369044,-2.78E-06,0.0498666,0.500002,-3.88E-06,-4.71E-06,-9.26E-07,-4.99E-05,0.00549815,0.00545432
0.091,0.00732791,0.11184,-0.00364037,4.55E-06,0.0499784,0.499999,-3.93E-06,2.60E-06,6.42E-06,-4.99E-05,0.0073498,0.00730599
0.092,-0.00551982,0.0947097,0.00369026,-9.70E-07,0.0500731,0.500002,-3.98E-06,-2.94E-06,9.26E-07,-5.05E-05,-0.005498,-0.00554225
0.093,-0.00737211,0.0922401,-0.00364012,-8.34E-06,0.0501654,0.499999,-4.03E-06,-1.03E-05,-6.42E-06,-5.06E-05,-0.00734996,-0.00739428
0.094,0.00547573,0.0751092,0.00369083,-2.87E-06,0.0502405,0.500002,-4.08E-06,-4.88E-06,-9.26E-07,-5.08E-05,0.00549809,0.00545393
0.095,0.00732782,0.0726398,-0.00363979,4.46E-06,0.0503131,0.499999,-4.13E-06,2.42E-06,6.42E-06,-5.09E-05,0.00734987,0.00730574
0.096,-0.0055196,0.0555096,0.00369042,-1.06E-06,0.0503686,0.500003,-4.18E-06,-3.12E-06,9.26E-07,-5.15E-05,-0.00549761,-0.00554222
0.097,-0.00737246,0.0530392,-0.00363921,-8.43E-06,0.0504217,0.499999,-4.23E-06,-1.05E-05,-6.42E-06,-5.16E-05,-0.00735013,-0.00739481
0.098,0.00547464,0.0359092,0.00369077,-2.96E-06,0.0504576,0.500003,-4.28E-06,-5.06E-06,-9.27E-07,-5.18E-05,0.0054972,0.00545269
0.099,0.0073277,0.0334386,-0.00363856,4.37E-06,0.050491,0.499999,-4.33E-06,2.24E-06,6.42E-06,-5.18E-05,0.00734993,0.00730544
0.1,-0.00551822,0.0163103,0.00368965,-1.15E-06,0.0505073,0.500003,-4.39E-06,-3.30E-06,9.27E-07,-5.25E-05,-0.00549609,-0.00554107
0.101,-0.00737297,0.0138375,-0.00363747,-8.52E-06,0.0505211,0.499999,-4.44E-06,-1.07E-05,-6.42E-06,-5.26E-05,-0.00735046,-0.00739551
0.102,0.0037849,-0.000503688,0.00198146,-4.73E-06,0.0505206,0.500001,-1.26E-06,-8.54E-06,-9.92E-07,0.00318057,0.00543156,0.00215338
