sim_time, unit_box_Custom?world_linear_acceleration/y
0.652, -0.0110495
0.653, 9.78112
0.654, 0.0110496
0.655, -9.78112
0.656, -0.0110495
0.657, 9.78112
0.658, 0.0110496
0.659, -9.78112
0.66, -0.0110495
0.661, 9.78112
0.662, 0.0110496
0.663, -9.78112
0.664, -0.0110495
0.665, 9.78112
0.666, 0.0110496
0.667, -9.78112
0.668, -0.0110495
0.669, 9.78112
0.67, 0.0110496
0.671, -9.78112
0.672, -0.0110495
0.673, 9.78112
0.674, 0.0110496
0.675, -9.78112
0.676, -0.0110495
0.677, 9.78112
0.678, 0.0110496
0.679, -9.78112
0.68, -0.0110495
0.681, 9.78112
0.682, 0.0110496
0.683, -9.78112
0.684, -0.0110495
0.685, 9.78112
0.686, 0.0110496
0.687, -9.78112
0.688, -0.0110495
0.689, 9.78112
0.69, 0.0110496
0.691, -9.78112
0.692, -0.0110495
0.693, 9.78112
0.694, 0.0110496
0.695, -9.78112
0.696, -0.0110495
0.697, 9.78112
0.698, 0.0110496
0.699, -9.78112
0.7, -0.0110495
0.701, 9.78112
0.702, 0.0110496
0.703, -9.78112
0.704, -0.0110495
0.705, 9.78112
0.706, 0.0110496
0.707, -9.78112
0.708, -0.0110495
0.709, 9.78112
0.71, 0.0110496
0.711, -9.78112
0.712, -0.0110495
0.713, 9.78112
0.714, 0.0110496
0.715, -9.78112
0.716, -0.0110495
0.717, 9.78112
0.718, 0.0110496
0.719, -9.78112
0.72, -0.0110495
0.721, 9.78112
0.722, 0.0110496
0.723, -9.78112
0.724, -0.0110495
0.725, 9.78112
0.726, 0.0110496
0.727, -9.78112
0.728, -0.0110495
0.729, 9.78112
0.73, 0.0110496
0.731, -9.78112
0.732, -0.0110495
0.733, 9.78112
0.734, 0.0110496
0.735, -9.78112
0.736, -0.0110495
0.737, 9.78112
0.738, 0.0110496
0.739, -9.78112
0.74, -0.0110495
0.741, 9.78112
0.742, 0.0110496
0.743, -9.78112
0.744, -0.0110495
0.745, 9.78112
0.746, 0.0110496
0.747, -9.78112
0.748, -0.0110495
0.749, 9.78112
0.75, 0.0110496
0.751, -9.78112
0.752, -0.0110495
0.753, 9.78112
0.754, 0.0110496
