sim_time, unit_box_Custom?world_linear_acceleration/z
0.631, 9.78159
0.632, -9.78159
0.633, 9.78159
0.634, -9.78159
0.635, 9.78159
0.636, -9.78159
0.637, 9.78159
0.638, -9.78159
0.639, 9.78159
0.64, -9.78159
0.641, 9.78159
0.642, -9.78159
0.643, 9.78159
0.644, -9.78159
0.645, 9.78159
0.646, -9.78159
0.647, 9.78159
0.648, -9.78159
0.649, 9.78159
0.65, -9.78159
0.651, 9.78159
0.652, -9.78159
0.653, 9.78159
0.654, -9.78159
0.655, 9.78159
0.656, -9.78159
0.657, 9.78159
0.658, -9.78159
0.659, 9.78159
0.66, -9.78159
0.661, 9.78159
0.662, -9.78159
0.663, 9.78159
0.664, -9.78159
0.665, 9.78159
0.666, -9.78159
0.667, 9.78159
0.668, -9.78159
0.669, 9.78159
0.67, -9.78159
0.671, 9.78159
0.672, -9.78159
0.673, 9.78159
0.674, -9.78159
0.675, 9.78159
0.676, -9.78159
0.677, 9.78159
0.678, -9.78159
0.679, 9.78159
0.68, -9.78159
0.681, 9.78159
0.682, -9.78159
0.683, 9.78159
0.684, -9.78159
0.685, 9.78159
0.686, -9.78159
0.687, 9.78159
0.688, -9.78159
0.689, 9.78159
0.69, -9.78159
0.691, 9.78159
0.692, -9.78159
0.693, 9.78159
0.694, -9.78159
0.695, 9.78159
0.696, -9.78159
0.697, 9.78159
0.698, -9.78159
0.699, 9.78159
0.7, -9.78159
0.701, 9.78159
0.702, -9.78159
0.703, 9.78159
0.704, -9.78159
0.705, 9.78159
0.706, -9.78159
0.707, 9.78159
0.708, -9.78159
0.709, 9.78159
0.71, -9.78159
0.711, 9.78159
0.712, -9.78159
0.713, 9.78159
0.714, -9.78159
0.715, 9.78159
0.716, -9.78159
0.717, 9.78159
0.718, -9.78159
0.719, 9.78159
0.72, -9.78159
0.721, 9.78159
0.722, -9.78159
0.723, 9.78159
0.724, -9.78159
0.725, 9.78159
0.726, -9.78159
0.727, 9.78159
0.728, -9.78159
0.729, 9.78159
0.73, -9.78159
0.731, 9.78159
0.732, -9.78159
0.733, 9.78159
0.734, -9.78159
0.735, 9.78159
0.736, -9.78159
0.737, 9.78159
0.738, -9.78159
0.739, 9.78159
0.74, -9.78159
0.741, 9.78159
0.742, -9.78159
0.743, 9.78159
0.744, -9.78159
0.745, 9.78159
0.746, -9.78159
0.747, 9.78159
0.748, -9.78159
0.749, 9.78159
0.75, -9.78159
0.751, 9.78159
0.752, -9.78159
0.753, 9.78159
0.754, -9.78159
0.755, 9.78159
0.756, -9.78159
0.757, 9.78159
0.758, -9.78159
0.759, 9.78159
0.76, -9.78159
0.761, 9.78159
0.762, -9.78159
0.763, 9.78159
0.764, -9.78159
0.765, 9.78159
0.766, -9.78159
0.767, 9.78159
0.768, -9.78159
0.769, 9.78159
0.77, -9.78159
0.771, 9.78159
0.772, -9.78159
0.773, 9.78159
0.774, -9.78159
0.775, 9.78159
0.776, -9.78159
0.777, 9.78159
0.778, -9.78159
0.779, 9.78159
0.78, -9.78159
0.781, 9.78159
0.782, -9.78159
0.783, 9.78159
0.784, -9.78159
0.785, 9.78159
0.786, -9.78159
0.787, 9.78159
0.788, -9.78159
0.789, 9.78159
0.79, -9.78159
0.791, 9.78159
0.792, -9.78159
0.793, 9.78159
0.794, -9.78159
0.795, 9.78159
0.796, -9.78159
0.797, 9.78159
0.798, -9.78159
0.799, 9.78159
0.8, -9.78159
0.801, 9.78159
0.802, -9.78159
0.803, 9.78159
0.804, -9.78159
0.805, 9.78159
0.806, -9.78159
0.807, 9.78159
0.808, -9.78159
0.809, 9.78159
0.81, -9.78159
0.811, 9.78159
0.812, -9.78159
0.813, 9.78159
0.814, -9.78159
0.815, 9.78159
0.816, -9.78159
0.817, 9.78159
0.818, -9.78159
0.819, 9.78159
0.82, -9.78159
0.821, 9.78159
0.822, -9.78159
0.823, 9.78159
0.824, -9.78159
0.825, 9.78159
0.826, -9.78159
0.827, 9.78159
0.828, -9.78159
0.829, 9.78159
0.83, -9.78159
0.831, 9.78159
0.832, -9.78159
0.833, 9.78159
0.834, -9.78159
0.835, 9.78159
0.836, -9.78159
0.837, 9.78159
0.838, -9.78159
0.839, 9.78159
0.84, -9.78159
0.841, 9.78159
0.842, -9.78159
0.843, 9.78159
0.844, -9.78159
0.845, 9.78159
0.846, -9.78159
0.847, 9.78159
0.848, -9.78159
0.849, 9.78159
0.85, -9.78159
0.851, 9.78159
0.852, -9.78159
0.853, 9.78159
0.854, -9.78159
0.855, 9.78159
0.856, -9.78159
0.857, 9.78159
0.858, -9.78159
0.859, 9.78159
0.86, -9.78159
0.861, 9.78159
0.862, -9.78159
0.863, 9.78159
0.864, -9.78159
0.865, 9.78159
0.866, -9.78159
0.867, 9.78159
0.868, -9.78159
0.869, 9.78159
0.87, -9.78159
0.871, 9.78159
0.872, -9.78159
0.873, 9.78159
0.874, -9.78159
0.875, 9.78159
0.876, -9.78159
0.877, 9.78159
0.878, -9.78159
0.879, 9.78159
0.88, -9.78159
0.881, 9.78159
0.882, -9.78159
0.883, 9.78159
0.884, -9.78159
0.885, 9.78159
0.886, -9.78159
0.887, 9.78159
0.888, -9.78159
0.889, 9.78159
0.89, -9.78159
0.891, 9.78159
0.892, -9.78159
0.893, 9.78159
0.894, -9.78159
0.895, 9.78159
0.896, -9.78159
0.897, 9.78159
0.898, -9.78159
0.899, 9.78159
0.9, -9.78159
0.901, 9.78159
0.902, -9.78159
0.903, 9.78159
0.904, -9.78159
0.905, 9.78159
0.906, -9.78159
0.907, 9.78159
0.908, -9.78159
0.909, 9.78159
0.91, -9.78159
0.911, 9.78159
0.912, -9.78159
0.913, 9.78159
0.914, -9.78159
0.915, 9.78159
0.916, -9.78159
0.917, 9.78159
0.918, -9.78159
0.919, 9.78159
0.92, -9.78159
0.921, 9.78159
0.922, -9.78159
0.923, 9.78159
0.924, -9.78159
0.925, 9.78159
0.926, -9.78159
0.927, 9.78159
0.928, -9.78159
0.929, 9.78159
0.93, -9.78159
0.931, 9.78159
0.932, -9.78159
0.933, 9.78159
0.934, -9.78159
0.935, 9.78159
0.936, -9.78159
0.937, 9.78159
0.938, -9.78159
0.939, 9.78159
0.94, -9.78159
0.941, 9.78159
0.942, -9.78159
0.943, 9.78159
0.944, -9.78159
0.945, 9.78159
0.946, -9.78159
0.947, 9.78159
0.948, -9.78159
0.949, 9.78159
0.95, -9.78159
0.951, 9.78159
0.952, -9.78159
0.953, 9.78159
0.954, -9.78159
0.955, 9.78159
0.956, -9.78159
0.957, 9.78159
0.958, -9.78159
0.959, 9.78159
0.96, -9.78159
0.961, 9.78159
0.962, -9.78159
0.963, 9.78159
0.964, -9.78159
0.965, 9.78159
0.966, -9.78159
0.967, 9.78159
0.968, -9.78159
0.969, 9.78159
0.97, -9.78159
0.971, 9.78159
0.972, -9.78159
0.973, 9.78159
0.974, -9.78159
0.975, 9.78159
0.976, -9.78159
0.977, 9.78159
0.978, -9.78159
0.979, 9.78159
0.98, -9.78159
0.981, 9.78159
0.982, -9.78159
0.983, 9.78159
0.984, -9.78159
0.985, 9.78159
0.986, -9.78159
0.987, 9.78159
0.988, -9.78159
0.989, 9.78159
0.99, -9.78159
0.991, 9.78159
0.992, -9.78159
0.993, 9.78159
0.994, -9.78159
0.995, 9.78159
0.996, -9.78159
0.997, 9.78159
0.998, -9.78159
0.999, 9.78159
1, -9.78159
1.001, 9.78159
1.002, -9.78159
1.003, 9.78159
1.004, -9.78159
1.005, 9.78159
1.006, -9.78159
1.007, 9.78159
1.008, -9.78159
1.009, 9.78159
1.01, -9.78159
1.011, 9.78159
1.012, -9.78159
1.013, 9.78159
1.014, -9.78159
1.015, 9.78159
1.016, -9.78159
1.017, 9.78159
1.018, -9.78159
1.019, 9.78159
1.02, -9.78159
1.021, 9.78159
1.022, -9.78159
1.023, 9.78159
1.024, -9.78159
1.025, 9.78159
1.026, -9.78159
1.027, 9.78159
1.028, -9.78159
1.029, 9.78159
1.03, -9.78159
1.031, 9.78159
1.032, -9.78159
1.033, 9.78159
1.034, -9.78159
1.035, 9.78159
1.036, -9.78159
1.037, 9.78159
1.038, -9.78159
1.039, 9.78159
1.04, -9.78159
1.041, 9.78159
1.042, -9.78159
1.043, 9.78159
1.044, -9.78159
1.045, 9.78159
1.046, -9.78159
1.047, 9.78159
1.048, -9.78159
1.049, 9.78159
1.05, -9.78159
1.051, 9.78159
1.052, -9.78159
1.053, 9.78159
1.054, -9.78159
1.055, 9.78159
1.056, -9.78159
1.057, 9.78159
1.058, -9.78159
1.059, 9.78159
1.06, -9.78159
1.061, 9.78159
1.062, -9.78159
1.063, 9.78159
1.064, -9.78159
1.065, 9.78159
1.066, -9.78159
1.067, 9.78159
1.068, -9.78159
1.069, 9.78159
1.07, -9.78159
1.071, 9.78159
1.072, -9.78159
1.073, 9.78159
1.074, -9.78159
1.075, 9.78159
1.076, -9.78159
1.077, 9.78159
1.078, -9.78159
1.079, 9.78159
1.08, -9.78159
1.081, 9.78159
1.082, -9.78159
1.083, 9.78159
1.084, -9.78159
1.085, 9.78159
1.086, -9.78159
1.087, 9.78159
1.088, -9.78159
1.089, 9.78159
1.09, -9.78159
1.091, 9.78159
1.092, 9.78159
1.093, 9.78159
1.094, 9.78159
1.095, 9.78159
1.096, 9.78159
1.097, 9.78159
1.098, 9.78159
1.099, 9.78159
1.1, 9.78159
1.101, 9.78159
1.102, 9.78159
1.103, 9.78159
1.104, 9.78159
1.105, 9.78159
1.106, 9.78159
1.107, 9.78159
1.108, 9.78159
1.109, 9.78159
1.11, 9.78159
1.111, 9.78159
1.112, 9.78159
1.113, 9.78159
1.114, 9.78159
1.115, 9.78159
1.116, 9.78159
1.117, 9.78159
1.118, 9.78159
1.119, 9.78159
1.12, 9.78159
1.121, 9.78159
1.122, 9.78159
1.123, 9.78159
1.124, 9.78159
1.125, 9.78159
1.126, 9.78159
1.127, 9.78159
1.128, 9.78159
1.129, 9.78159
1.13, 9.78159
1.131, 9.78159
1.132, 9.78159
1.133, 9.78159
1.134, 9.78159
1.135, 9.78159
1.136, 9.78159
1.137, 9.78159
1.138, 9.78159
1.139, 9.78159
1.14, 9.78159
1.141, 9.78159
1.142, 9.78159
1.143, 9.78159
1.144, 9.78159
1.145, 9.78159
1.146, 9.78159
1.147, 9.78159
1.148, 9.78159
1.149, 9.78159
1.15, 9.78159
1.151, 9.78159
1.152, 9.78159
1.153, 9.78159
1.154, 9.78159
1.155, 9.78159
1.156, 9.78159
1.157, 9.78159
1.158, 9.78159
1.159, 9.78159
1.16, 9.78159
1.161, 9.78159
1.162, 9.78159
1.163, 9.78159
1.164, 9.78159
1.165, 9.78159
1.166, 9.78159
1.167, 9.78159
1.168, 9.78159
1.169, 9.78159
1.17, 9.78159
1.171, 9.78159
1.172, 9.78159
1.173, 9.78159
1.174, 9.78159
1.175, 9.78159
1.176, 9.78159
1.177, 9.78159
1.178, 9.78159
1.179, 9.78159
1.18, 9.78159
1.181, 9.78159
1.182, 9.78159
1.183, 9.78159
1.184, 9.78159
1.185, 9.78159
1.186, 9.78159
1.187, 9.78159
1.188, 9.78159
1.189, 9.78159
1.19, 9.78159
1.191, 9.78159
1.192, 9.78159
1.193, 9.78159
1.194, 9.78159
1.195, 9.78159
1.196, 9.78159
1.197, 9.78159
1.198, 9.78159
1.199, 9.78159
1.2, 9.78159
1.201, 9.78159
1.202, 9.78159
1.203, 9.78159
1.204, 9.78159
1.205, 9.78159
1.206, 9.78159
1.207, 9.78159
1.208, 9.78159
1.209, 9.78159
1.21, 9.78159
1.211, 9.78159
1.212, 9.78159
1.213, 9.78159
1.214, 9.78159
1.215, 9.78159
1.216, 9.78159
1.217, 9.78159
1.218, 9.78159
1.219, 9.78159
1.22, 9.78159
1.221, 9.78159
1.222, 9.78159
1.223, 9.78159
1.224, 9.78159
1.225, 9.78159
1.226, 9.78159
1.227, 9.78159
1.228, 9.78159
1.229, 9.78159
1.23, 9.78159
1.231, 9.78159
1.232, 9.78159
1.233, 9.78159
1.234, 9.78159
1.235, 9.78159
1.236, 9.78159
1.237, 9.78159
1.238, 9.78159
1.239, 9.78159
1.24, 9.78159
1.241, 9.78159
1.242, 9.78159
1.243, 9.78159
1.244, 9.78159
1.245, 9.78159
1.246, 9.78159
1.247, 9.78159
1.248, 9.78159
1.249, 9.78159
1.25, 9.78159
1.251, 9.78159
1.252, 9.78159
1.253, 9.78159
1.254, 9.78159
1.255, 9.78159
1.256, 9.78159
1.257, 9.78159
1.258, 9.78159
1.259, 9.78159
1.26, 9.78159
1.261, 9.78159
1.262, 9.78159
1.263, 9.78159
1.264, 9.78159
1.265, 9.78159
1.266, 9.78159
1.267, 9.78159
1.268, 9.78159
1.269, 9.78159
1.27, 9.78159
1.271, 9.78159
1.272, 9.78159
1.273, 9.78159
1.274, 9.78159
1.275, 9.78159
1.276, 9.78159
1.277, 9.78159
1.278, 9.78159
1.279, 9.78159
1.28, 9.78159
1.281, 9.78159
1.282, 9.78159
1.283, 9.78159
1.284, 9.78159
1.285, 9.78159
1.286, 9.78159
1.287, 9.78159
1.288, 9.78159
1.289, 9.78159
1.29, 9.78159
1.291, 9.78159
1.292, 9.78159
1.293, 9.78159
1.294, 9.78159
1.295, 9.78159
1.296, 9.78159
1.297, 9.78159
1.298, 9.78159
1.299, 9.78159
1.3, 9.78159
1.301, 9.78159
1.302, 9.78159
1.303, 9.78159
1.304, 9.78159
1.305, 9.78159
1.306, 9.78159
1.307, 9.78159
1.308, 9.78159
1.309, 9.78159
1.31, 9.78159
1.311, 9.78159
1.312, 9.78159
1.313, 9.78159
1.314, 9.78159
1.315, 9.78159
1.316, 9.78159
1.317, 9.78159
1.318, 9.78159
1.319, 9.78159
1.32, 9.78159
1.321, 9.78159
1.322, 9.78159
1.323, 9.78159
1.324, 9.78159
1.325, 9.78159
1.326, 9.78159
1.327, 9.78159
1.328, 9.78159
1.329, 9.78159
1.33, 9.78159
1.331, 9.78159
1.332, 9.78159
1.333, 9.78159
1.334, 9.78159
1.335, 9.78159
1.336, 9.78159
1.337, 9.78159
1.338, 9.78159
1.339, 9.78159
1.34, 9.78159
1.341, 9.78159
1.342, 9.78159
1.343, 9.78159
1.344, 9.78159
1.345, 9.78159
1.346, 9.78159
1.347, 9.78159
1.348, 9.78159
1.349, 9.78159
1.35, 9.78159
1.351, 9.78159
1.352, 9.78159
1.353, 9.78159
1.354, 9.78159
1.355, 9.78159
1.356, 9.78159
1.357, 9.78159
1.358, 9.78159
1.359, 9.78159
1.36, 9.78159
1.361, 9.78159
1.362, 9.78159
1.363, 9.78159
1.364, 9.78159
1.365, 9.78159
1.366, 9.78159
1.367, 9.78159
1.368, 9.78159
1.369, 9.78159
1.37, 9.78159
1.371, 9.78159
1.372, 9.78159
1.373, 9.78159
1.374, 9.78159
1.375, 9.78159
1.376, 9.78159
1.377, 9.78159
1.378, 9.78159
1.379, 9.78159
1.38, 9.78159
1.381, 9.78159
1.382, 9.78159
1.383, 9.78159
1.384, 9.78159
1.385, 9.78159
1.386, 9.78159
1.387, 9.78159
1.388, 9.78159
1.389, 9.78159
1.39, 9.78159
1.391, 9.78159
1.392, 9.78159
