sim_time, unit_box_Custom?world_pose/orientation/yaw
0.578, -6.4033e-06
0.579, -6.40328e-06
0.58, -6.40326e-06
0.581, -6.40328e-06
0.582, -6.4033e-06
0.583, -6.40328e-06
0.584, -6.40326e-06
0.585, -6.40328e-06
0.586, -6.4033e-06
0.587, -6.40328e-06
0.588, -6.40326e-06
0.589, -6.40328e-06
0.59, -6.4033e-06
0.591, -6.40328e-06
0.592, -6.40326e-06
0.593, -6.40328e-06
0.594, -6.4033e-06
0.595, -6.40328e-06
0.596, -6.40326e-06
0.597, -6.40328e-06
0.598, -6.4033e-06
0.599, -6.40328e-06
0.6, -6.40326e-06
0.601, -6.40328e-06
0.602, -6.4033e-06
0.603, -6.40328e-06
0.604, -6.40326e-06
0.605, -6.40328e-06
0.606, -6.4033e-06
0.607, -6.40328e-06
0.608, -6.40326e-06
0.609, -6.40328e-06
0.61, -6.4033e-06
0.611, -6.40328e-06
0.612, -6.40326e-06
0.613, -6.40328e-06
0.614, -6.4033e-06
0.615, -6.40328e-06
0.616, -6.40326e-06
0.617, -6.40328e-06
0.618, -6.4033e-06
0.619, -6.40328e-06
0.62, -6.40326e-06
0.621, -6.40328e-06
0.622, -6.4033e-06
0.623, -6.40328e-06
0.624, -6.40326e-06
0.625, -6.40328e-06
0.626, -6.4033e-06
0.627, -6.40328e-06
0.628, -6.40326e-06
0.629, -6.40328e-06
0.63, -6.4033e-06
0.631, -6.40328e-06
0.632, -6.40326e-06
0.633, -6.40328e-06
0.634, -6.4033e-06
0.635, -6.40328e-06
0.636, -6.40326e-06
0.637, -6.40328e-06
0.638, -6.4033e-06
0.639, -6.40328e-06
0.64, -6.40326e-06
0.641, -6.40328e-06
0.642, -6.4033e-06
0.643, -6.40328e-06
0.644, -6.40326e-06
0.645, -6.40328e-06
0.646, -6.4033e-06
0.647, -6.40328e-06
0.648, -6.40326e-06
0.649, -6.40328e-06
0.65, -6.4033e-06
0.651, -6.40328e-06
0.652, -6.40326e-06
0.653, -6.40328e-06
0.654, -6.4033e-06
0.655, -6.40328e-06
0.656, -6.40326e-06
0.657, -6.40328e-06
0.658, -6.4033e-06
0.659, -6.40328e-06
0.66, -6.40326e-06
0.661, -6.40328e-06
0.662, -6.4033e-06
0.663, -6.40328e-06
0.664, -6.40326e-06
0.665, -6.40328e-06
0.666, -6.4033e-06
0.667, -6.40328e-06
0.668, -6.40326e-06
0.669, -6.40328e-06
0.67, -6.4033e-06
0.671, -6.40328e-06
0.672, -6.40326e-06
0.673, -6.40328e-06
0.674, -6.4033e-06
0.675, -6.40328e-06
0.676, -6.40326e-06
0.677, -6.40328e-06
0.678, -6.4033e-06
0.679, -6.40328e-06
0.68, -6.40326e-06
0.681, -6.40328e-06
0.682, -6.4033e-06
0.683, -6.40328e-06
0.684, -6.40326e-06
0.685, -6.40328e-06
0.686, -6.4033e-06
0.687, -6.40328e-06
0.688, -6.40326e-06
0.689, -6.40328e-06
0.69, -6.4033e-06
0.691, -6.40328e-06
0.692, -6.40326e-06
0.693, -6.40328e-06
0.694, -6.4033e-06
0.695, -6.40328e-06
0.696, -6.40326e-06
0.697, -6.40328e-06
0.698, -6.4033e-06
0.699, -6.40328e-06
0.7, -6.40326e-06
0.701, -6.40328e-06
0.702, -6.4033e-06
0.703, -6.40328e-06
0.704, -6.40326e-06
0.705, -6.40328e-06
0.706, -6.4033e-06
0.707, -6.40328e-06
0.708, -6.40326e-06
0.709, -6.40328e-06
0.71, -6.4033e-06
0.711, -6.40328e-06
0.712, -6.40326e-06
0.713, -6.40328e-06
0.714, -6.4033e-06
0.715, -6.40328e-06
0.716, -6.40326e-06
0.717, -6.40328e-06
0.718, -6.4033e-06
0.719, -6.40328e-06
0.72, -6.40326e-06
0.721, -6.40328e-06
0.722, -6.4033e-06
0.723, -6.40328e-06
0.724, -6.40326e-06
0.725, -6.40328e-06
0.726, -6.4033e-06
0.727, -6.40328e-06
0.728, -6.40326e-06
0.729, -6.40328e-06
0.73, -6.4033e-06
0.731, -6.40328e-06
0.732, -6.40326e-06
0.733, -6.40328e-06
0.734, -6.4033e-06
0.735, -6.40328e-06
0.736, -6.40326e-06
0.737, -6.40328e-06
0.738, -6.4033e-06
0.739, -6.40328e-06
0.74, -6.40326e-06
0.741, -6.40328e-06
0.742, -6.4033e-06
0.743, -6.40328e-06
0.744, -6.40326e-06
0.745, -6.40328e-06
0.746, -6.4033e-06
0.747, -6.40328e-06
0.748, -6.40326e-06
0.749, -6.40328e-06
0.75, -6.4033e-06
0.751, -6.40328e-06
0.752, -6.40326e-06
0.753, -6.40328e-06
0.754, -6.4033e-06
0.755, -6.40328e-06
0.756, -6.40326e-06
0.757, -6.40328e-06
0.758, -6.4033e-06
0.759, -6.40328e-06
0.76, -6.40326e-06
0.761, -6.40328e-06
0.762, -6.4033e-06
0.763, -6.40328e-06
0.764, -6.40326e-06
0.765, -6.40328e-06
0.766, -6.4033e-06
0.767, -6.40328e-06
0.768, -6.40326e-06
0.769, -6.40328e-06
0.77, -6.4033e-06
0.771, -6.40328e-06
0.772, -6.40326e-06
0.773, -6.40328e-06
0.774, -6.4033e-06
0.775, -6.40328e-06
0.776, -6.40326e-06
0.777, -6.40328e-06
0.778, -6.4033e-06
0.779, -6.40328e-06
0.78, -6.40326e-06
0.781, -6.40328e-06
0.782, -6.4033e-06
0.783, -6.40328e-06
0.784, -6.40326e-06
0.785, -6.40328e-06
0.786, -6.4033e-06
0.787, -6.40328e-06
0.788, -6.40326e-06
0.789, -6.40328e-06
0.79, -6.4033e-06
0.791, -6.40328e-06
0.792, -6.40326e-06
0.793, -6.40328e-06
0.794, -6.4033e-06
0.795, -6.40328e-06
0.796, -6.40326e-06
0.797, -6.40328e-06
0.798, -6.4033e-06
0.799, -6.40328e-06
0.8, -6.40326e-06
0.801, -6.40328e-06
0.802, -6.4033e-06
0.803, -6.40328e-06
0.804, -6.40326e-06
0.805, -6.40328e-06
0.806, -6.4033e-06
0.807, -6.40328e-06
0.808, -6.40326e-06
0.809, -6.40328e-06
0.81, -6.4033e-06
0.811, -6.40328e-06
0.812, -6.40326e-06
0.813, -6.40328e-06
0.814, -6.4033e-06
0.815, -6.40328e-06
0.816, -6.40326e-06
0.817, -6.40328e-06
0.818, -6.4033e-06
0.819, -6.40328e-06
0.82, -6.40326e-06
0.821, -6.40328e-06
0.822, -6.4033e-06
0.823, -6.40328e-06
0.824, -6.40326e-06
0.825, -6.40328e-06
0.826, -6.4033e-06
0.827, -6.40328e-06
0.828, -6.40326e-06
0.829, -6.40328e-06
0.83, -6.4033e-06
0.831, -6.40328e-06
0.832, -6.40326e-06
0.833, -6.40328e-06
0.834, -6.4033e-06
0.835, -6.40328e-06
0.836, -6.40326e-06
0.837, -6.40328e-06
0.838, -6.4033e-06
0.839, -6.40328e-06
0.84, -6.40326e-06
0.841, -6.40328e-06
0.842, -6.4033e-06
0.843, -6.40328e-06
0.844, -6.40326e-06
0.845, -6.40328e-06
0.846, -6.4033e-06
0.847, -6.40328e-06
0.848, -6.40326e-06
0.849, -6.40328e-06
0.85, -6.4033e-06
0.851, -6.40328e-06
0.852, -6.40326e-06
0.853, -6.40328e-06
0.854, -6.4033e-06
0.855, -6.40328e-06
0.856, -6.40326e-06
0.857, -6.40328e-06
0.858, -6.4033e-06
0.859, -6.40328e-06
0.86, -6.40326e-06
0.861, -6.40328e-06
0.862, -6.4033e-06
0.863, -6.40328e-06
0.864, -6.40326e-06
0.865, -6.40328e-06
0.866, -6.4033e-06
0.867, -6.40328e-06
0.868, -6.40326e-06
0.869, -6.40328e-06
0.87, -6.4033e-06
0.871, -6.40328e-06
0.872, -6.40326e-06
0.873, -6.40328e-06
0.874, -6.4033e-06
0.875, -6.40328e-06
0.876, -6.40326e-06
0.877, -6.40328e-06
0.878, -6.4033e-06
0.879, -6.40328e-06
0.88, -6.40326e-06
0.881, -6.40328e-06
0.882, -6.4033e-06
0.883, -6.40328e-06
0.884, -6.40326e-06
0.885, -6.40328e-06
0.886, -6.4033e-06
0.887, -6.40328e-06
0.888, -6.40326e-06
0.889, -6.40328e-06
0.89, -6.4033e-06
0.891, -6.40328e-06
0.892, -6.40326e-06
0.893, -6.40328e-06
0.894, -6.4033e-06
0.895, -6.40328e-06
0.896, -6.40326e-06
0.897, -6.40328e-06
0.898, -6.4033e-06
0.899, -6.40328e-06
0.9, -6.40326e-06
0.901, -6.40328e-06
0.902, -6.4033e-06
0.903, -6.40328e-06
0.904, -6.40326e-06
0.905, -6.40328e-06
0.906, -6.4033e-06
0.907, -6.40328e-06
0.908, -6.40326e-06
0.909, -6.40328e-06
0.91, -6.4033e-06
0.911, -6.40328e-06
0.912, -6.40326e-06
0.913, -6.40328e-06
0.914, -6.4033e-06
0.915, -6.40328e-06
0.916, -6.40326e-06
0.917, -6.40328e-06
0.918, -6.4033e-06
0.919, -6.40328e-06
0.92, -6.40326e-06
0.921, -6.40328e-06
0.922, -6.4033e-06
0.923, -6.40328e-06
0.924, -6.40326e-06
0.925, -6.40328e-06
0.926, -6.4033e-06
0.927, -6.40328e-06
0.928, -6.40326e-06
0.929, -6.40328e-06
0.93, -6.4033e-06
0.931, -6.40328e-06
0.932, -6.40326e-06
0.933, -6.40328e-06
0.934, -6.4033e-06
0.935, -6.40328e-06
0.936, -6.40326e-06
0.937, -6.40328e-06
0.938, -6.4033e-06
0.939, -6.40328e-06
0.94, -6.40326e-06
0.941, -6.40328e-06
0.942, -6.4033e-06
0.943, -6.40328e-06
0.944, -6.40326e-06
0.945, -6.40328e-06
0.946, -6.4033e-06
0.947, -6.40328e-06
0.948, -6.40326e-06
0.949, -6.40328e-06
0.95, -6.4033e-06
0.951, -6.40328e-06
0.952, -6.40326e-06
0.953, -6.40328e-06
0.954, -6.4033e-06
0.955, -6.40328e-06
0.956, -6.40326e-06
0.957, -6.40328e-06
0.958, -6.4033e-06
0.959, -6.40328e-06
0.96, -6.40326e-06
0.961, -6.40328e-06
0.962, -6.4033e-06
0.963, -6.40328e-06
0.964, -6.40326e-06
0.965, -6.40328e-06
0.966, -6.4033e-06
0.967, -6.40328e-06
0.968, -6.40326e-06
0.969, -6.40328e-06
0.97, -6.4033e-06
0.971, -6.40328e-06
0.972, -6.40326e-06
0.973, -6.40328e-06
0.974, -6.4033e-06
0.975, -6.40328e-06
0.976, -6.40326e-06
0.977, -6.40328e-06
0.978, -6.4033e-06
0.979, -6.40328e-06
0.98, -6.40326e-06
0.981, -6.40328e-06
0.982, -6.4033e-06
0.983, -6.40328e-06
0.984, -6.40326e-06
0.985, -6.40328e-06
0.986, -6.4033e-06
0.987, -6.40328e-06
0.988, -6.40326e-06
0.989, -6.40328e-06
0.99, -6.4033e-06
0.991, -6.40328e-06
0.992, -6.40326e-06
0.993, -6.40328e-06
0.994, -6.4033e-06
0.995, -6.40328e-06
0.996, -6.40326e-06
0.997, -6.40328e-06
0.998, -6.4033e-06
0.999, -6.40328e-06
1, -6.40326e-06
1.001, -6.40328e-06
1.002, -6.4033e-06
1.003, -6.40328e-06
1.004, -6.40326e-06
1.005, -6.40328e-06
1.006, -6.4033e-06
1.007, -6.40328e-06
1.008, -6.40326e-06
1.009, -6.40328e-06
1.01, -6.4033e-06
1.011, -6.40328e-06
1.012, -6.40326e-06
1.013, -6.40328e-06
1.014, -6.4033e-06
1.015, -6.40328e-06
1.016, -6.40326e-06
1.017, -6.40328e-06
1.018, -6.4033e-06
1.019, -6.40328e-06
1.02, -6.40326e-06
1.021, -6.40328e-06
1.022, -6.4033e-06
1.023, -6.40328e-06
1.024, -6.40326e-06
1.025, -6.40328e-06
1.026, -6.4033e-06
1.027, -6.40328e-06
1.028, -6.40326e-06
1.029, -6.40328e-06
1.03, -6.4033e-06
1.031, -6.40328e-06
1.032, -6.40326e-06
1.033, -6.40328e-06
1.034, -6.4033e-06
1.035, -6.40328e-06
1.036, -6.40326e-06
1.037, -6.40328e-06
1.038, -6.4033e-06
1.039, -6.40328e-06
1.04, -6.40326e-06
1.041, -6.40328e-06
1.042, -6.4033e-06
1.043, -6.40328e-06
1.044, -6.40326e-06
1.045, -6.40328e-06
1.046, -6.4033e-06
1.047, -6.40328e-06
1.048, -6.40326e-06
1.049, -6.40328e-06
1.05, -6.4033e-06
1.051, -6.40328e-06
